id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E15,T05,0.84818,0.19208,-1.38349,-0.41907,0.17784,0
E12,T08,2.34937,0.10772,0.24324,-1.14813,-0.04875,0
E08,T08,-1.80763,0.45802,-0.05141,0.48882,-0.70241,1
E03,T15,-2.22926,1.37578,-0.96784,-0.86509,0.09585,1
E09,T11,-0.68861,-0.10936,0.95116,1.08883,1.87719,0
E36,T03,3.34504,-0.1036,2.16416,1.0945,-0.85998,1
E23,T16,-0.5037,0.38164,1.86164,-0.69602,-0.04604,1
E38,T01,-0.29599,-0.68941,1.2139,1.4598,0.41226,1
E14,T02,1.66361,-0.75583,-0.68944,0.45058,-1.62643,0
E29,T02,-0.41125,0.55335,-1.95581,-1.99308,-0.76793,0
E02,T02,-1.35417,-0.55253,0.49766,0.44448,0.43823,0
E01,T07,1.38179,-1.53904,0.66648,1.8926,-1.10701,0
E15,T08,0.89168,-0.84279,0.32335,-1.16189,0.65575,0
E17,T16,-4.08885,0.82692,1.26827,0.52284,-2.04686,0
E16,T16,3.74638,-1.42613,0.57211,0.50318,0.49652,0
E33,T07,0.80491,-0.63074,-2.29247,-0.1893,-0.24885,0
E37,T08,-1.88374,0.49794,-0.08766,0.22868,0.84089,0
E04,T05,0.02961,-2.50691,0.61409,-0.11373,-0.30721,1
E12,T09,2.37052,-1.01922,-0.16183,-0.22535,0.56602,0
E40,T08,2.76621,-0.67012,-0.34707,2.60165,-0.58692,1
E04,T09,0.02066,-0.15796,-0.05365,1.33654,-1.36751,1
E01,T11,1.43573,-0.18649,-0.35466,-1.84263,0.21037,0
E30,T16,-0.61502,-0.47896,-0.14197,-0.88517,0.45562,1
E35,T02,-1.54847,-0.13945,-0.49666,-0.02152,0.84497,1
E29,T10,-0.40431,-0.09995,-1.21559,-0.76222,0.88559,0
E39,T04,0.67855,-0.14808,-0.77067,0.71948,-0.47955,0
E20,T13,2.64403,-0.28059,-1.34732,0.58594,1.15572,0
E40,T11,2.74206,0.40632,-1.59289,1.15696,1.93007,1
E35,T12,-1.59061,0.58946,0.3612,0.36944,-0.56613,1
E19,T13,-0.82451,2.35161,-0.44291,0.83325,-1.62685,1
E18,T03,-1.05178,-0.42386,-0.91252,-0.31419,1.56086,0
E30,T09,-0.62089,-1.38572,-0.84174,2.02322,2.02544,1
E06,T16,-2.28958,-0.48119,-0.34081,-0.90315,0.53315,0
E15,T01,0.90473,1.7572,1.14781,-0.64851,1.36356,1
E24,T04,0.26128,-1.18949,-0.41952,-0.57374,-0.63519,0
E36,T06,3.37366,1.02514,0.19912,0.22652,1.38517,0
E26,T07,4.34822,-1.70913,0.89528,1.04531,-0.87533,0
E39,T14,0.68415,0.10449,1.4377,1.42518,1.63712,1
E38,T02,-0.35551,1.14417,0.1774,1.97963,-0.09298,1
E36,T12,3.36928,0.09793,1.58765,0.76318,0.09021,0
E11,T16,2.21549,0.89636,1.18039,0.86114,0.33204,1
E35,T11,-1.57331,-0.22713,-0.41313,-0.92967,-1.46797,1
E17,T12,-4.13302,-0.07811,-0.58599,0.50358,-0.40744,0
E19,T07,-0.81264,0.24674,-0.32024,0.07695,-1.42505,1
E03,T02,-2.25602,-0.04723,-0.82394,2.12999,-0.81139,1
E19,T16,-0.82074,-0.93007,0.74056,0.59446,0.73743,1
E09,T06,-0.74013,-1.31151,2.27872,-0.29666,-0.76165,0
E32,T12,1.02772,0.37426,1.52642,0.31107,-0.95251,0
E09,T08,-0.6573,0.4698,-1.41988,0.9442,0.14969,0
E31,T10,-1.7579,-0.2632,-0.48566,-0.98991,-0.63003,1
E20,T15,2.62938,0.48811,-0.03623,0.43226,0.28638,0
E35,T10,-1.59705,-0.28293,-0.62149,1.17788,0.70046,1
E18,T06,-1.08711,0.23074,0.10866,-2.63643,-1.21804,0
E36,T14,3.34535,-2.65156,-0.40393,0.2274,-1.99398,0
E29,T09,-0.42108,0.63672,-0.16813,0.41946,-0.37905,0
E27,T14,-1.97564,-0.99569,1.19239,0.62381,-0.26238,0
E25,T15,2.38415,0.71022,0.18574,-0.78473,0.22788,1
E40,T02,2.74648,0.29359,-1.18269,-0.5942,0.43489,1
E32,T10,1.00628,0.98375,0.68724,0.57726,-1.5601,0
E04,T02,0.06095,0.04161,-1.24724,0.44801,-0.11127,1
E18,T14,-1.09045,-0.51759,-0.77155,0.02536,0.93815,0
E11,T14,2.20653,0.12559,-0.97898,-0.31659,-1.3868,0
E38,T05,-0.29826,0.96934,0.40519,-1.60023,-1.05587,1
E21,T09,1.4095,-2.23555,-0.70263,0.33402,-1.59901,0
E35,T07,-1.58073,-1.87383,0.15936,0.38534,0.88736,1
E08,T06,-1.82778,-0.08812,-0.14574,0.53296,0.0861,1
E09,T10,-0.72399,-1.08244,-0.0391,1.24411,-0.48933,0
E18,T13,-1.0786,1.51837,0.61431,-0.03716,-0.53847,1
E18,T04,-1.11309,-1.10871,-1.67623,-0.52515,0.36002,0
E03,T08,-2.24166,0.4529,-1.09105,0.55069,-1.39743,1
E30,T06,-0.5634,-2.25943,0.18271,2.86056,-1.00919,1
E23,T10,-0.50847,-0.38594,0.97881,-0.74715,0.77562,0
E05,T09,0.73916,0.39161,-1.15556,-1.55224,1.15839,0
E19,T15,-0.81522,0.71238,1.87704,-1.61297,-0.18645,1
E37,T04,-1.88876,-0.23216,-0.3676,-0.47561,-0.15525,0
E20,T04,2.61654,0.30378,0.27651,0.48976,-2.27147,0
E22,T12,0.34418,-1.14046,-0.09097,-1.77446,-0.99015,0
E04,T13,0.08241,0.68498,0.13267,-1.57347,-0.10265,1
E31,T08,-1.76081,-0.57705,0.35003,2.43644,-0.6259,1
E24,T03,0.25278,0.65631,-0.73529,0.22168,-3.18828,0
E04,T07,0.06087,0.13197,1.6665,0.49854,0.40581,1
E16,T05,3.71906,0.4308,-0.94029,-0.57277,0.95155,0
E07,T16,1.02883,2.18733,0.22766,0.79483,-1.50969,1
E32,T05,1.05269,-0.38967,-1.7926,-0.38965,0.13442,0
E25,T10,2.37179,0.60324,0.77238,-0.44284,0.28041,1
E12,T01,2.35588,0.69498,1.75935,-1.3793,0.56067,0
E04,T16,0.06374,0.19045,-0.6069,-0.0717,0.14587,1
E22,T03,0.35052,-0.07252,-0.58409,2.35444,0.8871,0
E40,T09,2.78042,1.15258,0.73129,1.62995,-0.54168,1
E34,T16,-1.64472,1.29928,-1.95312,-0.22862,-2.15102,1
E10,T02,1.84558,-0.97767,-0.66955,-0.34874,-0.20039,0
E25,T03,2.3655,0.27073,0.26985,1.54123,0.1919,1
E32,T02,1.0506,-0.40021,1.82018,1.12384,-0.89124,0
E31,T05,-1.75235,-2.2023,-0.31994,0.04436,0.45655,0
E02,T12,-1.37695,0.29537,-1.90221,-0.52713,-1.58784,0
E02,T13,-1.33881,1.29685,0.54765,-1.49892,-2.00729,0
E37,T12,-1.89132,-0.00283,1.42561,1.92351,1.10582,0
E39,T16,0.63289,0.40653,-0.75589,-0.36984,1.26472,0
E39,T03,0.64023,-0.30339,-0.71596,1.93587,-0.20616,0
E27,T12,-2.01148,-0.06877,-1.48731,0.37657,-0.43387,0
E01,T10,1.43615,0.42617,-0.28785,-0.07526,-2.01068,0
E16,T12,3.75548,-0.25237,1.26533,-0.37009,-0.48972,0
E25,T11,2.34834,0.3748,0.18189,1.78024,1.18609,1
E13,T13,1.04173,1.27063,1.76265,-1.12888,0.71346,1
E14,T12,1.63728,-0.45203,-1.13546,-1.12004,-0.41729,0
E33,T03,0.82138,-0.84353,-2.30388,-0.14943,1.4024,0
E28,T01,5.21067,-0.77111,0.7824,-0.68065,-0.80019,0
E22,T11,0.32518,1.25377,1.74789,0.92278,0.74215,1
E16,T03,3.74227,-1.26592,-0.29802,-0.89636,0.92945,0
E16,T04,3.71827,-0.71728,-1.89171,-1.24144,-0.41715,0
E28,T03,5.22371,0.19292,-2.55992,-0.7196,1.22126,0
E05,T15,0.67426,1.23846,1.47371,-0.38116,1.09498,1
E15,T12,0.86295,-0.10379,0.72094,1.16659,0.62052,0
E25,T13,2.32031,-2.05891,-0.25899,-0.58075,1.41645,0
E08,T12,-1.85218,-0.56651,-0.29028,1.33299,-2.05027,1
E27,T16,-2.01672,-0.99836,1.28813,-0.53922,0.15099,1
E27,T15,-1.99604,0.36075,-1.18,-0.41028,-0.59756,0
E14,T06,1.65588,-0.21134,-0.43161,-1.27815,-1.33516,0
E29,T07,-0.40659,0.49995,1.00328,-0.77838,1.93439,0
E32,T15,1.03781,1.28174,0.01358,-1.1826,0.48991,0
E25,T02,2.32972,0.02742,-0.37386,0.58012,0.07433,1
E26,T13,4.38378,-0.66197,0.25477,-0.46074,-0.04939,0
E26,T04,4.35646,-0.99986,1.33132,-0.28087,-0.32495,0
E11,T07,2.20886,-0.06817,-1.42925,-0.17683,-0.81111,0
E38,T15,-0.30642,0.34562,-0.19171,1.22129,-0.11333,1
E21,T13,1.47134,-0.97471,-0.89801,-0.56575,-0.74549,0
E21,T15,1.43343,-0.80885,-0.95894,1.68335,2.18256,0
E05,T03,0.68096,0.31091,1.60857,-0.34781,1.78812,1
E31,T14,-1.7775,-1.84268,-1.01956,0.20781,-0.47354,0
E10,T07,1.82561,-0.93262,1.25818,1.05253,0.25503,1
E16,T11,3.72647,0.76394,0.41344,1.13581,-0.0587,0
E28,T10,5.18694,0.15847,0.61054,1.07442,0.21916,0
E21,T02,1.41079,-1.47399,0.34259,-0.6576,-0.36927,0
E14,T05,1.6714,0.44488,0.77329,0.176,0.5904,1
E17,T06,-4.10902,1.53139,-0.34551,-1.26399,0.87067,0
E01,T13,1.45097,-0.9722,0.3425,0.2231,1.05681,0
E10,T03,1.813,1.63934,0.45834,-0.60512,0.37746,1
E31,T16,-1.77596,0.94898,0.92166,-0.69355,0.20932,1
E10,T14,1.82818,0.93035,-0.90525,0.07132,0.18592,0
E10,T13,1.78967,0.94094,1.34112,-0.76901,-0.49635,1
E08,T01,-1.86426,-0.16883,0.56528,0.17455,0.6778,1
E01,T12,1.41977,0.60575,-0.52029,0.92402,1.11242,0
E03,T11,-2.28546,1.98813,1.37374,-0.53037,-1.40572,1
E29,T15,-0.37843,-2.01035,0.14106,0.30252,-0.09023,0
E33,T06,0.83668,1.10467,0.2764,-1.05712,0.75382,0
E06,T04,-2.26449,0.91405,0.91543,0.47267,-0.14979,0
E33,T04,0.80384,-0.2033,0.07012,-0.06569,1.03924,0
E34,T07,-1.59349,0.16037,0.72161,1.28733,-0.66368,1
E30,T04,-0.56979,1.58102,1.07705,0.9308,-1.02573,1
E23,T09,-0.50374,1.79451,0.05332,-0.47258,-0.10697,1
E11,T03,2.21076,0.98661,-1.29753,-1.04653,-0.46729,0
E03,T13,-2.22119,-0.42168,0.45237,-0.94879,-2.08337,1
E03,T04,-2.25199,-0.59893,0.8159,-0.6618,-1.4411,1
E22,T05,0.32177,0.19839,-0.39598,-1.68601,-0.53432,1
E36,T11,3.38841,1.85811,0.01905,0.12485,1.89628,0
E25,T16,2.37288,-0.13798,0.06062,0.09213,1.62979,1
E34,T09,-1.64061,1.15755,0.64011,-0.83511,-0.30317,1
E37,T02,-1.90452,0.32314,-0.42302,1.06819,-1.57761,0
E29,T05,-0.40916,0.70837,0.06963,0.46072,1.75653,0
E29,T13,-0.41535,-0.63034,0.89154,-0.66491,-0.21624,0
E25,T04,2.36649,-0.9337,0.59287,0.36345,-0.40216,1
E10,T09,1.79395,0.2111,1.42193,1.79405,1.03784,1
E01,T06,1.42634,0.57971,-0.71757,1.3925,-0.34536,0
E37,T11,-1.89591,0.19606,-1.18309,-1.23135,0.20873,0
E33,T10,0.84038,-0.0949,0.42927,-0.81436,-0.73336,0
E30,T08,-0.59463,0.94592,-0.49403,0.6761,-0.26226,1
