trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.13909,1.19968,0.10874,-0.49258,1
1,-1.97858,0.11562,-1.40091,1.87554,0
2,-0.224,0.65114,0.71853,-0.73521,0
3,1.58202,1.39817,0.0522,0.79911,1
4,-1.27169,-0.33044,-1.85342,0.3125,0
5,-0.1523,-0.97367,-0.00433,-1.18995,0
6,1.76059,-1.70383,0.04238,-0.87472,0
7,0.11582,-0.81166,-1.04518,-0.9567,0
8,0.51257,-1.0584,-0.61063,-1.46962,0
9,0.46953,1.93558,0.30163,0.55079,1
10,-0.6203,1.52301,0.51539,1.31762,0
11,-0.19599,0.16339,1.04578,0.76806,0
12,-0.97043,0.45764,0.76722,-0.25744,0
13,-0.78086,-0.81448,0.83063,-1.03408,0
14,-0.46964,0.38272,-0.98671,-0.62578,0
15,0.66943,0.42857,1.77604,-0.27833,1
16,0.15346,1.40819,-0.49887,2.40688,1
17,-0.88692,1.55868,-0.02329,0.7196,0
18,0.00542,0.59051,1.44212,0.11311,0
19,-0.83343,-0.8253,-0.04337,-0.50335,0
20,-0.95868,-0.979,0.36966,-0.93597,0
21,-0.72333,1.00123,0.3191,0.33034,0
22,-0.35968,-1.20434,-0.3312,1.84108,0
23,0.71786,-0.23835,0.69995,-0.99893,0
24,0.08315,0.69178,1.63483,1.16801,0
25,-1.64892,-0.21612,-1.88204,-0.76401,0
26,-0.65226,0.35551,2.85552,1.85784,0
27,0.25727,0.87401,-1.16749,-1.50716,0
28,-2.10288,-0.98594,0.05729,-0.62938,0
29,1.99736,-1.36909,0.56311,1.80615,1
30,-1.52225,-0.93526,0.21914,0.77551,0
31,0.87134,1.95419,0.1854,-1.50335,1
32,0.11673,0.57553,2.30297,-1.24231,0
33,-0.36337,-0.3275,-0.60211,0.04751,0
34,0.87247,-0.00067,0.41363,0.81197,1
35,0.77784,0.374,0.21966,1.41455,1
36,1.32007,-0.55183,0.92257,0.12577,0
37,-0.26691,-0.9369,0.39251,-0.14676,0
38,-1.05011,0.04455,-0.93164,-0.7368,0
39,-1.31651,-1.81859,0.12273,-0.25582,0
40,0.32745,-0.92129,-0.51229,-0.48268,0
41,1.15235,-0.44008,0.37718,0.39041,0
42,0.66506,0.20416,0.41512,0.05685,1
43,-1.16862,-0.44078,-0.63474,0.66595,0
44,1.08016,1.01175,-0.13388,1.21513,1
45,-1.12179,0.13978,-0.68305,-0.03554,0
46,-0.25195,1.25131,0.1218,0.20536,0
47,1.27711,2.13552,-0.88499,-0.11654,1
48,0.05086,-0.69427,-0.37904,1.30834,0
49,0.34125,0.07375,0.66358,-0.57278,0
50,0.34165,0.62771,-0.60629,1.06621,1
51,-1.53955,2.12553,-0.07547,1.65293,0
52,1.3189,0.28278,1.39102,0.42833,1
53,-0.07709,-0.12899,-0.08441,-0.3668,0
54,0.10363,0.71197,0.08279,1.01923,1
55,0.14846,2.05272,-1.11689,0.05528,1
56,-0.4765,1.2088,-0.91893,-0.01783,0
