f1,f2,f3,f4,f5,f6,f7,f8,alvo
-0.44082,0.77896,-0.18985,-1.34275,1.01994,-1.06415,1.49401,-0.69331,1
-0.76099,0.59791,-3.2079,-1.21463,0.11672,-1.66822,-0.43282,-1.92894,1
0.64001,0.5658,-1.43449,1.39101,0.86878,1.88126,0.6438,2.14413,1
-0.60757,-0.13006,1.51935,-1.77852,1.25803,0.42711,0.71154,-0.32775,0
1.1536,1.11122,-0.2599,1.03649,-0.10266,1.38754,-1.8851,-1.41845,0
0.30599,0.26953,0.43824,1.07715,0.6723,0.37293,0.39719,0.61136,1
-1.32075,0.37498,0.18307,-0.77352,-0.61836,0.5417,-0.92971,-0.41831,1
-0.4259,0.73378,0.05414,-0.16924,0.58324,-0.89409,-0.87771,-0.37575,0
-1.58032,-0.20825,-0.08928,-1.47276,-1.03249,-1.61553,0.14385,-0.35437,1
-0.80608,-0.31423,-1.36095,1.09382,-0.34383,1.871,0.27512,-0.87194,0
0.74502,0.84256,-0.82787,0.56415,1.0406,-0.41544,0.70353,2.07418,1
-0.82265,-1.24746,0.80041,-0.80022,0.85882,1.54486,-1.38385,-2.05107,0
-0.50919,1.56111,-0.16674,1.86228,-0.1533,0.21009,-0.49678,-0.35904,0
-0.32883,0.77777,0.39797,-0.14893,0.86573,1.0874,-1.24476,0.42607,0
-0.35715,0.69853,1.2044,-0.48275,0.15261,0.24445,1.41171,0.53434,0
-1.10772,1.35433,-1.28937,0.57952,1.09452,0.28753,0.41565,-1.51346,0
1.23137,-0.47716,0.69916,-0.08023,1.07533,0.47289,-1.27592,-0.53772,1
-0.57282,-0.26174,-0.04467,-2.61386,0.01913,0.61243,-0.45416,0.49147,1
-0.83233,0.02856,-0.81218,-0.54984,0.97575,0.44482,-1.25051,-0.62442,0
-0.29919,1.19529,-0.8095,-0.2906,-0.92641,-1.76777,1.02786,1.55649,1
1.00289,0.22629,-1.48378,-1.13331,0.72989,0.9847,0.6478,0.05415,1
0.90064,-1.09529,-0.66578,0.12833,0.87707,0.83377,0.07397,-1.31214,1
1.06972,-0.3276,-0.30617,0.03175,0.31437,-0.24668,-1.11824,2.06473,1
0.97732,-1.81716,2.26351,0.43631,-1.19048,0.43618,0.4572,-1.23718,1
0.1467,-0.43156,0.00726,-0.96024,0.5581,-0.24239,1.26156,-2.11429,0
-0.01746,1.6181,-0.76853,-0.26616,0.07116,0.5178,1.1301,-0.42202,0
0.57371,-1.08747,0.42847,-0.13254,-0.17744,1.13335,-0.7991,-1.34146,1
-0.21049,0.17938,0.95885,0.36146,0.21226,-0.01176,0.27605,-0.63244,0
-0.95975,-0.39884,-1.33925,-0.34068,0.03985,-0.19221,2.60196,-0.03565,0
0.96198,-2.83662,1.11147,-0.4089,-0.05459,-0.99908,-1.65139,0.41891,1
0.19492,1.43682,-2.1929,-0.09926,0.52024,-1.94916,-2.55542,-1.00511,0
0.1198,0.17701,0.09007,-1.06711,1.4844,-0.21079,0.26646,-1.98526,0
-0.28078,-0.52137,-1.55308,1.70814,0.0904,0.30484,-0.25159,0.40403,0
0.55743,0.43337,-0.71754,-2.54094,0.1417,-1.37668,-2.12181,-1.02658,0
0.91034,0.54132,0.05048,0.86476,-0.40305,-0.92433,0.03826,-0.5718,0
-0.24448,0.77689,-0.99161,-0.01198,-1.72884,0.72355,0.07789,1.46447,1
-1.21133,0.67495,-1.33579,-2.80183,-0.40477,0.1006,-1.17212,-1.34409,0
1.82524,-0.65921,2.19573,-0.51676,1.19833,-1.52948,0.48552,-0.29301,0
-0.61358,-0.61801,0.58433,3.12526,-1.54006,0.29857,-0.36795,0.00597,1
-0.89586,0.6974,0.16418,-0.73968,-0.52388,0.57779,-1.06868,-0.06219,0
-0.25518,-0.40315,-0.97603,-1.94369,-2.34298,-1.31796,-1.44319,-0.58647,1
1.254,1.05453,0.44131,-0.16567,-0.73474,-1.49186,-1.87815,-0.31383,1
-0.42829,0.70824,-1.11073,-0.36287,0.20512,-0.15913,0.53381,0.29873,1
0.37565,1.26604,-0.60406,-0.01924,-1.60897,0.45249,0.43573,-1.19521,0
-1.4925,0.05959,-1.16167,0.69256,-1.40177,0.91115,0.86716,-0.94849,0
0.45081,-0.66532,1.0205,-0.78552,0.52999,1.483,-0.1956,1.09483,0
-1.43774,-0.33228,2.72547,1.23078,-1.26495,0.83035,0.15019,1.286,0
-0.83983,0.60448,0.52301,-1.05683,1.83879,1.18475,0.77154,-1.15311,0
-0.41751,0.78521,1.44031,1.15961,-1.15289,0.43562,-1.14519,-1.6713,0
-1.25057,-0.0173,0.12427,0.0648,0.81294,-1.34038,1.29516,0.61851,1
-0.09434,1.98721,0.00924,1.97678,-1.43163,0.45668,0.05472,0.32312,1
0.25328,-0.39472,-0.34748,-1.76844,-0.47742,-1.58209,-0.99665,-0.72158,1
-0.17496,-0.55294,0.91337,-0.98798,0.43558,-0.45241,-0.37314,-0.72449,0
0.14645,-1.1911,-0.2032,-0.84724,1.4338,0.37023,1.24371,0.21857,0
-0.99931,-0.63669,1.18594,0.68377,-0.01283,0.23484,1.6533,0.07905,1
-1.69974,-0.21307,0.44367,0.15241,0.8642,1.88457,1.08186,0.22483,0
1.33127,-0.7309,-1.00713,2.07347,0.35409,0.45643,-0.9116,-0.81707,0
0.56118,-0.38656,-0.59661,1.45718,1.67363,1.09719,0.55199,-0.92406,1
0.08786,0.05294,-0.38277,1.03992,0.36712,0.88197,0.43767,-0.7363,0
-0.93567,-0.60459,0.59664,1.35242,-0.08771,0.28757,0.33372,-1.7224,0
0.17233,0.69195,1.63075,1.25798,-0.07497,-0.67475,-0.99014,0.72884,1
1.16072,0.44133,-0.84699,1.53898,0.53428,0.55253,-0.7862,0.96244,1
-0.08591,0.22235,1.33366,1.33351,0.01374,-0.57406,0.74165,-0.38571,0
-1.36871,0.67976,-0.80583,1.22788,0.50607,0.68401,-0.25936,-1.35149,0
0.03324,-0.7547,-0.00337,-1.30519,-1.63185,2.4429,-0.66401,0.75139,1
-0.25575,0.79448,1.02295,1.18329,0.95105,1.53901,-0.11446,1.08136,1
