v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
1.49492,-1.15452,-0.38053,-2.25629,0.93671,0.76037,1.99155,0.326,-0.36461,0.78336,0.62499,-0.13027,0.71933,0.14553,0.31361,0.36446,0.4909,-0.53906,-1.30975,-0.44057,1.52424,-1.64807,3.21528,-0.11116,1.5041,-0.01811,-0.89838,0.06772,-0.12179,0.07943,0.23271,1.30998,0.91112,1.88683,0.38681,1.38043,-1.36288,0.93262,0.80574,-0.61245,-0.74467,-0.43707,-0.81712,-0.61349,-0.50055,-0.05131,1.3423,0.83461,0.35124,1.15913,-1.25916,-1.2743,-1.49775,-2.69872,0.58996,-1.18245,0.41442,-0.10323,0.33348,-1.90479,0.84717,-0.73542,0.61685,0.12478,0.58888,0.74903,-1.02281,0.52392,0.76713,0.06097,1.2866,-1.85188,-0.75552,0.43154,-1.61397,-0.76176,-1.67067,0.26616,-1.50113,0.46488,-0.23523,-1.26278,2.13593,0.43365,-1.56232,-0.20635,0.85361,-0.41678,0.10032,0.87762,-1.16864,0.60232,1.52544,0.20348,1.3778,0.99196,0.19975,-1.73612,0.05828,2.45159,0.45815,-0.78467,-1.47318,0.41843,0.78781,1.45387,-0.59327,-0.56861,-0.06227,-0.78472,-0.44783,0.35373,0.21192,0.86628,-0.64561,-1.37581,-0.36241,0.11491,-0.02534,-0.25241,0.75686,1.16753,-0.38993,-0.43792,0.00149,-0.43002,-1.39617,-0.10941,-0.69605,-0.18719,-0.76289,-1.59128,1.27645,-0.67071,1.1961,0.03979,0.34042,0.59908,-0.48242,0.50142,-0.50897,-1.56485,0.86994,1.58715,-0.12824,0.6403,-0.61526,-0.5848,-1.23349,0.67311,1.28155,0.73845,0.56527,-1.16249,1.03327,-1.33149,-0.96391,0.81813,-1.17113,-0.37376,0.2642,-2.58465,1.08149,-0.12834,-2.42093,0.89169,-1.02799,-0.0519,0.13987,-0.24232,1.04238,0.32769,3.22077,2.05037,0.57028,-1.04309,-0.28966,-0.46719,1.39168,-0.62986,1
0.75788,1.46555,-1.61182,-1.39933,2.15718,0.60638,1.21802,1.55614,-1.07461,-2.17838,0.22358,0.2766,2.68316,0.50884,-0.07185,0.47768,-0.33906,0.25397,0.4565,-1.05505,-0.12951,0.94319,-0.19697,-0.0984,0.189,-1.00014,-0.65678,-0.12939,0.60946,0.99519,0.03903,-0.46148,1.08342,-1.3076,0.84149,-1.31346,-1.95573,-1.54125,-0.75662,-0.56473,-0.84932,1.00347,0.00737,-0.42454,-1.22918,-1.09616,-2.16993,-0.32366,0.3199,2.54532,2.14362,-0.19501,-1.11033,-1.2146,1.23587,-0.07913,0.05725,1.98139,0.71277,-0.47273,-1.20591,-0.34931,-0.28962,1.71698,-1.54372,-1.39056,-0.68197,0.61724,0.38056,-0.67716,0.29033,1.18121,-0.28554,0.57551,0.15622,1.55762,0.64762,0.02097,-2.21926,0.2903,0.94567,-0.09483,-0.81714,1.12124,0.76329,0.45524,0.59889,0.77138,-0.04064,-0.51373,-1.36003,-1.83741,-0.6088,0.88041,0.55467,1.86316,-0.01178,0.51751,-0.03269,-0.68761,-0.28747,-0.94854,3.29501,-1.46673,1.2033,-1.04665,0.44091,-1.78621,0.06812,-0.405,0.86234,1.61308,-0.09274,-1.54938,-1.85277,-0.01354,0.67679,0.37465,0.00767,-1.2757,0.07213,1.47574,1.91654,1.0479,0.20635,-0.29138,-0.63625,0.07773,0.12313,-1.92546,1.66179,-0.89917,-0.32409,-2.00775,-0.04682,-0.58673,-0.60134,1.16343,-1.47912,-1.13575,-0.33701,-1.9967,-1.80715,1.85593,-0.68962,0.03171,0.59083,-1.58087,0.84327,0.82886,0.20276,-1.82368,-0.29372,-0.03432,0.89367,-0.6051,1.74065,1.44431,-1.52039,0.06369,0.36436,-0.07001,0.43604,0.26406,-0.58048,-0.08116,1.40204,1.0396,-0.38101,1.07247,0.00855,-0.72262,1.07508,-0.04247,0.42661,-1.10031,1.33959,1.10453,0.31284,-2.17232,1
0.02598,-0.42649,-1.45046,-0.73013,-1.73124,-0.29799,-0.98633,-0.78069,0.00087,0.8271,1.77716,-0.41392,-0.18822,-0.29465,1.17855,-0.57481,0.58534,-0.83622,-0.71231,-0.13385,0.16481,2.34115,-0.81088,-1.83482,-1.55009,-0.5542,-0.71703,-0.28603,-1.00994,1.30259,-0.67391,1.95374,-0.45592,-0.7079,-0.56445,-2.77941,-1.99794,-0.04118,1.05484,-0.31675,0.339,0.95596,-0.43208,-0.00248,-0.20118,-1.51021,-0.24797,-0.44619,-0.24359,-0.35157,-0.34584,0.16369,0.14168,-0.91919,0.41872,1.01203,1.00777,-1.19789,-0.30868,1.75324,0.04432,0.26003,-1.0464,0.71001,0.18429,-0.90682,-0.23844,1.3523,0.58517,2.59807,-1.00755,-1.58493,-0.63868,0.18448,-0.64978,-0.11987,-1.03685,1.71532,0.41904,0.85102,-2.36111,0.70196,1.33846,-0.33433,-0.50717,1.52589,1.32606,0.70049,-2.82307,-0.55029,2.79145,0.72483,-0.78672,-1.27255,0.14297,-0.74911,-0.42901,1.24708,-1.0204,-0.45234,-1.23235,-1.21918,1.39625,1.033,-0.09174,1.99884,-0.15498,-1.17808,-1.75286,0.21082,-0.14525,0.11499,0.18847,-0.49682,0.96839,-0.88271,0.42224,0.69008,2.50489,1.92225,0.53632,-0.29117,-0.84387,-1.5165,-2.02644,1.32177,0.58441,0.98007,-0.15774,0.26245,-0.35978,-1.54966,-0.02641,1.27003,0.13904,0.51114,0.12444,0.16898,-0.86586,-2.06462,0.90906,0.81306,1.72646,0.10327,-0.59773,2.47463,0.46201,-0.2939,-0.69797,0.38452,0.28846,-1.13789,-0.63166,0.81267,1.0066,0.07166,-0.1128,-0.45016,-1.07676,0.15811,-0.06803,-0.41974,1.42006,1.48522,-0.90756,-0.69609,-2.89042,0.49893,1.25762,0.52203,0.47432,-1.73257,-0.57091,0.27217,1.02251,0.29357,0.34903,-1.3298,-1.22837,1.01364,0
0.92261,-0.74949,-1.5271,-0.18906,-0.45037,-0.06196,1.21747,0.8809,-0.32453,0.63235,1.62732,0.92996,0.99643,0.57609,-1.6361,0.51321,1.46153,1.44481,-1.77216,-0.21639,-1.2957,1.68311,0.97206,2.74229,-0.21829,0.69472,0.22108,1.00004,1.02479,-0.89151,0.27354,-1.4769,-1.28954,-0.37919,-0.95642,0.1508,0.25101,-2.03863,-0.9363,0.72107,0.27063,-2.30995,-0.82581,1.10402,0.79185,2.57764,-0.51653,0.61564,-0.88236,0.58612,-1.01632,-0.0529,0.49447,-0.93462,1.1063,-1.21796,-1.37643,1.30586,0.28581,1.25531,0.72491,-0.50815,-2.32627,0.66629,1.25866,-1.29891,-0.18642,-0.19527,2.1554,0.50189,2.38249,0.21986,-0.78078,-2.04883,0.42511,-0.83143,1.35052,-0.83033,0.87421,0.74306,0.56174,-0.79141,0.23278,-0.33283,-0.84771,-0.06319,1.26176,0.38135,0.36805,-0.6779,-0.88738,-0.66374,0.38237,-0.46933,0.11383,0.14302,0.14682,-0.13871,-0.06873,-1.53618,0.86093,0.58385,-0.14226,-1.21228,-0.58016,0.26481,-0.62546,-1.29336,-0.59637,0.56365,-1.23118,-1.18056,-0.41124,1.57137,0.20372,0.0652,0.02425,1.97329,-0.56082,1.29622,0.56823,-0.52062,-0.84046,0.32852,-0.84854,-1.19896,-0.5713,-1.19549,-0.28444,0.61751,1.26919,-0.52326,-0.14134,-0.35332,1.38247,0.76147,0.21934,1.53051,0.41804,-1.03598,-0.50325,1.05609,1.53039,1.9687,0.14314,-0.57979,0.57977,0.07334,0.22542,-0.31529,-1.06468,-0.36296,-0.8108,-0.71595,-2.16634,-1.05281,1.44219,0.17142,0.31946,0.98933,0.37677,-1.65153,-1.53815,-0.67118,-1.50957,0.77468,-0.45189,-1.76572,-0.76287,0.33192,-1.15452,0.69543,-0.12087,-0.13127,0.12012,1.19299,0.26623,-1.52096,0.74262,0.99843,0
-0.55112,-0.8358,-1.49596,1.00006,-0.9876,1.05809,1.67995,-0.59253,0.86243,-0.90452,0.82148,-0.09006,-1.61261,-0.19313,1.13438,-0.25282,-0.79884,-1.01082,-0.53959,-2.25872,-0.32875,0.802,-0.82699,0.67297,-0.34551,-0.26088,0.14511,-1.37105,-1.86752,-1.9927,-0.33879,0.29523,1.09863,-0.49799,2.87032,-0.05306,-0.663,-1.22034,0.29062,-0.62192,-0.94068,0.79063,-0.08837,1.21484,-0.46548,-0.13701,-0.34799,0.08219,-0.0162,0.33597,-1.00866,-0.02167,-0.18644,-0.0728,0.86804,-0.9177,-0.89994,-0.67231,0.05584,0.40175,0.35389,-0.11862,0.69859,-0.47388,1.41263,-0.27319,0.58349,-0.74503,0.68871,0.25748,0.95534,-1.09241,1.57949,0.05759,-2.09953,1.97789,-1.41401,-1.19731,0.29814,1.2781,-0.95042,-0.12907,-0.39047,-1.36873,-0.58607,-0.16716,0.13257,-0.67633,-1.00612,0.99066,-1.08977,-2.52059,-1.55826,0.83596,-1.19623,-0.97518,0.25861,0.29251,-0.02302,-0.69191,1.12763,-0.81201,0.03643,1.38672,-0.52878,1.06036,-0.52802,0.48167,2.40639,1.40694,3.43783,-1.15153,-0.21022,0.01774,0.77886,1.2121,0.82157,0.83183,1.22508,-0.68197,0.78144,0.24351,-0.13792,1.38873,-1.0944,-1.0724,0.50205,1.57016,-0.04683,1.1551,-1.74972,0.27844,0.84545,-0.8106,-0.7459,0.39377,0.32306,0.54726,-0.47885,-0.99678,0.92802,-1.93668,-0.29038,0.56955,-0.12905,0.81602,0.23681,0.75134,1.62341,-0.1444,-0.21898,0.15622,-0.67704,-0.91539,-0.61054,1.86723,0.31258,-0.06301,-0.87047,0.08146,1.99623,1.37715,-1.1413,0.7575,0.54529,-0.08402,2.31534,0.73888,0.15769,0.47378,-1.97615,0.20553,-0.74121,0.35934,0.99356,0.7595,1.02881,1.01638,0.71545,1.42892,1
-0.01402,-1.53413,0.13679,-0.97315,-1.17004,0.19973,0.56469,1.22229,-1.18613,-0.68967,0.5362,-0.36488,-0.49184,1.58885,-0.78061,0.28257,-0.52042,-0.34446,-0.24185,-0.44514,-1.07307,0.01786,0.81229,1.73317,-0.17797,-0.39115,0.70321,-1.09286,-0.43697,-0.59464,-1.35469,-0.72092,1.12506,0.16365,-0.74047,-0.86749,0.39258,1.36911,0.42408,1.1165,-0.25753,-0.45708,-1.90596,-0.67492,0.08128,0.93442,0.98993,0.65842,-1.36582,-1.49545,0.341,0.65688,-1.07532,0.71341,-0.63649,-0.64428,1.16631,0.66524,0.40581,-0.15198,1.45504,-0.66546,-0.17231,0.41511,-1.99021,-1.23648,-0.31525,0.81791,-0.34252,-0.70839,0.90352,1.15498,-0.30297,0.04982,0.16574,1.4,-0.70036,-1.10239,-2.02474,-0.39454,-0.26644,1.34223,-1.26071,-0.19039,1.0062,-0.00737,-1.96891,-0.03618,-1.08099,-0.01226,0.42,-0.74803,-1.30578,-1.83888,-0.21075,0.43619,0.25594,0.12886,-0.98621,-1.2631,0.28933,-1.4519,0.61483,-0.51923,0.20033,0.08374,-0.19217,-1.40979,-0.81826,1.27961,-0.46429,0.93207,0.21389,0.06156,1.42939,1.00471,1.28369,-1.15811,0.33347,1.30081,-1.18467,-0.28096,0.45898,1.2103,0.9305,-2.03504,1.99655,-0.29274,1.16803,-0.62641,0.02342,-0.99531,0.88339,-1.2583,-0.66342,-0.29912,-0.43523,-0.53418,-0.39352,0.10122,0.25384,-1.21544,-0.75384,1.29689,-0.93215,-0.88135,-0.16074,1.02766,-1.05753,0.73839,1.01345,-1.62485,0.46779,-0.58364,-0.78712,-0.30926,0.55012,1.03568,-0.35924,0.16401,-2.43005,-1.04919,-0.62018,0.09828,1.71118,0.28264,0.63902,-0.44837,0.5643,-0.4584,0.40214,0.17916,-2.03785,-0.26141,-0.84793,-0.5126,1.06059,-0.55721,1.26476,0.05051,1
2.76038,-0.68266,0.52937,-0.45947,0.62221,-0.26554,-0.09151,-0.52009,0.96716,-1.7269,0.14188,-0.53097,-0.78936,0.37757,0.20493,0.5272,-0.53623,0.90069,0.65521,-0.52108,0.90591,-0.87855,0.50596,0.47312,0.32878,-0.97469,-1.91296,0.92001,-0.19494,-0.11916,-1.15824,1.46804,-0.7537,-0.28079,-0.66454,-0.16957,-0.59118,-1.2685,0.46365,0.05701,-0.42369,-0.94607,-1.0866,-0.04418,-0.13893,-0.27466,1.20794,2.36445,0.31212,-1.16927,-1.06646,0.90569,-0.2927,0.6484,0.00206,-1.02867,1.25163,-0.55741,1.65071,0.08751,-1.30913,-0.9184,-0.01681,-0.20579,0.12568,1.5355,-0.53901,0.24576,-0.3169,0.98339,0.22664,1.91404,1.24364,0.70716,1.74724,-1.0423,-0.78882,-0.35649,-0.87203,1.48133,-1.41808,-1.526,-0.4878,-0.66924,-0.52129,0.06089,0.45683,0.28982,-1.43484,-1.69414,-0.26023,-0.00891,0.56085,-0.34002,-0.45072,0.8041,-1.29633,0.33569,-0.19653,-2.25716,1.47477,0.06049,-0.53425,-0.1786,0.72465,0.54793,0.44147,-1.11362,1.07303,0.17844,0.06884,0.42566,1.79732,0.70496,-0.6051,0.20964,-2.02334,0.95619,-1.88353,-0.09044,-0.66329,-0.4034,2.05998,-0.92812,-0.52277,-0.03473,-0.29284,-1.55719,-0.8951,0.00579,0.77482,0.763,0.24061,0.7137,-0.13299,0.07346,-0.17091,-1.07811,-0.31032,2.81514,-0.50052,0.00993,0.96937,0.32112,-0.47278,0.63854,0.67866,-0.82528,-0.2289,0.09535,1.27283,-0.94203,1.10129,2.36778,-0.87378,-0.87442,-0.34556,-1.61944,-2.26193,0.48721,1.97927,-0.27689,1.36887,0.57025,-1.44923,0.43148,-1.29202,-0.32356,0.09213,-1.36174,0.4387,0.21516,1.69287,0.39584,-0.2386,2.05175,0.03764,-1.39107,-0.01117,0.82436,1
1.63184,-0.34506,1.87494,-1.0328,-0.00526,0.04709,1.31654,-0.85098,-0.02637,-0.56527,-0.754,1.82502,1.25082,-0.85503,-0.25625,0.28899,-1.33231,-1.97201,1.26749,-0.55542,-1.44432,1.58678,0.90361,-1.13105,0.30515,-1.30346,-2.42141,1.08878,1.25929,0.4034,0.20861,1.1865,-0.09763,1.17785,-0.47864,0.78354,-1.30448,0.42556,-0.32164,1.02735,-0.21737,-0.43846,-0.7745,-1.60547,-0.79376,2.02055,0.01775,0.76779,0.60844,-0.11225,-0.97915,-2.39972,-0.38653,0.70239,-0.44485,-2.43647,-0.11419,-1.03134,-0.68292,0.53581,1.75793,-1.16025,-0.2641,-1.33147,-1.39156,-0.09799,0.25541,-0.51789,-0.05693,-0.14304,0.4766,-0.17103,-0.37695,-0.16087,-1.28373,-1.24521,1.26514,-0.78374,0.7598,0.02904,-0.30219,-0.06159,-0.53423,-0.29867,-0.34232,0.19154,-1.81122,-0.20107,1.29636,-0.72555,1.83769,-0.29097,-0.07726,1.83479,0.22544,-0.81154,-0.55486,0.80772,-0.16827,-2.93467,-0.19905,0.38753,-0.21587,-1.73053,-0.01085,1.18837,0.74077,0.62456,-0.33496,0.26661,-2.12287,-1.14223,-1.66573,-0.07152,0.99536,-0.46375,-0.21276,-0.50385,-0.45125,-1.68995,0.02805,0.41028,-0.31456,-0.0671,-0.51862,1.64416,-0.07174,-0.77517,-0.31285,0.00929,-0.35632,-0.38439,-0.27998,0.58915,-1.00105,0.15248,0.16411,0.58164,-1.72524,-0.1277,0.06189,-0.87079,2.49433,-0.75949,-0.72247,-0.46306,-0.18874,0.10555,0.62016,1.57157,-0.66422,-0.8382,0.71695,1.37729,-0.18916,0.73441,1.31833,-1.05607,-1.0233,-0.80418,0.33244,-1.61032,-0.83313,-0.87545,-1.37357,0.70312,-0.33294,1.23563,0.33564,-1.32089,0.51482,1.90523,2.16366,-0.08021,1.78984,-0.68542,-0.4921,2.24768,1.19433,-0.38511,1
-0.55174,-0.52595,-0.06094,0.20458,-0.11105,0.95568,-0.71691,-0.83552,-3.38466,0.24952,0.46191,-0.24279,0.14531,-0.81,-0.88447,0.96703,-0.79591,1.1115,-0.48532,0.97762,-1.52537,-0.23949,0.09059,-1.44594,-0.46728,-0.62794,0.09931,-1.21494,0.90824,1.16111,-2.06439,-0.17561,0.39775,1.16688,-1.55157,-0.89148,-0.45925,-0.85721,-0.14899,0.29461,-1.43432,0.44283,-0.6876,0.49661,0.35937,1.54471,1.79327,-0.15218,-0.4703,2.31541,1.56313,2.12912,-1.20688,-0.06696,-0.93093,-1.72378,0.05271,-0.09837,-0.51473,-0.026,0.36138,-0.41187,0.83398,-0.23523,1.92061,-0.91903,1.34771,-0.12482,-1.23703,0.79159,-0.7303,-0.17806,-0.72381,-1.38185,-1.35609,0.40202,1.00408,-1.63423,0.27275,-0.33206,0.89745,0.09497,-1.44502,-0.03039,-0.03512,0.33079,2.38871,1.10916,0.11214,1.61206,-0.60339,0.29891,0.90062,0.55349,0.36178,-1.21916,0.24916,1.77233,-1.26121,0.53203,-0.39235,-1.71522,-0.028,0.68909,-1.53591,-0.33095,0.03665,1.03499,0.14183,-0.49671,1.98487,-0.21509,0.50231,2.48881,-0.68946,0.22487,-0.47061,0.76872,0.0907,-0.60128,1.54383,0.77866,0.40093,0.45422,0.38472,0.04867,1.13303,-0.58809,-1.56636,0.82012,-0.01582,-0.37459,0.99291,0.13014,-0.11669,-0.23232,1.51704,0.25959,-0.39859,-0.4152,0.7642,-0.07123,-0.89968,-0.15942,-0.00215,-0.08822,-1.69631,-0.05118,0.11635,-0.5692,1.6086,-3.25483,0.83432,0.24548,-1.02511,1.34869,-0.02164,0.31927,0.13967,1.19141,-0.74935,0.14911,0.50991,2.07159,0.15991,0.31587,-1.45461,0.2289,-0.04069,-0.89882,0.25319,0.60952,0.40579,-1.55732,0.02074,-0.28073,0.06628,-0.01406,-0.00999,2.09869,0
0.85319,0.47418,-0.09364,-0.52692,-0.55923,0.78635,-0.26037,-0.23033,0.5034,-1.13446,0.6221,0.71975,-0.29756,-0.98483,-0.669,-0.08011,-1.31195,-0.41625,-1.74387,-0.16666,0.34753,0.86753,-0.29845,0.93923,1.2768,-0.4881,0.78233,-1.59168,-0.78038,-0.51592,0.38783,-1.10978,-1.81043,-0.60576,1.15039,-0.9798,-1.7926,-0.10616,-0.00711,-0.65055,0.18136,-0.05631,1.77713,-1.00863,-0.13065,0.90927,0.23656,-0.53144,-2.22537,-1.06677,0.05836,1.69233,-0.21313,0.55839,0.41339,0.52191,0.4603,0.9754,-1.59792,-0.80552,0.23478,0.15865,-2.04025,0.36109,-0.83523,0.28019,0.33419,0.87867,-0.19832,0.97549,-0.92272,0.84595,0.3066,0.66879,0.64048,0.33922,-2.44004,2.8782,-0.65578,0.24188,-0.27194,-1.15028,0.21325,1.58113,-0.40114,-0.12693,-0.89398,-1.62039,0.21013,-1.16649,1.27929,1.91571,-1.10705,-0.41862,0.25248,2.1907,-0.38647,0.54127,0.73823,-1.52882,-0.24922,-0.46276,-1.16918,1.00385,-0.95203,0.14307,-0.64158,1.05204,0.5312,-0.61529,0.52105,-0.36082,-1.43046,0.5705,0.94537,0.24376,-0.69708,0.18717,1.17769,-1.62052,0.3291,-1.71411,0.68285,0.25966,1.2856,-1.55934,-0.38937,-0.51813,-2.26262,0.29262,-0.33391,-0.1824,-0.97412,0.65159,-0.55924,2.02508,0.374,1.44913,-0.58861,0.34706,-0.01548,0.04303,0.41148,-0.98885,0.32234,0.57279,-1.17122,-0.4126,0.29833,-0.00177,-0.68252,-0.55163,1.17134,-0.2723,-1.7852,-1.00375,-1.66325,-0.72436,-0.09662,0.65467,-0.69645,-0.28488,-0.86073,-0.67357,1.31443,0.22513,0.80021,-0.97913,-1.04702,0.89843,0.42158,0.38729,0.42086,-0.02425,0.54398,0.17898,1.87736,1.63232,-0.54152,0.1556,1
