x1,x2,x3,x4,x5,x6,alvo
0.4071,-0.70635,-1.17157,-1.01478,-0.07193,0.51639,0
-1.83017,0.99231,0.16904,-0.51349,-0.04611,0.09458,0
0.62071,0.62954,-0.39305,-0.29573,1.17918,-0.02039,0
-0.94236,0.08188,1.65963,0.51167,-0.00886,0.5753,0
-0.73211,0.14904,2.12695,-2.23517,1.90635,-0.46398,0
1.22119,0.19432,-3.11638,-0.10046,-0.17506,-0.14475,0
0.0969,-0.80863,-0.20634,-0.70941,0.55662,-0.24178,0
-0.35566,0.82196,0.03003,0.50794,0.19128,1.3873,0
0.90952,0.27519,0.75977,0.0718,-0.36745,-0.07544,0
-0.59985,-0.88494,-0.78474,0.51042,0.67223,-1.41149,0
2.13894,-0.00992,0.63978,0.82386,0.9189,0.98602,0
0.1342,0.52189,-0.2982,0.27065,-0.2644,-0.58031,0
-1.52051,-1.93813,-2.78459,0.3599,-0.46682,-0.34868,0
0.92332,-1.83276,0.86301,1.22166,0.03055,2.09884,0
-0.13878,-0.38994,-1.0491,0.20263,-0.51191,-0.28645,0
-0.41785,1.56556,0.18805,0.42379,0.22089,-0.76316,0
1.04661,1.32925,-1.69536,-1.51076,0.043,2.2142,0
1.09544,1.73139,-0.74117,0.05982,-0.03329,-2.06978,0
-1.48571,0.77817,-0.77539,-1.67361,0.14418,0.57858,0
-0.62742,-0.31534,0.34027,0.37355,-0.14021,-0.23124,0
-1.02057,0.15748,-1.93516,1.21646,-0.81772,-1.09725,0
-1.10056,0.19415,1.74069,0.68006,1.0074,-0.66126,0
-1.73308,0.18312,-1.67729,1.85252,-1.17466,0.11373,0
1.98293,-0.19678,-0.24442,-0.09578,0.24948,-0.2773,0
1.05508,0.15355,1.09286,0.30385,-0.03664,1.03437,0
0.34791,0.50692,1.43225,0.56086,0.61184,0.27262,0
-0.34376,-0.13572,-0.30419,0.05881,0.77433,-0.43459,0
-0.10266,0.42345,0.00336,-0.26246,-1.1809,1.11455,0
-0.58085,0.62806,-0.71671,-1.25493,-0.36895,-0.33244,0
-1.07657,-0.05919,0.98794,-1.20535,-0.62085,0.91758,0
-0.06938,-0.16139,0.83224,0.18305,-2.18483,0.23406,0
0.1518,3.15537,-0.26595,1.93444,3.07612,0.24779,1
-0.33338,0.64223,-1.49234,2.06193,1.13657,-1.56422,0
2.12241,0.51041,0.02724,0.05131,-0.0353,0.50119,0
-0.49481,-0.51142,0.68157,1.54172,-1.63101,-0.52108,0
-0.22336,1.56126,-0.84101,0.00818,0.90279,-0.4723,0
1.0215,0.02705,-0.00938,-0.4392,0.10753,-0.45324,0
