id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E20,T12,1.45879,0.74762,1.55547,1.03585,0.50918,1
E35,T07,-0.36217,-0.97244,-1.55037,-1.5386,-0.10629,0
E31,T02,2.97155,0.851,-0.23941,-1.02664,-0.26778,1
E37,T03,-1.31402,-0.38911,1.74997,-3.65118,-0.06642,1
E40,T08,-0.24718,1.45323,-0.2055,-1.02615,0.79065,1
E19,T10,-0.14938,0.54795,0.2564,-1.04563,-1.86189,1
E15,T04,-0.36596,-0.09361,-0.85919,0.60657,1.2782,0
E06,T13,-3.90002,0.16294,0.38869,1.53187,0.24688,0
E34,T16,-1.4303,-0.3593,-0.24856,0.12293,-0.93639,0
E21,T14,-1.59603,0.68499,-0.55207,-0.93658,-0.13324,1
E01,T14,-0.52904,0.08107,-0.4346,-0.02135,-1.72446,0
E17,T01,1.36443,-0.895,-0.34387,0.57712,-0.14932,1
E34,T02,-1.4639,1.52127,0.78417,0.98652,-0.65524,1
E31,T12,2.98038,-0.11356,0.03759,0.79856,0.14234,0
E02,T10,-1.16046,-0.28699,1.85156,-2.20584,1.15967,1
E11,T12,-1.74668,0.42276,-1.85235,0.80158,0.34742,0
E26,T05,0.40355,0.48561,0.07841,0.77235,0.06829,0
E37,T08,-1.29893,1.34148,0.91132,0.67249,0.66375,1
E08,T04,1.31622,0.52369,1.02312,-1.46031,0.24706,0
E17,T07,1.34724,0.11968,0.98736,0.98082,-1.32764,1
E28,T01,0.66863,1.07213,-0.15407,1.28443,0.9594,1
E30,T14,-0.53016,0.53932,-0.26229,-0.35583,-0.22432,1
E06,T03,-3.95088,0.3738,-0.28058,0.14278,-0.09298,0
E02,T06,-1.19696,0.21358,0.37012,-0.59889,1.50999,0
E04,T04,3.5285,-0.33091,-0.81349,-0.65259,-1.60029,0
E28,T03,0.69272,-0.30936,0.04901,0.52757,0.59207,0
E31,T05,2.90769,-0.71019,1.20365,-1.02602,-0.15168,1
E03,T14,1.98157,-2.05149,2.11756,-0.35683,0.96252,1
E30,T03,-0.48102,-1.07168,-2.33624,0.70577,0.29657,0
E08,T15,1.30579,1.14147,0.58296,0.06655,-0.54802,0
E11,T15,-1.76173,-0.85545,-0.20337,-2.06708,-1.1785,0
E09,T10,-0.26383,-1.69059,0.58136,-0.49942,-1.38441,0
E39,T02,-1.29102,-0.33261,0.61467,1.21478,1.18333,0
E20,T07,1.46405,0.25657,0.95941,-1.32196,-0.87964,1
E38,T02,4.63342,2.86435,-1.62472,-0.14826,-1.57488,1
E04,T15,3.52757,1.23436,-0.84254,-0.99142,-1.25401,1
E24,T08,-1.04038,-1.02509,-0.59611,1.10487,0.41137,0
E21,T13,-1.63578,0.11952,-1.50931,0.51823,-0.98809,0
E01,T04,-0.48183,0.27752,1.54658,-0.71325,1.67109,0
E25,T07,2.24105,1.78717,-0.07499,-0.79273,-0.50075,1
E32,T05,2.23455,-0.08534,1.37189,0.26498,1.65384,1
E36,T14,0.09537,-0.28479,1.20285,-0.57781,1.65521,1
E39,T10,-1.29571,-0.69753,-0.4181,-1.41428,0.11694,0
E35,T13,-0.36407,1.65668,0.86356,0.57925,0.53089,1
E32,T04,2.24343,0.25562,-0.33621,-0.49481,0.99756,1
E09,T06,-0.27617,0.33625,1.89329,0.94616,0.41479,0
E08,T01,1.31381,1.55321,1.05734,-0.82875,0.4566,0
E28,T15,0.67803,0.1923,0.33909,-0.22867,-0.2612,1
E23,T12,1.54619,0.77711,0.67719,-0.36829,0.67602,0
E11,T04,-1.76044,-0.30465,-0.31542,0.4399,1.614,0
E19,T09,-0.17524,0.41514,-1.30147,-0.00754,2.03404,1
E32,T08,2.22797,0.43339,0.07995,-0.0934,-0.2868,1
E35,T01,-0.37912,-2.87247,-0.08653,0.38798,-0.12616,0
E14,T09,-1.10214,0.55135,0.696,-0.5887,-0.0679,1
E05,T10,1.79324,-2.51171,0.96637,-0.22474,0.79296,0
E38,T14,4.70763,-2.25473,-0.42656,-1.31756,0.53786,0
E23,T07,1.54842,-1.96424,-0.49079,-2.46162,-1.01832,0
E34,T05,-1.44268,-1.83219,-1.71956,-0.89903,-0.24912,0
E16,T07,-1.96078,0.36524,0.18821,1.79353,0.67958,0
E14,T01,-1.11376,-0.09852,1.03516,0.71414,-0.6584,1
E18,T02,1.67099,-0.19722,1.53607,-1.32466,0.16703,0
E21,T07,-1.58459,-0.81291,0.29032,0.60589,-0.32531,1
E22,T07,-1.41709,0.77339,0.75155,0.75853,-0.49104,1
E08,T07,1.27317,-1.07986,0.70821,0.17767,0.67307,0
E01,T12,-0.50638,1.47304,1.35303,1.26574,-0.27577,1
E29,T03,1.34057,-1.65014,-0.46394,1.42266,-1.17871,0
E40,T02,-0.25375,-1.34413,-0.62822,0.79982,0.02429,0
E36,T15,0.12,0.33131,-0.71612,0.34401,1.28463,0
E35,T16,-0.38421,0.25062,0.817,-0.56638,1.24067,1
E16,T16,-1.94511,0.5166,-0.51837,-1.26208,-0.62524,0
E02,T12,-1.18855,2.10616,1.26714,-0.01459,-0.26066,1
E40,T01,-0.26782,-0.74566,2.09645,0.26578,-0.10466,0
E27,T03,-0.38385,0.49986,-1.9407,-0.87723,0.21524,1
E36,T04,0.09502,1.73259,1.79915,0.85224,0.83107,1
E13,T07,-0.71939,0.26756,-0.06676,-1.24163,-0.25547,0
E12,T09,1.79448,0.00419,-0.35696,-0.81831,-0.94126,0
E38,T15,4.718,0.59821,1.28478,0.95852,-0.35355,1
E03,T02,1.98577,0.23339,0.83082,1.08852,-0.33947,1
E35,T09,-0.37305,-0.11239,0.76909,0.59447,0.18339,1
E37,T13,-1.30693,1.39603,-0.6986,0.56771,-0.64477,0
