trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,0.2552,0.11507,-1.36638,-1.28055,0
1,0.8387,-1.2824,-0.96541,-1.05616,0
2,0.08722,0.29132,-0.61386,0.17899,0
3,0.09093,0.32715,-2.28866,0.86729,0
4,-0.03313,1.48417,-1.64847,-0.68564,0
5,-1.38644,1.99987,0.5807,0.95337,0
6,0.7834,0.53282,1.00181,-0.85676,1
7,1.35744,1.28226,-0.32378,0.35513,1
8,1.55806,-0.24338,1.85492,2.25898,1
9,2.0866,-0.06032,-1.21426,-1.24344,1
10,3.00027,-1.30677,0.15259,-2.1659,1
11,0.48762,1.05837,-1.1445,0.19413,1
12,0.01811,-0.28151,0.43922,0.27205,0
13,-0.16405,-1.03122,-0.8751,1.31618,0
14,-0.56222,-0.7358,1.79967,0.5438,0
15,1.37253,0.30276,1.07017,-0.63543,1
16,1.66092,0.92134,0.05818,1.11733,1
17,0.54555,1.10816,-0.90434,-0.27624,1
18,0.88011,0.9858,1.63939,-0.8527,1
19,-0.86175,-0.9943,-0.15226,-0.3892,0
20,0.92054,0.87426,0.49004,1.16506,1
21,-1.66496,0.03784,0.60374,-0.78314,0
22,1.0835,-0.03512,-0.70298,0.37567,1
23,0.04262,1.29452,-0.36805,0.07388,1
24,-0.60617,1.7622,-0.48547,0.13303,0
25,0.123,1.22118,-0.48682,-1.05642,1
26,-0.24868,0.55984,-0.01609,-0.33778,0
27,-1.13066,0.64712,-0.79254,-0.1506,0
28,1.60765,1.49834,-0.09992,-0.84166,1
29,-0.98243,1.01405,2.55675,2.5498,0
30,-1.81972,-0.40261,-1.29808,-0.95901,0
31,-0.14064,0.62391,0.89965,-1.72416,0
32,0.33886,0.67527,1.14933,-2.66942,0
33,-1.22979,-0.72115,0.63687,-0.33603,0
34,-0.18545,0.4008,1.21616,1.91279,0
35,-1.27635,1.24433,0.16088,-1.03529,0
36,0.43869,0.14863,0.13029,-0.93797,0
37,1.25779,-0.29548,0.05411,1.29403,1
38,0.24796,0.9067,-0.28681,0.16581,1
39,-1.29151,0.39101,1.28096,-0.25379,0
40,1.62842,-1.76531,0.82637,1.69933,0
41,-0.36651,-1.212,0.80836,-0.80352,0
42,1.04958,0.3312,0.12706,-1.63197,0
43,-1.24175,0.0595,0.16506,-0.31339,0
44,0.21869,-0.13843,-0.63589,1.81512,0
45,1.35361,-1.42778,1.77203,1.25938,0
46,-1.35238,0.13034,1.68527,-0.99809,0
47,-0.10419,-0.84461,-1.40751,-0.0842,0
48,1.22857,-0.15101,-0.90954,-0.39407,0
49,-1.41174,0.16265,-0.43785,1.10049,0
50,-0.39158,-0.41,-2.92647,-1.24771,0
51,-0.48071,-0.33295,0.78663,0.43461,0
52,-1.01363,-1.14166,-1.93042,1.54276,0
53,-0.4003,1.06397,1.4299,-0.95304,0
54,0.04775,-0.25101,0.23362,-0.83995,0
55,-0.30109,-0.01264,0.92631,-1.41543,0
56,0.22007,-0.52964,-0.53863,-0.22723,0
57,-0.31188,-0.17986,-2.43356,-0.1087,0
58,0.53068,-1.50443,-1.88789,-2.10273,0
59,-0.20562,0.43488,-0.94836,1.31488,0
60,-0.26379,0.16827,0.73913,0.13187,0
61,-0.33749,-0.70176,-1.07558,-1.61449,0
62,0.30812,0.69835,0.31576,-1.72239,1
63,-0.75234,-0.63693,-1.79834,0.73319,0
64,1.20682,0.61599,-0.67369,-0.39349,1
65,-1.53712,-2.01931,-0.63364,-0.60467,0
66,0.07621,0.6428,0.90684,0.94578,1
67,-1.20306,1.31253,0.11779,-0.66652,0
68,-0.58838,0.82906,1.10167,0.04572,0
69,-1.45929,-0.33973,0.15772,-0.64164,0
70,0.38592,-1.28466,-1.74971,-0.86147,0
71,-1.15028,0.52191,1.22273,-0.10897,0
72,0.96234,-0.42593,0.90037,-1.18946,0
73,0.88611,0.44576,-0.77143,-0.93302,1
74,0.76722,-0.66736,-0.72234,0.93978,0
75,-0.11203,1.05954,-2.22398,-0.67931,1
76,-0.65554,1.67285,0.43976,1.36997,1
77,0.0155,0.84912,0.81,1.00137,1
78,-0.56739,-0.75197,-0.95842,-0.20988,0
79,-0.20963,-0.90688,0.62089,1.92212,0
80,-0.59054,-2.54789,-1.38751,-0.4899,0
