f1,f2,f3,f4,f5,f6,f7,f8,alvo
-1.22973,0.46764,-0.73143,0.61648,1.90883,-0.75903,-0.2685,-0.37068,1
0.29116,-0.79654,-0.14888,-1.05926,-0.89468,-1.61017,-0.26854,-1.20727,1
0.43326,-1.06229,-0.53812,1.01594,0.04097,-1.49513,0.5263,-2.88389,1
-2.7054,-2.37123,0.14826,0.78117,0.96543,1.33756,1.49057,-0.70158,0
0.24909,0.12616,-1.88709,-0.487,1.19562,-0.36548,0.11461,-0.39649,1
-1.41785,-2.48527,-0.70824,-0.57128,-0.12654,-0.92859,-0.29421,0.99046,1
-0.95045,-2.00207,-1.09244,-0.28883,0.25109,-1.23216,0.09274,-1.11,1
-1.39153,-2.07938,-0.60091,0.32308,1.04639,0.37731,0.07932,0.49285,0
-1.06411,0.9898,-1.07738,-1.01071,-0.81776,-0.14349,-1.04387,0.4954,0
1.90107,-0.70964,-1.08358,-1.61132,1.2129,-1.87168,0.66456,0.1065,0
0.27774,0.49646,1.08414,-1.34385,-0.39419,0.45444,0.57925,0.11026,0
0.04896,-0.5902,-0.18968,-0.87852,1.19458,0.31651,0.56077,0.68271,0
-0.92466,0.66693,-1.17439,-2.15917,-1.02868,-0.72732,0.29051,1.30232,0
1.20931,-0.22843,-1.25321,-1.17192,-0.98884,-0.74069,0.67086,1.09428,0
-1.67958,0.21409,0.96224,0.36603,-0.35063,-1.41912,0.84884,0.56848,1
-0.48967,-0.51273,0.41037,1.02462,0.3496,-0.31046,-0.79758,-0.7625,1
0.45237,-0.55768,-1.7623,-0.52718,0.58918,-0.98623,-0.84937,-0.02802,1
-0.00459,-1.29228,0.59485,-1.875,1.27148,-0.78106,-0.1318,-2.0873,0
0.08155,-0.56597,1.654,-0.66604,-0.0145,1.6697,0.04246,1.2834,0
0.6728,0.62613,-1.14337,-1.17833,-0.09352,-0.2078,0.61737,1.21772,0
0.83549,0.37882,-0.74725,-0.8805,0.53706,0.49338,0.56948,0.0256,0
-1.13557,-1.3683,0.84237,-0.18671,-0.76602,0.28237,-1.02863,-0.98533,1
