x1,x2,x3,x4,x5,x6,alvo
-0.35643,0.3136,-0.6258,0.20519,-0.17676,2.76568,0
-0.41476,0.54659,-2.24494,-2.17994,-0.88685,-2.14563,0
-1.28005,1.26376,1.51495,0.29243,0.17677,-0.7807,0
-0.45025,-0.63184,-0.68306,1.97691,-1.05186,-0.76745,0
0.01387,-0.57719,-0.51266,-0.40192,0.95547,0.73273,0
0.12632,1.30938,0.13974,0.6683,-0.1835,-0.01564,0
-0.35441,-0.2738,-0.09456,-0.51245,0.26192,0.01458,0
0.85721,0.61428,-0.68331,0.33997,1.20652,0.02541,0
0.41075,-0.69772,1.79823,-1.94534,-0.83789,0.8272,0
-1.03792,-1.37475,0.45419,0.2438,0.07305,0.01947,0
1.41088,-0.13132,0.49006,-0.29664,0.09382,0.75252,1
1.05332,1.0125,1.3326,1.46101,1.84815,1.52162,1
1.75362,-0.18767,-0.08155,-0.79413,-0.71041,-1.50828,0
0.99664,1.15119,0.38921,-1.19222,-0.05247,0.83413,0
1.46855,0.9003,-0.98208,-0.49296,0.30761,0.14297,0
0.27368,1.52879,-0.06566,0.56025,-0.81377,-0.32641,0
1.14733,1.28512,-0.17475,-0.40246,1.27396,-0.33023,0
-0.41021,-1.00458,-1.58624,2.30299,0.00278,0.74573,0
1.29699,0.14451,-0.59043,0.40867,0.06209,-0.38565,0
0.83934,0.6823,-0.32589,0.67437,-1.30502,0.6258,0
-0.86062,1.35999,0.71698,1.2495,0.44534,-0.92316,0
-1.24802,-0.98747,-0.54244,2.98773,-0.28245,-0.17043,0
-0.49614,0.64206,-0.01869,-0.14807,-0.29869,0.11556,0
0.13404,0.08865,0.14156,-2.56268,2.02994,-1.43646,0
-0.09123,-0.08752,-2.33828,0.87544,-1.34423,-0.44794,0
1.61721,1.65724,1.69659,1.85873,1.36394,-0.10273,1
-0.25297,-0.43536,-0.53195,-1.42861,-0.65719,0.1253,0
-0.14241,-1.06921,-1.05677,0.62099,-1.6905,-1.3686,0
-0.04048,0.09746,-0.19459,-0.19457,-1.18579,0.06211,0
0.26883,-0.17683,-1.31416,-1.72359,2.16181,-0.28985,0
-0.01546,-0.50533,0.04274,-1.6295,-0.65269,0.33759,0
-0.41339,-0.00307,-0.6105,-0.62382,0.50101,-1.645,0
-0.43048,0.20192,0.48444,-1.8471,0.9882,1.94436,0
0.60509,1.38071,0.15052,0.28376,1.59046,-0.13093,1
-1.02003,-1.78684,-0.83242,0.6502,-1.49167,0.5781,0
0.57693,0.84601,-0.91488,1.14574,0.64214,-0.33091,0
-0.86203,0.58588,-0.21966,0.35992,1.11061,-0.03075,0
-1.80569,-0.96695,1.25871,0.81466,-0.66331,-0.0484,0
-0.11169,-1.78938,0.9882,-0.17311,-1.27223,2.00439,0
2.19181,2.44031,-0.8671,1.15486,-1.34801,-0.12018,0
0.67367,0.4091,0.95769,-0.49233,-0.53673,-0.38604,0
-0.55189,-0.86359,1.87284,0.62998,-0.49407,-1.08482,0
0.52427,1.23098,1.06773,-0.38365,0.34797,-0.04884,0
-2.18758,-1.42905,1.1847,-0.13933,0.39677,1.32874,0
-1.86584,-0.86641,-0.01114,-1.0753,-0.70474,0.39313,0
-0.1721,-1.01226,0.26065,-0.35523,-0.4052,0.36318,0
0.20435,1.28539,0.2062,-0.82209,-0.20802,-1.1627,0
0.34263,0.34623,1.48657,0.01196,0.33184,-1.79521,0
-0.54522,0.20078,0.09328,-0.54585,1.06128,-2.10981,0
0.97331,0.17071,-0.38125,-0.30208,0.85556,-0.39053,0
-0.43609,0.36143,-1.09283,-0.12211,0.72649,-0.23306,0
1.65526,-0.22981,-0.74536,-1.72215,1.19235,0.22266,0
0.86562,-0.54209,0.10604,-1.18747,0.38558,-0.3767,0
0.14088,-1.02423,-1.1706,-0.6882,0.58028,0.53175,0
1.18898,0.4588,-0.44739,0.83564,-0.23437,0.55058,0
-0.45741,-2.18747,1.22512,0.66177,1.98318,-1.32881,0
-0.6895,1.14001,0.00935,0.0984,0.2293,0.26988,0
0.37613,0.43809,0.39115,1.17604,-0.69991,-0.65294,0
1.31279,0.81642,0.29152,-0.58381,-1.17221,1.56844,0
-2.4778,-0.10951,-0.32951,-0.79244,0.18555,-0.85796,0
0.9716,-0.56271,-0.16054,-0.19116,-1.2314,-0.27271,0
-1.20634,-0.6618,0.51793,0.84958,-0.90552,1.41097,0
0.89633,-1.3315,0.1409,0.13151,0.12757,-1.43774,0
0.38756,0.7649,-0.45509,-0.16813,-0.61256,2.2477,0
0.28939,0.69738,0.97795,-0.26429,2.45088,2.593,1
0.52309,-0.29756,1.38406,-0.02092,0.25155,-0.75477,0
-0.17855,1.3509,1.72259,0.82557,0.7749,-1.71196,0
-0.89558,0.09083,1.05634,0.96524,-0.24119,-0.28608,0
0.33354,1.52133,0.89644,0.57983,0.19694,0.16753,0
0.7177,-0.55216,-0.614,0.37567,-0.27692,-0.37416,0
-0.30086,1.22983,2.13537,-0.17877,0.1016,-0.64749,0
-0.4085,0.92772,0.38988,0.92501,2.16247,1.64899,0
0.33258,0.16162,0.45812,-0.24368,0.75033,1.23591,0
-0.34604,0.29317,-1.30554,0.27803,-1.32838,-0.10923,0
0.47088,0.79853,-0.44718,0.8099,0.92152,0.92376,0
1.78787,0.31129,-0.43605,0.26944,-0.3973,-1.81044,0
-1.40494,-0.23064,0.96767,0.61507,-0.71066,-0.28267,0
0.15434,1.01514,0.05674,-0.11113,0.08654,1.40203,0
-0.45531,-1.57508,-0.25991,1.46571,1.3667,-0.51344,0
-0.99521,-0.40767,1.06022,0.36566,1.23885,0.2683,0
