trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.29026,0.64831,2.9018,-1.62662,0
1,1.2791,0.75613,0.99009,-0.20031,1
2,0.49477,0.56173,0.79544,-0.20743,1
3,2.02652,-0.06049,0.54808,0.9272,1
4,-0.24913,0.17195,-0.1609,-1.17872,0
5,1.34932,0.51641,-0.08244,0.15178,1
6,0.65518,-1.08309,-0.04113,1.13546,0
7,0.02409,1.64828,1.18474,0.96604,1
8,-0.33645,-1.03009,1.45508,-0.05597,0
9,1.43009,-3.05062,0.29864,-0.92511,0
10,0.66131,-0.25459,1.73985,-0.45674,0
11,-0.40327,0.49829,-1.65825,0.36793,0
12,0.85378,-0.74258,-0.22882,0.81427,0
13,-1.14882,0.68588,1.72703,1.87512,0
14,-1.69383,-0.4482,1.73392,1.26467,0
15,-0.16162,1.89136,-0.36431,-0.77766,1
16,1.10123,1.01797,-1.29689,0.02877,1
17,0.07247,-0.20125,-1.21139,1.85586,0
18,-0.82291,-0.41699,-0.49395,1.67131,0
19,-0.75805,2.16452,2.47505,-0.97252,0
20,-0.20027,-0.39383,1.49408,1.66911,0
21,0.87468,-0.21316,-1.83822,0.47456,1
22,-0.54151,-0.10402,-1.91376,-0.42167,0
23,-1.61534,-1.00902,-0.91407,0.0039,0
24,-0.58074,1.03398,1.47415,1.57264,0
25,0.64855,0.18052,-0.28494,-0.62963,0
26,2.80529,-0.50911,-1.62877,-0.16609,1
27,-0.69831,1.0391,0.3461,2.50645,0
28,-0.75722,0.8035,0.23203,0.42566,0
29,-1.22625,-3.17223,-0.09769,0.92683,0
30,0.73448,-0.76684,0.43898,-0.2279,0
31,-0.06118,0.65094,1.12393,1.04482,0
32,-0.6308,1.57097,1.08696,0.73431,1
33,1.83287,0.23933,0.7656,-0.77452,1
34,1.28062,-0.51321,-0.43064,-0.29142,0
35,-0.79732,-0.91612,-0.61369,-0.22729,0
36,0.71341,0.02573,1.65549,-0.54861,0
37,-0.34368,-1.23687,-1.28097,-0.91667,0
38,-1.48927,-0.18919,-1.24979,-0.30872,0
39,0.09033,-1.0213,2.03086,0.924,0
40,0.85686,-0.89576,1.2624,0.29318,0
41,-0.38938,0.14985,0.6552,-0.2474,0
42,-0.20894,-2.46628,-0.08504,0.99494,0
43,1.09605,-1.36062,1.22626,-0.35024,0
44,0.47591,-0.22905,0.04004,-0.86432,0
45,-1.28277,-1.45109,-0.36684,0.62706,0
46,0.10444,0.12834,0.43444,0.47608,0
47,-0.3392,1.05011,-0.1341,1.08978,0
48,-0.96373,1.60979,-0.4482,1.85797,1
49,0.92662,-0.4152,-0.00985,-0.22774,0
50,-0.95318,-1.29314,-2.22628,0.24775,0
51,-1.79718,-0.90365,0.68359,1.36815,0
52,-1.38611,1.66906,-1.77351,-1.03319,0
53,0.35506,-0.49817,0.53194,-2.4834,0
54,0.37526,-0.27144,-1.65877,-1.2867,0
55,1.57995,-0.17287,-1.50753,-0.01965,1
56,1.89585,1.70924,0.8268,1.56774,1
57,-0.68628,2.41744,0.35623,-1.22567,1
58,-0.66037,1.71091,0.01993,1.9267,1
59,-0.52517,-0.31331,0.17358,-0.05203,0
60,-0.58925,1.10835,1.07318,-0.71842,0
61,-0.7012,0.62075,-0.74866,0.31593,0
62,1.38029,-0.88327,0.83189,-2.9471,0
63,-0.16583,2.07008,0.93775,-1.32712,1
64,-2.19206,0.58233,2.02174,-0.00597,0
65,-0.0441,-0.77305,-1.35279,-1.17025,0
66,0.78164,1.19434,0.47115,-0.92693,1
67,1.02814,0.81239,-0.93352,-0.49845,1
68,-0.0268,-1.34185,-0.78457,-0.06717,0
69,-1.11823,2.59278,-0.40808,0.36291,0
70,0.13674,0.0116,1.32277,0.39312,0
71,0.0354,0.89216,0.65381,-0.16348,1
72,0.38737,-0.46029,-0.46127,-2.05404,0
73,-0.02191,0.80516,-0.54724,-1.01671,1
74,0.63847,-2.3541,0.5992,1.01862,0
75,0.3251,-1.7847,-0.2607,0.59216,0
76,1.34629,0.67474,-1.22994,1.71691,1
77,1.37033,-1.3102,-0.67458,0.88263,0
78,0.12228,1.27507,-0.92171,-1.18118,1
