v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
0.31899,-2.02253,-0.81615,-0.14034,-1.05439,0.25922,0.86026,-0.07097,-0.64225,-1.25678,-0.69211,1.17287,1.55394,0.11631,-0.87274,0.35321,-0.55143,1.29489,0.12285,0.55836,1.41028,-0.04259,0.50916,1.09063,0.99877,0.33235,-0.55603,-0.61677,-1.00343,0.68053,-0.21543,-1.03909,1.30344,-0.51808,-0.63928,-0.61669,-0.11161,0.72921,-0.2434,0.79533,-1.44909,0.11396,0.31085,-0.17978,-0.09366,-0.83523,-0.32258,-0.37699,0.23487,1.52998,0.83356,1.51976,0.01255,1.01397,-1.07013,-0.93821,2.35355,-0.21598,-1.73871,1.15364,0.1419,-0.07361,-0.05106,-0.34054,-0.44995,-1.15621,-0.03706,0.64926,-1.69083,-0.62597,0.1057,-0.29168,-2.35103,0.51996,-2.32913,-0.98001,0.15338,0.59179,0.45585,0.4592,-1.11752,-0.11958,-0.26008,-0.87181,0.78543,-0.55102,0.82258,-0.4581,0.23817,-0.62088,-1.04223,0.2264,-0.52039,0.38114,0.8222,0.2115,0.29646,0.60067,0.34464,-1.39187,-0.58922,0.29274,1.14086,0.17498,0.55261,-0.62604,1.65387,-0.67593,1.1021,1.68611,-0.62111,0.38073,-0.99502,1.37847,-0.08439,-0.82993,0.10071,0.48931,0.17623,-1.03487,-0.19448,0.61221,-1.0225,0.77424,0.10901,-0.71658,0.46906,-2.03405,-2.70876,-0.74768,-0.90018,-0.91503,-0.72639,-0.81993,1.672,-0.83799,0.06502,-0.09991,0.29329,0.88286,-0.08341,0.73363,0.46096,0.18128,0.27162,1.42061,-0.01358,0.40676,3.08868,0.30949,0.1553,0.51836,1.21665,-0.07328,0.16066,1.77447,-1.94483,-1.2737,0.07369,0.27518,-0.31708,-0.5912,0.52242,0.06829,1.11196,0.32677,-0.26621,1.18572,1.53991,1.58373,-0.2045,0.46017,1.03918,-0.12367,1.07821,-2.52402,0.80415,0.82089,-0.54264,-1.28919,1
0.36032,-0.42601,-1.07966,0.4045,-0.159,-1.98642,0.53651,0.11736,1.97133,1.97037,1.93846,-0.48993,-0.33918,0.03836,0.8452,0.73714,1.10194,-0.92134,0.38481,-1.25899,1.07584,-0.92429,0.28771,0.86506,0.37407,0.93937,-0.05154,-0.93011,0.03133,0.17018,0.53432,-0.35748,0.12423,0.21831,-1.08683,1.10087,-0.33681,-0.21999,1.32747,-0.34534,0.40449,-0.6505,1.94116,0.16778,-0.5167,-0.78798,-2.14763,0.72695,1.78711,-0.4892,1.23598,0.31115,-0.63906,-0.78579,0.02963,-1.06304,1.75199,-1.18294,-0.30042,-0.09745,-1.74169,-1.11952,-0.24311,0.35166,0.49313,-0.1107,-0.72075,-0.19629,0.4026,-0.13035,-1.41638,0.59854,-0.19337,0.1884,-0.51943,0.119,-0.29255,-0.23428,-1.76231,-1.26413,-0.14127,0.7048,-0.04369,-2.23793,-1.03187,-1.38564,0.33569,1.79839,-0.0551,1.27884,0.15864,0.66137,-0.58437,0.93225,-0.78426,0.14306,2.42596,1.95585,-1.55496,-0.577,-0.44427,0.35415,-0.09591,-0.42951,-1.07066,-0.85824,1.04227,0.50542,-0.56633,0.63964,-1.19698,0.68774,-0.47221,-1.06384,-0.06119,-0.12376,-0.58399,1.54715,-0.16915,1.11753,-0.8026,0.86608,-0.73852,-1.79602,0.30222,0.0508,0.2111,0.89368,1.00929,-0.6323,0.65167,1.18985,0.57292,0.27341,-0.77387,1.50405,0.30539,-0.10219,0.30719,1.55015,-0.54608,0.35045,0.23511,-0.14524,-0.71334,-2.8913,-3.1887,0.88706,1.48097,-0.53667,-0.73217,-1.82781,2.61642,-0.88232,-0.24354,-0.02769,0.63526,-1.28668,-1.69913,-2.64973,0.56235,1.19364,0.85892,0.5678,0.36309,-0.68383,-0.3001,0.20641,1.39307,-1.10852,-0.30863,-0.51841,0.09765,0.06969,1.57224,-2.07799,1.03541,0.24837,0.28456,0.44682,1
0.17072,-0.66596,1.82048,-1.45093,-1.07639,1.89031,-0.54403,1.30542,-0.21964,0.38436,-1.24085,0.74417,0.37125,0.11243,-0.83086,-1.25819,0.48383,-0.78106,-1.35998,0.83647,0.93561,0.96109,-2.11292,-0.5307,1.71464,-0.16284,-1.30738,1.70983,1.34837,-2.12514,1.82009,-0.27637,1.21954,-0.44298,-1.1835,0.70565,0.85817,-0.49169,-1.67792,1.20804,-0.1551,0.22713,-1.37713,0.62753,-2.02935,-1.00507,-0.17424,-0.46042,-0.4048,0.08933,1.52371,-0.40786,-0.6268,-2.05719,1.41605,-0.77925,-0.3302,-0.03421,0.42731,-1.43532,0.07308,0.74522,0.37866,0.28237,0.43869,0.17441,0.28496,-0.06104,0.55948,0.37308,0.00223,-0.35563,0.37723,0.4748,0.65763,0.85959,-0.04581,-0.08754,-0.68457,0.73919,1.91645,-0.09054,-0.43664,0.10408,0.8362,0.28237,1.45002,0.36204,-1.70351,-0.24219,0.55827,1.08651,0.11223,-1.44472,-0.79235,0.47504,0.93556,1.59267,0.67256,0.91084,1.03008,-0.27253,0.55569,-0.14575,-0.95507,0.55368,0.17888,-0.47676,0.45266,-0.39816,-0.54342,-0.13148,0.14575,0.39818,-1.06843,0.06098,-1.5023,0.47336,-0.2338,-0.45435,0.59323,-1.28537,-0.50099,-0.4866,-0.42097,-0.69064,0.05137,1.64633,1.67256,-0.47497,0.64736,-1.34524,-0.95891,1.73902,-0.50008,-0.17055,1.20412,-2.37813,-0.76115,-0.19321,0.55381,-0.71151,-1.98386,1.65337,-1.07732,2.26998,0.13469,1.52154,-2.39441,-0.49444,2.57513,1.50396,0.09255,-0.25077,-0.01442,-0.0391,-1.11421,0.17919,0.46688,1.34428,0.41124,-1.50036,-1.52409,-1.27084,-1.56187,-1.94865,-0.67797,0.393,-0.87554,0.47892,2.0557,-0.22666,3.00972,-0.23249,0.96119,-1.03636,-0.66045,-0.95076,0.03767,0.05661,1
0.4371,0.04325,-1.13644,0.74593,-0.74035,-0.14886,-0.81739,0.48711,-0.26878,1.0311,-0.61626,1.23182,1.53025,0.27451,-0.70815,-0.24193,0.00705,-0.56882,-0.10038,0.14894,-1.15615,0.36852,-0.44429,0.23384,-0.94187,0.38561,1.07387,-0.53573,0.44941,-1.91123,0.47042,0.45172,1.22566,-0.43271,0.31488,-0.20466,0.2741,0.81543,-0.04695,0.88526,0.49766,0.08147,-0.51584,1.14388,0.21762,0.13234,0.47266,0.53552,0.00131,-0.46528,-0.43226,1.11541,-1.8615,-0.0687,2.27241,1.15589,0.05624,-0.47863,0.07282,-0.10241,0.56883,-0.47331,0.55843,-0.73883,-0.22755,0.7129,-0.26709,-1.29295,-0.90432,0.91484,-1.17586,-0.45968,-0.86675,-0.44205,-1.28714,0.81552,0.41592,-0.03386,0.46549,-1.11858,-0.43822,0.40131,0.57143,0.63521,-1.02022,-0.80799,-0.64271,0.50157,1.33116,-0.10633,1.07476,0.88903,-2.05385,-0.95222,-1.08091,-0.42338,-0.47677,0.13645,-1.82894,0.00497,-0.06026,-1.32037,-1.11655,0.78026,0.46209,-0.79411,1.77625,0.4172,0.16238,-1.19879,-0.75496,-2.19111,1.8076,-0.44751,-0.15031,-0.19072,-0.88282,0.89037,-1.12075,-0.15427,0.51017,-1.80797,-0.83573,0.35024,0.0966,-0.71284,-1.40163,-0.58404,0.63105,0.96548,-0.32958,0.95338,-1.24773,0.63028,-1.51759,-0.37365,0.33759,0.74065,-1.69305,0.05218,-0.16229,-0.2604,-0.89711,0.57323,-1.09383,-1.572,-1.03759,-0.9778,0.09843,-0.9737,-0.62996,0.04817,0.05702,0.72643,-1.31609,-1.42317,-0.3562,-0.03376,-0.59612,-1.17225,-0.94156,-0.63824,1.02952,-0.04718,0.3448,-1.67301,-0.41013,0.57627,0.5632,0.57084,-1.45487,0.7955,0.89219,-1.64254,0.89648,0.56706,0.52703,-1.61985,-0.22597,-1.01019,1
-1.19399,0.87054,-1.16634,0.47639,0.02686,0.84884,-0.391,-1.42181,0.23328,-0.88534,-1.0849,0.77733,-0.14836,1.20924,-0.40199,1.61165,-1.46816,1.89896,-1.23866,-0.26355,2.14028,-0.35215,-0.20818,-1.40438,2.42191,0.12337,1.51226,-0.18746,1.04634,0.51423,-0.80253,1.55289,-0.00696,0.1012,-0.80417,1.97748,-2.43561,0.31412,1.11111,-1.26111,1.28532,0.58693,-1.46286,0.04674,1.49451,-1.73904,-0.63805,0.3289,0.47373,-0.11185,0.95386,-0.89076,-0.32969,-0.93793,2.12228,-0.09849,2.46537,-0.1818,1.42531,-0.51722,-0.7639,-1.62851,-0.00799,-0.27806,-1.28863,-0.06193,-0.25929,0.45116,-1.14204,0.72436,0.01309,0.58825,-0.55927,0.65838,0.38482,-1.29982,0.57963,-1.23009,-1.63561,-0.8124,-0.44048,0.46063,-0.41235,-0.24873,-1.16587,-0.60097,0.56508,0.87736,0.15118,0.02743,-1.20823,0.31991,0.8185,-0.64993,1.69277,-0.63669,0.21907,-1.02988,-0.64924,0.36754,-0.7357,-0.39922,-0.30118,-0.05817,-0.87028,-1.6389,0.64904,0.1328,-0.17745,-1.16845,-0.66758,-0.87665,0.52872,0.3899,-0.14625,1.55953,-0.26011,-0.31103,-0.82658,0.84465,-1.43108,0.0806,-1.54959,-0.01896,-2.30706,0.04624,-0.46611,-0.2207,0.05558,-0.04874,-1.06864,-0.34751,0.62424,0.92697,-1.29345,-1.37672,-0.44553,-0.28741,-1.38394,-0.64761,1.16903,-0.15256,0.93013,-0.65261,-1.01935,1.03881,0.56522,0.92696,-1.01441,-0.08966,-1.84101,1.41627,-2.66379,2.5881,1.74781,1.81439,0.2282,0.83788,-1.91426,2.49328,-1.52093,-0.88791,1.13781,0.3226,0.85218,0.81018,-0.20879,-0.99977,1.75426,-0.28031,-0.58254,-0.70898,0.11806,0.70261,1.15969,-0.04209,-0.80008,0.3667,-1.39206,1.05768,0
-0.17181,0.68975,0.01723,0.07593,-0.09153,-0.89155,-0.9412,0.36373,-0.61642,-0.86518,1.23183,-1.0832,-0.89614,1.42195,0.23216,0.62337,-0.47014,-0.15527,1.57327,-1.27215,-1.40736,1.55859,1.4562,0.42042,1.45576,1.7819,0.45043,0.64576,-1.08043,-1.45288,-0.62018,-1.12001,-0.5292,-0.31567,0.52803,-0.29006,0.9023,0.2084,1.23104,0.60144,0.26325,-1.18565,0.97672,0.79607,-0.05535,0.95674,1.05774,0.40527,-2.47466,0.39834,-1.04481,-0.83346,0.02068,0.87454,-0.51791,-0.54782,-1.33606,-0.06168,0.04831,0.94995,1.4664,-0.25869,1.26088,1.10474,1.08196,-0.62461,0.2377,0.08445,3.43746,2.30175,-0.36919,-0.86585,1.38061,1.92237,1.504,-1.15735,1.05122,0.91137,0.74408,-1.18649,0.03274,-0.23972,0.1032,0.43874,-0.747,-0.14667,1.51266,-0.53588,2.33094,-0.41383,-0.55914,-1.39634,-0.33207,1.69393,-0.26498,-0.60818,0.27379,-0.33487,-0.47676,1.95058,-1.78697,-0.30159,-1.04225,-2.17084,-0.17708,0.72396,-0.15178,0.07456,-1.54274,0.73083,-1.71432,0.28516,-0.22838,0.56255,0.55246,-0.19341,-1.44788,-0.95844,0.17557,-0.72114,1.07245,-0.50675,-0.45281,-1.74124,0.3315,0.32742,-1.22249,-0.70684,-0.51594,1.21889,-0.0029,-1.45368,-0.77013,-1.12548,0.69523,0.87262,1.39627,-0.70694,0.43499,0.33422,-2.75739,1.19448,1.4592,1.44391,0.56937,0.24612,-1.43023,1.74827,0.16689,-0.17016,0.22204,0.91389,0.71445,0.52266,0.11254,-1.47654,-1.2779,-0.78402,1.60737,0.38582,0.20473,0.06544,0.74633,-0.12484,1.07003,-0.67066,1.90251,0.80057,-0.60876,-0.52953,-1.19437,-1.5023,-0.93927,-1.62483,-2.30022,-1.14915,1.69725,-0.26165,0.70507,0.50452,1
0.64489,-0.45152,0.86912,-1.15377,-0.18479,-1.39819,0.13488,0.09253,-0.19384,-0.00091,-0.46405,-0.98057,0.09694,-1.31614,-1.39154,0.85285,-2.05658,0.83804,0.43571,-0.38968,-0.2961,0.89006,-1.20186,-1.65233,0.53047,-1.3922,-0.73173,1.09035,0.74849,0.10692,-0.39707,-1.34614,-0.99726,-0.50574,0.53724,0.51028,0.91784,1.00046,-0.82271,0.56814,-0.37324,1.58582,-1.23339,-0.83595,-0.60017,2.52901,0.75304,-0.89571,-1.49034,-0.24238,1.72816,0.55167,0.68377,1.15915,-1.23403,-0.60723,-0.95392,0.30106,-1.32978,-0.37399,-0.6312,-0.80241,1.04345,0.65099,0.39824,-0.09503,1.11172,1.29405,1.35875,-0.65815,0.74503,1.42957,0.81005,0.01549,0.57983,-1.08953,-1.06281,1.15042,1.89053,0.54681,0.11862,-0.33805,1.96971,-0.93876,-1.06247,0.66406,0.44441,-1.39269,-1.38946,0.38619,-1.19036,0.19142,-0.06034,-0.97575,-0.43502,-0.2516,-1.15307,-0.92159,-0.54236,-0.14104,0.2263,-0.03883,0.17594,-0.67438,-0.30106,0.63983,-0.81084,0.47869,-0.26809,-0.64816,-1.83561,-0.25816,-1.24501,1.21874,1.01943,-0.99489,0.46389,-0.781,0.71755,0.87681,-1.86049,-0.31331,0.74719,0.273,-0.10229,1.38887,-1.71883,0.04536,-1.31582,0.14588,-0.13896,0.18066,-0.84518,-0.46012,-0.31464,-0.22766,-2.54481,0.7012,-1.05725,1.92971,0.77482,0.72831,-0.70281,0.18601,-0.49774,0.57959,-0.19633,0.36459,-0.06623,-0.72272,1.56181,-1.44626,0.75094,0.33845,1.45045,-0.42449,1.3131,-2.14421,2.17003,-0.98343,0.05259,-0.04328,0.82158,0.63185,0.94419,-0.86823,-0.16799,-1.79405,0.98077,0.57711,1.1078,-0.1289,-0.26905,-1.62791,0.70431,0.62434,0.89363,0.96707,0.79177,-1.73163,0
-0.68861,-1.04824,1.3981,1.00497,0.97001,1.3039,-1.34757,0.12155,-0.19934,-0.88243,-0.59219,-2.04791,0.31553,-1.40807,1.20541,-0.46792,-0.29688,0.28312,-0.79413,0.22334,-0.03154,0.46736,0.34063,-1.0196,0.27141,0.53399,-0.98362,0.63265,0.301,-0.394,-1.28246,-1.05051,1.90889,-0.34331,-1.12955,-0.69977,1.03989,-0.68582,-1.86889,-1.50777,-0.26802,-0.46445,-1.82967,-0.68465,-0.53847,1.47306,-0.4622,1.14187,-2.65708,0.70572,0.41066,-2.00116,-0.54044,2.22516,-1.18219,-0.04131,0.76526,0.40568,-1.91322,1.53059,1.1991,0.45332,1.52556,0.41257,1.31183,-0.09249,1.5914,1.88787,0.2926,-1.41916,0.9554,-0.5446,1.6937,0.85412,-1.30653,-0.33793,-0.97559,0.28317,-1.39351,1.20578,-0.54818,0.43935,-0.76133,-1.39929,-1.27039,0.46928,-1.5717,-2.22554,-0.7023,0.90882,1.35434,2.26085,0.83437,1.36323,-1.39358,-1.37081,-0.56229,0.05973,1.1083,-1.19373,-0.37817,-0.39856,0.08947,-1.51658,-0.66894,0.26045,0.55723,1.33698,1.23354,-0.44801,-2.49641,0.16317,1.14041,-0.20609,-1.5125,1.30661,0.80417,1.49842,0.16743,-0.02241,-1.19589,0.06805,-0.16168,0.33926,-0.78106,-0.15129,0.47348,0.54071,-1.77583,0.54319,0.18642,0.98841,0.91463,-0.5389,-1.56371,-0.5889,-1.03021,-0.38388,-0.63647,0.07433,0.78718,-1.24864,0.82399,0.36403,-0.58312,-1.60459,-0.76289,0.11291,0.80053,0.62842,-1.07311,-0.11361,1.20632,0.98674,-0.14578,-0.94744,-1.10687,0.5062,-1.19585,-0.27555,0.81609,-1.14113,-0.58962,0.95358,0.75322,-1.69831,0.82626,-1.25009,-0.64634,0.48056,0.00969,1.28798,3.03858,-0.21092,1.02264,-0.56292,-0.68429,-1.26962,-0.74487,-0.77489,1
0.22174,-0.1314,0.38804,-0.0484,-1.2942,1.18646,0.56677,2.29705,1.03703,-0.16562,0.40118,0.1559,0.57787,1.21476,-1.27753,-1.05418,-0.46127,-0.29764,-1.28805,-0.20855,1.01509,-0.75033,1.4665,-0.233,-0.08438,1.80866,-0.04574,1.38879,1.1463,-0.61235,0.66946,0.04697,-2.3241,-1.5632,-0.15239,1.82566,1.19283,0.07691,0.26213,0.1263,0.40872,0.86687,-0.76005,1.79285,-0.82366,0.56265,-0.16423,-0.73824,-0.41392,0.04591,0.77695,-0.6752,-0.3446,-0.32927,0.808,-2.01928,-1.19192,0.55724,-1.60761,-0.59326,-0.58437,-0.63947,-0.28101,-1.06634,-1.49475,0.86165,0.73804,-0.37446,1.14061,0.97251,-1.33607,0.33475,-0.37073,-0.59666,0.85362,-0.27843,1.07702,0.27047,-1.26894,-0.20642,-0.90118,0.00029,0.07462,-1.52292,-1.41181,1.10071,-1.51355,0.29776,-0.04559,0.6516,2.1857,0.24722,-0.64455,-0.3372,0.68883,0.46236,-0.42318,0.7628,-0.21521,-0.10171,0.89426,-0.36647,1.18275,0.16769,-0.55102,0.97936,-0.83436,0.03391,0.71776,-0.06891,0.34192,0.34436,-0.54054,0.94901,1.08377,1.23662,0.6528,0.10936,-1.88188,0.41293,-0.16886,-0.86899,-1.38658,1.88074,0.17368,0.78605,0.1797,-1.16314,-1.19401,1.6395,1.46632,-0.77461,0.15656,1.08891,0.0237,-0.5152,2.25034,0.05546,1.29357,-0.42471,-0.68938,-0.60344,-0.67887,0.69364,-1.22121,-0.75144,-0.17828,0.4935,1.21624,0.27311,0.66573,0.11107,-0.73651,-0.0305,0.89617,-0.40109,-0.40186,-0.53282,-2.13803,-0.97469,0.18855,0.94459,0.36105,0.75202,0.73102,1.52071,-1.15572,-0.08428,-1.57094,-2.03513,-1.36082,0.38248,-0.61769,0.99626,1.22471,0.85903,0.58746,-0.3876,1.9273,0.15241,0
-0.61017,-0.33792,0.84353,-1.93885,-0.53668,-0.29444,-1.24664,0.06376,-0.85865,1.51031,1.95896,-1.26057,0.62978,0.3725,0.44509,-0.12032,1.37222,-0.02076,-1.08235,-0.61235,-0.43621,1.06669,0.25269,0.67497,-0.24814,0.88759,1.37635,-0.49021,1.32554,-0.00856,0.11708,1.76013,-0.59761,0.21899,1.71715,-0.93417,0.02365,0.17043,-0.51121,1.20226,0.95725,-1.82379,0.54691,-0.91988,0.58543,0.11638,-0.23789,-0.42341,-0.61829,0.93167,-0.07727,0.89035,-0.01455,-0.53985,-1.13521,-0.79696,2.03834,1.71164,1.47478,0.33301,-1.23009,0.20115,1.12481,-0.17778,0.07595,0.81257,0.37246,0.4068,-0.21216,-1.50638,-0.19145,-1.53256,-0.99627,-0.45843,-0.32349,0.43542,1.33146,-1.19945,-1.47357,-0.12099,-2.90214,-1.70088,0.46846,-0.77193,-2.63089,0.81944,-1.00637,-1.70453,0.11003,-0.56602,-0.04544,-1.13905,-0.73546,-0.39749,2.52151,-0.46644,1.26704,0.69305,-0.39624,-0.68267,2.00697,-0.80922,-1.47861,-0.82051,-1.82283,-0.6729,0.58524,0.61533,-0.40577,0.49356,0.01976,1.16197,2.42141,1.64652,-0.45068,-0.15122,0.35918,-0.85769,-0.50113,0.615,-1.36992,1.81884,0.02913,0.23905,1.39729,0.1154,-1.15849,-0.5346,0.09209,0.49128,-1.70883,1.44495,-0.56162,-0.20143,-0.0516,-0.01982,-2.24097,0.38876,-0.48918,-0.03085,-0.72185,0.15625,0.42075,-0.84625,-0.74741,-1.19344,0.46464,-0.0304,-0.11653,1.81873,-1.46345,1.02383,-0.94389,-0.32118,-0.45003,0.09874,0.54316,-0.48835,-0.58177,0.99817,-0.8619,0.39701,-1.01436,0.045,-0.1531,0.22117,0.26109,-0.32045,0.25602,-0.33872,-0.17739,1.75148,0.66109,-1.11783,-0.94395,-1.29384,1.32711,-0.60141,-0.65746,1.09783,1
