x1,x2,x3,x4,x5,x6,alvo
-0.6467,0.15226,0.98343,-0.74412,-0.70063,1.19898,0
-0.52481,0.89526,-0.00864,-0.13836,1.07168,-0.4528,0
-0.33233,-0.81869,-0.49957,-0.0074,-0.211,1.4146,0
-0.23857,-0.13619,-1.03321,-0.23933,-2.57674,1.01253,0
0.13424,0.08625,-0.29197,-1.93385,-0.06987,-0.95976,0
0.12744,-1.0211,1.11227,-0.19733,-1.69036,-0.03022,0
-0.11886,-0.22268,-2.23036,-0.8282,1.28179,-0.05029,0
0.74822,2.35392,-1.3589,-0.77773,0.55117,1.16854,0
-1.11152,-1.61267,1.13194,0.60459,0.35096,2.03497,0
-0.75742,0.46394,-1.03214,0.09074,-0.22809,1.61763,0
-0.95694,-0.43883,0.3192,0.57759,-0.44767,0.48812,0
-1.25361,0.7937,-0.03826,-0.11004,1.79056,-0.29591,0
0.10244,-0.46296,-0.08722,2.21558,-1.14805,1.66181,0
0.13063,-0.91098,-0.04175,2.73609,-1.09205,-0.6126,0
0.34528,0.95764,3.56235,-0.58668,-0.39938,1.05112,0
1.97116,0.9939,-2.38194,0.72601,0.34169,1.54762,0
1.01714,-0.4182,-0.24224,-0.08493,-0.65161,-0.16783,0
0.55169,0.74323,0.90708,-0.97354,0.27044,1.3157,0
1.1968,-0.83772,-0.20897,-1.29675,0.43079,0.38623,0
-2.23116,-0.93531,-0.00208,-1.15096,-1.19651,-0.29808,0
0.57274,-1.77441,1.45767,-0.16644,0.57668,0.7152,0
-0.73446,0.96069,0.29481,1.19519,0.0952,-0.51952,0
-0.20127,0.65894,0.34448,-0.62613,-0.55659,0.80192,0
2.42463,-2.46665,1.10326,0.85693,-1.40598,0.96007,0
1.60922,-0.13438,2.50764,2.62622,2.04959,2.85673,1
0.15003,-1.40149,0.23647,1.93947,0.69509,0.75422,0
1.44988,-1.45354,1.24654,0.24583,0.78301,0.68014,0
-0.24904,-0.88106,1.3571,-0.66785,1.37177,1.27608,0
-1.26278,0.62223,0.3257,-0.05019,0.97604,-0.47304,0
0.91879,-0.67491,-1.18099,-1.26425,0.54591,1.44639,0
-1.16085,1.51633,1.91189,0.09091,-0.70815,1.69167,0
1.21414,-0.32643,2.3053,-1.37539,-0.0144,-1.15507,0
0.10356,-1.26344,-0.16541,-1.07799,0.50485,0.14783,0
0.37004,-0.21279,-0.22078,-0.07143,0.93188,-1.28426,0
0.81516,1.2221,-1.0765,1.45616,-0.8448,-0.93239,0
-0.23972,0.47778,2.30478,0.34468,-0.43262,-1.9032,0
1.68023,0.07809,0.29367,0.11908,1.1646,-0.3408,0
1.09305,-1.72369,-0.93994,-0.50766,-0.1527,0.57155,0
-0.67289,0.89601,0.2742,-1.08843,2.41078,0.16612,0
-0.1057,0.65564,0.60509,0.22317,-1.35794,0.83674,0
0.11388,-0.51055,1.29063,-2.32248,1.23442,-0.51019,0
2.46198,0.33069,-0.68052,-1.73175,0.64617,-0.40174,0
-0.27107,-0.24868,0.04742,-0.93455,2.57191,-0.03028,0
-0.40589,1.19381,0.16934,-0.38853,-1.66202,0.93454,0
1.57711,-1.11295,-1.84045,1.64429,-0.36748,0.24198,0
-0.3367,0.31875,-0.05046,0.53934,1.59166,-1.72932,0
0.41467,-0.34995,-3.16378,0.22949,0.04471,0.31976,0
0.16061,-0.98101,0.53454,-0.73193,-2.27221,0.08898,0
0.03633,0.72098,-0.30143,-0.60739,0.84051,-0.61153,0
0.56121,0.42376,0.08741,1.22748,-1.40502,-0.43923,0
0.93838,1.00194,-0.8738,-0.78038,-0.37451,1.64921,0
-1.31134,0.3864,-0.04817,1.20776,-1.81836,1.57227,0
-0.33582,-0.80583,0.64765,0.8885,0.74477,0.18174,0
1.41956,-1.38317,0.31427,1.15291,0.13844,-1.26696,0
-0.07279,-0.27756,-1.44642,-1.73248,0.43533,-0.13561,0
-0.96306,1.08087,0.28427,-0.14088,0.75056,1.73969,0
1.60562,1.58963,1.29858,0.91072,0.1632,1.46587,1
0.46366,0.69151,-0.56461,-0.91228,0.10532,-2.97204,0
2.14206,-0.41147,1.12843,-0.06176,0.4528,0.54213,0
0.00288,-0.07112,0.30937,0.83717,-0.64279,-1.44026,0
-0.67914,1.21465,0.61581,-1.09791,-0.22013,0.47934,0
-0.09314,0.61988,-0.83864,0.71573,-0.00396,0.45705,0
0.66278,1.62849,0.02338,0.671,0.854,0.36091,0
-0.79533,-0.1801,1.54649,-0.92192,-1.00186,-0.18503,0
-0.75924,-0.04471,-0.21767,2.51947,-1.48877,-2.86276,0
-0.49022,-1.07963,-0.98654,-0.25184,-0.72194,1.54535,0
0.03091,2.45342,-0.25314,0.33188,1.27148,-1.07234,0
-1.33314,-1.09668,-1.06418,-1.24884,1.15619,1.22838,0
-2.05812,-0.85735,1.17542,1.95011,0.28061,0.30344,0
-0.30328,0.13526,-1.46266,0.72425,-0.41024,-0.22687,0
-1.94916,-2.89557,-0.30468,-1.00538,0.4262,1.33587,0
0.7955,-1.46348,0.37054,0.44251,2.37979,-0.71426,0
1.08257,0.50361,0.2779,-0.3892,0.08589,-0.19993,0
0.47811,0.28154,-0.41161,0.05222,-0.36759,-0.4811,0
1.11542,0.29426,1.54885,-1.0242,-0.42111,0.35512,0
-0.5595,-0.56808,-0.39194,-0.71374,0.47645,0.76107,0
0.48979,-0.58963,1.07926,-1.74479,0.80595,-1.6999,0
1.62305,0.84961,0.09362,-0.41681,1.76988,-0.17925,0
-0.6794,-0.08741,-0.03445,0.01492,1.48779,1.23295,0
-0.87133,-1.14447,-0.17019,1.41211,0.18747,0.78587,0
-0.3695,0.26803,-0.06368,-1.56517,0.77556,-0.20867,0
0.30748,-1.21133,1.11982,-0.62151,-0.07493,-0.25205,0
-2.89539,-0.00845,0.41748,-2.19044,0.7249,2.73372,0
0.71131,-0.63079,0.13,2.16779,1.86695,0.44994,0
1.20489,-0.47353,-1.62496,0.18905,1.25309,-0.12379,0
-1.84155,0.29707,-2.09181,0.458,-1.30627,0.56025,0
-1.55626,-1.41036,0.50805,0.38639,-1.44912,1.11645,0
-2.51631,0.42405,0.65294,-1.36596,-0.47122,-0.57085,0
1.19042,-0.82778,0.34138,-0.06104,0.96826,1.07403,0
1.49357,2.03704,2.12134,1.93271,2.92387,2.09736,1
-1.20926,-1.28561,-0.64486,-0.15369,-3.42976,2.25325,0
0.04345,0.7034,-1.61413,1.69317,0.36582,1.90432,0
-0.4368,-0.72205,0.05837,0.26544,0.83076,-0.05479,0
