f1,f2,f3,f4,f5,f6,f7,f8,alvo
0.42541,0.64849,1.29512,-0.02592,0.41285,0.23297,1.75324,-0.98554,0
-1.01903,-1.28222,-1.90992,-1.40644,-0.3825,1.01543,-0.10885,0.79974,0
0.30663,-1.78833,1.09594,0.51725,1.2334,0.14238,0.76013,0.86485,1
1.31114,-1.64763,0.03164,-2.06928,0.22076,-0.51255,0.19425,-0.43027,0
-2.49098,-1.26156,1.36049,-0.1217,-0.60174,-0.12357,-0.31791,0.37874,1
0.00466,-0.01725,-0.04851,-0.14713,-0.16506,-2.25327,0.17032,0.07298,0
-0.9968,1.15693,0.83221,-0.45221,-0.965,2.04444,2.20171,-0.7957,1
1.12399,0.21041,-0.57293,0.94492,-2.7624,1.2025,-0.75253,-0.02224,0
0.16565,-0.78783,-2.0678,1.50631,-1.10456,0.08551,2.3294,1.5452,1
0.29484,-0.65208,0.49302,-2.27764,0.91228,0.97575,1.75109,-2.04012,0
-2.09018,0.4248,1.8043,-1.7544,0.02784,0.22886,-0.03849,-0.86532,1
0.0223,-1.19874,-0.52932,-0.50862,0.95931,0.25974,-0.96406,-1.27195,0
0.6251,-0.16235,0.72415,0.45616,-0.74459,1.39689,0.58359,0.42286,1
0.26829,1.36542,0.75069,-0.29612,-1.21098,0.00423,0.54353,-0.57578,1
0.01999,-2.01903,-1.28661,0.50123,-0.93185,1.30958,0.9671,-0.08517,0
1.63254,0.26661,-1.62598,-0.5082,-0.16238,-0.0891,1.01351,0.25084,1
-1.43816,-0.12176,-1.51175,-1.23683,-1.53894,1.13725,-1.08469,-1.2337,0
1.14264,-0.782,-0.09103,1.0057,0.23489,-0.37266,-1.66687,1.56077,0
0.14672,1.3158,0.2616,0.84389,-1.17378,0.41235,-0.46252,-0.42328,0
-0.83856,0.67723,0.55743,-0.94976,-1.43342,0.74596,0.98943,-0.21489,0
-0.56033,0.10091,-0.89286,1.76802,1.13054,1.39703,0.52416,-0.06043,1
0.50572,-0.25657,0.77812,1.00869,0.36266,0.67164,-1.34219,0.86369,0
-0.04641,0.77248,0.84428,0.48651,-0.0325,-0.99584,-1.03981,-0.65827,0
-2.03653,0.53569,0.03423,1.24292,0.09365,-0.83388,-1.29403,0.31146,1
1.30857,0.82994,-0.29894,0.19529,0.96094,-1.51544,0.51829,2.24645,0
-1.21827,0.28308,0.83928,0.19092,0.55744,1.59666,-0.06545,0.71038,1
0.2851,0.33386,-1.23775,-1.83908,1.89165,0.52807,-0.26902,1.10827,1
-0.22464,0.06711,0.41718,-0.49266,-1.41594,-1.11698,3.38814,1.23781,1
0.77424,-0.91301,0.75619,1.32879,-0.45507,-1.06398,-0.29673,-1.07618,0
0.15982,0.61702,0.11593,0.3618,-0.17909,0.12915,-0.20442,-0.21654,1
0.05385,-0.42336,0.63278,-0.11367,0.51486,-0.10274,-0.02841,-0.70505,1
0.99407,-0.67141,-2.14715,0.48901,-1.31779,0.64931,-0.02955,1.36635,0
-0.09242,1.09067,-0.185,-0.22227,-0.03165,1.24326,-0.27543,0.65938,0
0.74469,0.75086,0.03661,-1.34862,1.14879,0.61574,0.53627,1.33104,1
1.22326,0.53487,0.30264,-0.49233,0.1476,-0.42448,0.14664,0.14569,1
-0.77618,2.62609,-1.9037,0.26408,1.46557,-0.0939,0.59755,0.69403,1
-0.03116,-0.69021,-1.73809,-1.30687,-1.27996,-2.17811,-0.3727,-0.24228,1
1.7651,-0.44299,0.35914,-0.82383,0.43552,0.52307,-2.18938,-0.35031,0
0.29382,0.3969,0.0714,-0.15897,0.40791,-0.65344,1.21343,0.63501,1
-1.45918,-0.68749,1.44332,0.3929,0.8162,-1.46648,-0.17194,0.99149,1
-0.4646,-1.42962,1.47171,-0.16127,0.73962,1.2239,0.21325,0.50929,0
-0.50593,-0.53925,1.28568,-0.05481,-0.19412,0.27457,-0.20275,0.42165,1
-0.39564,-0.14173,-0.43255,0.58921,-0.39316,1.04842,0.07271,-0.11263,1
-0.4621,-1.65135,-1.98904,1.1444,1.07226,-1.16059,-0.24057,-1.02296,0
1.20674,0.30702,0.05284,0.99248,1.40504,0.65672,0.42952,-0.7679,1
-0.16324,-0.14996,0.13652,2.07915,-1.08667,-0.21212,-0.48303,-1.48147,0
0.32545,-0.15651,0.27511,0.57888,-0.43922,-0.03209,-1.61632,0.61703,0
0.62185,-2.27711,-0.15808,-0.44003,-0.06165,1.15814,0.33027,0.73892,0
-0.59775,1.10967,1.57071,0.30081,-1.0311,0.29635,-1.67592,1.1575,1
-0.73583,1.52969,0.79536,0.22592,-0.35274,2.22512,-1.80621,0.56509,1
