v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-0.4209,1.19454,0.53603,-0.57431,-0.56443,-0.82039,0.40224,1.22186,0.16431,0.15177,0.64025,-1.7091,-0.76373,-0.973,1.23925,-1.05889,-0.2706,0.23774,-0.76858,-1.87292,-0.95178,-0.11372,0.88254,-0.33352,-0.76513,-1.41378,1.63452,0.07434,0.61405,0.52436,0.26638,0.17932,-0.15053,-0.66478,0.58848,-2.88306,-0.38945,-1.28429,-0.76795,-0.34149,-0.9181,-0.29018,-0.24164,-0.44871,1.08032,1.62201,-0.78775,0.80215,-0.56661,0.93013,-0.79751,-0.07658,0.76907,0.76685,-1.59045,-0.75947,-0.5509,-1.60653,-1.80174,1.10341,-0.72068,-0.54238,1.31695,-1.34621,0.62023,-0.34859,-0.52924,-0.54334,0.93383,1.64386,-1.74004,0.60036,0.20754,0.56345,0.94602,0.68555,0.19518,1.41888,0.41787,-0.84436,0.25147,-0.12364,-0.30647,-0.20538,1.59132,0.42319,1.14152,-0.5505,-0.2459,-0.36978,-0.19249,0.40598,1.2091,1.05333,1.30132,-0.40441,0.67032,-0.08489,0.13719,-0.33167,0.33278,-0.29136,-1.77119,1.06565,0.15471,2.07525,0.06631,0.23942,-1.24008,1.27246,-2.23782,1.5739,0.53299,-2.17975,0.83879,0.0205,-0.7644,0.01393,-0.04314,-0.03733,1.78351,0.74478,-0.04318,0.21122,0.17573,0.12129,-1.60131,1.15978,0.99084,2.89823,-0.01135,-0.3287,-1.37761,-1.02527,0.81118,-1.36397,-1.68051,-0.38633,-0.66716,1.27397,-1.31851,0.60083,-1.17517,-1.68265,-0.63031,-0.03158,-1.27424,-1.08759,0.68948,-1.07051,-0.41539,-2.4526,-0.06098,-0.48572,0.02804,0.73906,-0.04925,-1.15116,0.93864,-0.08206,0.81051,-0.06625,-0.09085,0.78489,-1.63365,-1.38521,0.58125,-0.7867,-0.37165,0.31813,0.28895,0.81263,-2.1371,-1.48194,1.21767,0.40813,-0.61332,1.08565,0.32406,1.01572,0
-0.38452,0.97601,1.36987,2.50917,1.57342,-0.59223,0.17065,1.41802,-1.38902,-0.45832,-0.57507,0.6926,-1.15029,-0.21099,0.77819,1.33064,-0.1119,-1.70936,1.05767,-0.74169,0.28786,0.82747,1.5754,-0.69485,0.10324,-0.84155,-1.02199,-1.16643,1.34017,0.2125,-1.06281,-0.77932,0.48793,-2.42347,1.46087,-0.14772,0.8745,-1.10733,1.4981,-0.89794,-0.58409,0.97516,-1.29345,-0.50335,1.20886,-1.84856,1.3341,-1.02806,0.41886,1.30867,-0.84462,0.1853,2.17519,-0.06114,0.59784,1.15469,0.45703,0.98948,-1.59836,-1.21389,0.69589,0.0733,-0.08642,-0.71588,1.2752,1.10414,-1.91744,1.18049,-0.30064,0.22239,-0.53596,-0.35399,-1.40756,0.67784,1.87892,-1.25086,-0.4531,0.11229,1.26462,-0.75355,-0.49099,-2.47365,-1.01822,0.37403,1.21848,-0.42781,-1.09898,-0.48504,1.04235,0.89813,-0.2972,-0.54952,0.15426,-0.48694,-0.47478,0.13998,-0.65857,1.6572,0.24735,0.0037,0.14929,-0.1628,0.91909,0.13442,-0.53872,-0.19134,2.03956,1.09137,0.20293,1.27759,-0.11725,1.45827,-1.36409,-0.12645,-0.17172,1.10835,1.36309,-0.04468,-0.7713,-0.06822,0.12727,1.74281,-0.90289,0.12561,-0.05528,-0.34863,0.07188,0.74801,0.59539,-0.72721,0.89212,-1.51694,0.37153,-0.92091,-0.07203,-1.35843,1.39376,-0.39774,0.16068,1.16454,0.72269,0.33576,1.81624,2.06206,-0.58482,-0.43982,0.80408,0.21945,0.16298,-0.71278,1.44492,-0.51028,-0.41647,0.10517,-1.49244,0.20557,0.49221,1.20356,0.05442,-1.66398,2.38541,0.59292,0.59775,1.74206,0.33269,-0.6493,0.65619,-0.77962,-0.44698,1.88706,1.14686,0.37482,-0.48516,0.09934,0.24588,-1.80047,1.29232,-0.22642,-1.20775,0.47645,0
-0.09637,-1.55765,-0.44944,0.70316,-0.03507,0.46674,0.52933,-0.21208,0.89094,0.43505,-0.38594,-0.42135,0.97278,0.09124,-0.37705,0.71071,-0.56768,1.34236,-2.32022,-0.51486,1.55879,0.32788,-0.71006,-1.32858,-0.20112,1.02799,-0.88178,-0.34624,0.97518,-0.66471,-0.69141,-1.9131,1.77709,1.08195,0.61166,-0.62848,0.46537,-1.29674,-0.51529,1.3601,0.17265,-1.30881,0.05952,-0.17395,-0.03919,0.78897,0.52422,0.36824,-0.91841,0.93526,-1.36845,-1.07375,0.05956,-0.93164,-0.2647,0.12687,-1.20663,-0.05497,0.44985,1.20604,-0.29757,-0.91612,-1.52123,-0.91204,-1.07485,-0.33331,0.17089,-0.2266,0.63893,-0.97888,-1.29977,-0.15945,-0.26935,0.48997,-0.3577,-1.69941,0.07965,0.80539,-0.93869,-1.752,-1.06164,-0.92958,0.31671,-0.43727,-0.70989,-0.92046,-0.05082,0.27569,-0.62932,0.64147,1.5113,-0.66321,-2.54318,-0.04529,0.18211,0.23015,0.81824,1.28292,0.79408,-1.17694,-1.27536,-0.27328,0.29694,0.29358,-1.14473,1.73281,1.10674,-1.07595,-0.01768,0.2573,-1.57786,0.36565,-0.32346,-0.74864,0.61672,-1.69722,-1.20308,1.06151,0.19074,-0.44341,0.86796,0.65827,0.18465,0.16098,1.66247,-0.31529,-0.45266,-0.08088,0.31775,-0.33377,0.46976,0.44311,-0.10667,0.27345,0.16543,0.64291,0.99107,-1.15734,-0.58483,0.85106,-0.72606,0.96937,0.98919,-0.9686,-0.71106,1.81611,0.70616,-0.11901,1.34284,0.36515,-0.2735,-0.69096,0.59762,-0.45427,1.36678,-0.24768,-1.41912,0.45494,0.39824,0.48144,-1.09734,-0.58409,-0.30678,0.55249,0.86071,-0.53908,0.03643,-0.19022,-1.28325,0.46737,0.13966,-1.05751,-1.93549,-0.17549,0.37491,0.97572,-0.50073,-1.9195,-0.91554,-1.45971,0
-0.85077,-1.70003,-0.49165,0.07755,0.47989,-0.48184,-1.27222,0.79446,-0.87028,0.1546,-0.8232,0.50904,0.40592,-1.30202,1.09715,-1.78216,-0.2445,-1.03315,0.10728,-0.93877,-0.27424,0.11536,-0.80261,0.99949,-0.02243,-0.41064,0.08637,1.12997,0.39718,-1.67159,0.074,1.82229,-0.0816,-0.06573,-0.6872,-0.76689,-0.00124,0.63455,0.32908,0.85387,1.11013,0.36794,-0.00493,1.67397,0.71362,0.50897,-0.93879,-1.48773,-0.08456,0.44599,1.13827,0.44657,-1.35377,0.60018,-1.21958,2.21309,-0.0567,-1.70017,2.56301,-0.22341,2.43003,1.16939,-2.40356,-0.05737,-0.74931,-1.0224,-0.99099,0.83521,-1.20027,-0.42548,-1.55078,1.51164,-1.39459,-0.16485,-0.92052,0.99688,-0.48255,-0.4509,0.08807,1.57354,0.47482,-0.09327,-1.7601,0.86062,0.29845,-0.69936,-0.19937,0.42391,0.00948,-1.28959,0.2726,-0.95149,-1.47928,1.04574,0.85089,0.93683,-0.3529,0.36488,0.21803,-1.66962,-0.07108,-1.51495,-0.05992,0.58395,-0.5889,-0.47866,0.41327,-0.82811,-0.525,1.85585,-0.17109,-0.57328,1.32135,-0.47387,-0.92768,-1.41717,1.6362,-0.4101,0.03968,-1.08033,0.78339,-0.01164,-0.71101,-1.62966,1.06457,-1.00635,0.64868,-0.39952,-1.47209,0.68219,-1.89123,-0.71187,1.13481,1.88032,0.45229,-0.46345,-1.17651,-0.07579,-0.42437,-0.40121,-0.15358,1.21671,0.11951,0.1597,0.11412,1.89673,-0.75748,0.23634,-0.16548,-0.04673,-0.62409,0.48391,-1.01536,-0.91278,-0.29156,1.32079,-0.44956,1.11321,-0.1007,-0.01348,0.79003,0.02317,0.186,0.53993,1.78609,-0.1489,-1.11335,-0.91593,-0.95788,0.26695,0.7601,0.55261,1.07597,0.21473,-0.88149,-0.2106,0.29116,-1.35715,-1.98705,-0.88032,0
1.38702,0.91956,-0.78845,1.67737,-1.59341,-1.54099,-0.11751,0.10532,-0.51642,0.5218,0.72291,0.11265,0.2396,0.68954,1.40668,0.86517,-0.34867,-2.19011,0.25809,1.61132,0.14428,-0.34265,-1.61506,-0.5497,1.17176,0.11879,0.41197,-0.08865,2.31006,0.27566,-0.2069,-0.43218,-0.77992,-0.18089,-0.02608,2.0751,1.55781,-0.94019,-0.8116,0.62778,-1.26963,-1.06607,-1.39782,0.2333,-0.5755,0.4445,0.11266,-0.66042,1.09061,0.27023,0.23184,1.07039,-1.4748,-0.79787,-1.80624,0.63496,-0.52896,-1.90829,0.45617,0.42942,0.10321,1.14023,0.99573,-0.80856,1.54093,1.37401,-0.29013,-1.04064,-1.15208,-0.34803,1.11461,-0.33111,-0.40213,-0.41038,-0.13967,-0.04354,-1.89214,1.21625,-0.13126,-1.16558,-0.05963,-0.84823,1.84148,-0.44132,0.86367,-0.90282,-0.32027,-0.25144,-1.10379,0.37663,-0.11377,-0.6186,0.00625,2.40781,-0.76758,0.68069,1.35936,-1.04097,-0.71746,-0.50044,0.76232,0.7955,0.73578,-0.30896,-0.22966,-0.43,-0.85826,0.03754,-0.2868,-0.96452,-1.58782,-0.83793,-0.34825,-0.15119,0.60301,0.05233,-1.92507,-2.42425,1.01374,0.32673,1.29027,-0.64253,1.01872,-0.64381,1.39731,-0.30753,-0.33683,0.11857,0.57904,0.02255,0.86486,-1.24691,-0.70115,-0.18598,1.47511,0.33214,-0.00908,0.01773,1.40353,0.32798,-0.43389,0.69184,-1.3239,-0.07735,-0.7556,0.04171,-0.90943,-0.60333,-0.31827,-1.14749,-0.27597,-0.57994,0.56186,0.4303,0.2889,0.00029,0.02561,-1.40591,-0.573,0.47698,0.78505,2.12322,-0.34433,-1.03319,-0.47453,0.7774,-1.03321,0.53646,-1.84232,-1.15592,0.13703,-1.50391,-0.47267,0.29341,0.23152,0.57171,0.9917,-1.15484,-0.25368,0.05353,0
1.02771,0.07734,0.30531,0.41194,0.37843,0.61753,0.04322,0.63538,2.48514,0.46754,0.54399,0.51931,0.22591,1.00758,0.15669,-0.46319,0.54947,-1.03393,0.26017,0.94864,-1.32171,1.38518,0.12028,1.12318,-0.25994,0.0981,-0.82583,0.03882,1.01359,2.76099,-1.18668,0.39416,0.62779,-0.31203,0.94029,-0.89139,0.39204,0.66126,1.76141,-0.4975,-1.24739,-0.56908,-1.33261,0.9929,-2.04789,-0.36622,-2.67634,-0.06236,0.01981,-0.3283,1.05132,0.71599,-1.01372,0.23882,0.82726,-1.50137,0.76329,-1.28938,-0.32058,0.26914,1.8714,-1.8889,0.39465,-1.41161,0.34896,-0.01887,1.68279,-0.53719,0.23534,-0.90684,1.13829,0.81131,0.26147,-0.92296,1.55233,-0.733,-0.03344,-1.6354,1.30418,-0.1489,0.10593,-0.47174,1.15816,-0.01191,0.24937,0.96792,-0.32262,0.0361,-1.7456,-0.81018,0.99843,2.45848,-0.35301,-0.22495,0.98916,0.06892,1.26975,0.42209,-0.06951,-0.70604,1.56261,1.18503,0.34789,-0.24309,-2.68035,-0.84787,-0.32487,0.05335,1.6269,0.43647,-0.61824,-0.68817,0.19067,-0.88886,-1.98067,1.04498,0.66011,-0.01245,-0.5791,-0.41161,0.31659,-1.45483,1.56665,0.59,-0.36561,-0.24997,-0.08661,-1.24858,-0.37736,0.55186,1.52993,-0.56102,-0.05316,-0.99016,-1.28878,0.11324,-1.77569,1.07717,-0.67737,1.0292,-0.69322,-0.7371,0.43223,-2.61405,-1.32991,1.95478,-2.2944,1.87217,0.51359,-0.38681,-2.46737,0.65551,1.03389,-0.82935,0.39275,1.56309,0.26998,1.95953,-0.24092,-0.13088,-1.36594,-0.58035,-0.02848,-0.0779,0.70561,0.74219,-1.32446,2.63721,-1.31074,-0.12998,-2.77719,0.91016,-1.63225,0.33017,-0.28503,0.71012,0.95749,-1.23649,0.01651,-0.25532,0
0.37505,1.20983,-2.17575,1.1874,-0.5324,0.7589,0.4388,0.19814,1.77125,1.57523,2.68747,-1.21681,0.04516,0.65106,-1.24979,0.9923,-0.18158,-0.0254,0.99452,0.94758,-1.07102,0.3143,1.49499,-0.94161,1.50955,-1.60732,2.82235,-0.4387,0.14361,-1.1773,-0.14772,1.95768,-0.39919,1.29011,0.0299,0.24327,-0.17089,-0.25787,0.40652,-1.03384,-0.26564,-1.73132,0.02057,0.41358,0.56122,0.81749,1.10075,0.85144,-1.16126,0.63362,-1.37148,1.13477,-0.77353,0.83777,-0.21009,-1.16453,-0.82961,-0.96371,0.00747,-2.26471,-0.63202,-0.90938,0.28396,0.92169,0.27964,-1.22353,-0.13462,1.02216,-0.91786,0.67566,0.31647,-0.95835,1.21211,0.0948,0.57616,1.30727,0.19022,-0.442,0.10898,0.53789,0.40601,-0.4158,-1.04589,-0.50393,1.0393,-0.64165,0.42782,1.11789,-0.04658,-0.81041,0.7576,0.39089,-0.71336,-0.38187,-2.42766,-0.62717,0.26107,-1.12643,-1.28469,1.23905,-0.01015,-0.18777,0.18284,0.60785,2.0828,-0.18901,-0.10349,-0.01619,0.7207,0.72632,1.00861,-0.65511,-0.63436,0.4943,1.53301,-0.29901,1.16689,-1.58252,1.21608,-0.59024,-0.91246,-1.5877,-0.66249,-0.60538,-0.87002,0.06495,1.93624,-0.19663,-1.71407,-1.53047,2.11435,-0.30069,1.90003,0.09196,-0.97867,-1.20446,1.07349,0.34445,-1.29728,0.72548,0.2627,-0.11295,-1.132,-0.20147,-0.09962,0.32146,0.02357,-1.67149,-0.79675,-0.53234,0.04516,0.76385,0.57402,-0.22174,-1.89395,0.49178,-0.80967,-0.15024,-0.33863,0.43728,-1.49608,-1.31603,-1.21952,-1.81055,-0.50967,-1.97198,-0.52797,1.05042,1.73142,0.36044,0.07793,-0.14326,-2.02704,1.10655,0.005,-0.15266,-1.60434,0.65276,-0.05503,-0.02687,1
0.31212,1.07288,-1.08905,-0.27462,-0.00374,0.27532,0.19971,1.22977,0.17059,0.45531,1.61362,-0.10167,0.24554,0.67293,0.59783,-0.0186,1.41292,-0.85025,-0.50986,1.11646,0.60541,-0.24421,1.33221,1.32918,0.18297,-0.30143,0.86074,-0.87949,-0.57877,0.00209,2.38591,0.4681,-0.60238,1.33718,0.55297,1.17579,0.53621,0.47045,0.48759,1.4541,0.99062,-1.41105,0.02093,0.08233,-0.8643,0.33915,-1.71969,0.09146,1.01004,1.23123,0.87095,-0.56042,-0.61136,-0.19446,-1.06175,0.1911,1.25148,-0.14813,-0.00203,0.58721,0.02934,-0.35354,-1.3072,1.92633,0.8256,-1.22571,0.70435,-1.07267,-1.52829,0.21196,-0.0242,0.33855,0.18905,0.67945,-2.45946,-0.00299,2.40472,0.04548,-0.78498,-1.99621,-0.20509,-0.27869,1.06827,-0.78786,0.91392,-1.12224,-0.32186,1.35096,0.63814,0.35412,0.13027,-0.24669,0.32183,0.67746,1.35011,-1.00481,0.55238,-1.47858,0.58009,0.25416,-0.52491,-0.3786,1.49123,-0.19282,-1.68004,-0.56036,0.45265,-0.54864,0.69096,0.12624,0.72602,1.04965,-0.444,0.25563,-1.77017,1.87355,0.29191,-0.577,-2.23163,-0.34228,-1.42715,-0.28302,-0.07802,-1.09853,0.26546,-0.08475,-1.41174,0.22909,0.51851,-0.77547,1.28558,0.07067,-2.24668,0.72584,-1.09347,1.00727,0.21928,-1.20129,2.71538,0.76364,1.15709,-0.29822,-1.31906,-2.31921,2.80745,-0.37919,-0.29152,0.09811,-0.61472,0.18507,-0.70374,1.91862,0.04373,-0.05963,1.19802,0.19749,-1.33089,0.15025,0.59732,0.25022,0.66415,0.72043,-1.19254,1.58012,-1.77359,0.6179,-0.16699,-1.60417,0.5883,0.74248,-0.84613,-1.26791,0.02179,-1.38076,1.55543,-0.50991,-0.03036,0.15375,-1.33269,0.75835,0
0.68991,0.61021,2.50689,-1.49353,0.16567,-1.23161,1.18229,-1.17018,0.9502,-0.12079,0.36019,0.07781,-0.935,-1.97445,0.6908,-1.40876,1.64143,1.20546,-1.09839,-0.0585,1.12254,0.87188,2.15215,-2.33753,0.74326,-1.5182,0.33788,0.13167,-0.65496,-1.81582,-0.32173,0.05416,0.28073,0.29722,0.16448,-0.23542,0.13263,1.44269,0.0727,-1.225,1.3338,-0.5933,0.15612,1.06465,-0.38906,1.59017,-0.63731,0.09931,-1.03977,2.54793,1.19584,0.87787,-0.19094,-0.07587,0.13495,-0.33234,-1.19152,0.25065,-1.15064,-0.09927,0.40464,1.30667,-0.12311,0.07855,0.10405,1.07786,-0.42716,-0.05126,0.27056,-2.13549,-0.15301,-1.1876,0.86398,-0.16913,1.14451,0.12536,0.25382,0.00998,0.22185,-0.42479,-1.28634,0.39333,-0.13971,-0.32864,0.81918,-1.36754,0.22664,-0.20518,0.85153,0.25543,-2.01178,0.27888,-1.08522,0.37186,-1.35797,0.91689,0.82095,-0.5063,-0.63743,-1.0307,0.51046,-1.4658,0.9239,-0.59836,-0.56558,0.13116,1.63889,-0.92139,1.14653,2.49889,1.06625,-0.69111,-2.76999,1.78906,-0.56599,-0.65428,-1.54788,0.78768,0.00233,0.87722,1.08365,-0.82705,0.83251,-0.16322,-0.06666,-1.13957,0.71993,-0.73855,-1.63232,0.18838,-0.35306,0.0468,0.69033,-0.1433,-1.25553,0.30805,-0.44134,-1.36232,1.24724,0.45102,1.82108,-1.95023,0.79668,-0.41236,-0.16944,1.0889,-0.44431,-0.85293,0.12496,-1.70526,-0.67738,-0.79751,0.4128,0.21146,-1.10423,-0.254,0.03041,0.2741,-0.76263,0.36823,1.63763,2.08545,-0.24127,-0.05764,-1.32726,0.34798,0.52288,1.10893,0.4832,1.18877,-0.31289,0.23074,0.03356,-0.68164,2.03423,1.00754,-0.21877,1.35974,-0.24787,-1.53613,1
-0.20388,-2.23645,2.20472,0.40569,-0.90461,-0.62885,0.34631,0.07451,-1.17313,-0.68923,0.23138,-0.04043,0.89039,1.00237,1.05848,-1.331,1.38073,2.22907,-1.71767,1.69353,1.38423,-0.47957,0.75917,-0.59168,1.56844,-1.41912,0.47227,1.80434,-1.02128,-0.72949,-1.16087,2.99432,-0.76804,1.01695,1.89074,-1.02189,1.31213,-0.4964,-0.65294,0.00485,-0.92942,-0.24494,-0.15124,1.67741,-1.50324,-1.13429,-0.00401,0.31596,0.46452,0.24878,-0.28841,1.04217,-0.6773,1.25308,-0.20562,0.59385,-1.65078,-0.1971,-0.46546,1.2822,0.59252,1.11891,0.21885,-1.98032,0.36019,1.62436,0.07255,-0.1956,-0.71473,-1.20773,0.26606,-0.84863,1.82423,-2.17992,1.40416,0.13822,-1.5919,-0.44079,0.04177,-1.19002,1.10254,0.60562,0.70997,-0.20507,-0.75553,-0.42207,-0.12827,-0.36042,-0.05808,-1.62691,-0.75066,-0.0185,1.62303,1.14806,0.50221,0.72141,0.78759,-0.53784,-0.23452,0.82264,-2.57203,1.11325,-0.49747,0.50339,1.3726,2.01012,0.74902,-1.27148,-1.01294,-0.15171,-0.60217,-0.58848,1.7793,1.49025,0.0491,0.53432,-1.81168,0.6419,-0.40738,-1.43718,0.27811,-0.40965,0.88211,1.73725,1.08805,-0.42976,0.7257,-1.75457,0.13329,1.16057,-1.15334,-0.60986,-1.21372,0.02764,-0.23843,-0.74582,1.97655,0.04482,0.08956,0.58261,-0.99803,1.45047,-0.57997,1.18964,-0.03374,0.30481,-1.38021,-1.18039,0.31455,-0.46701,0.2749,0.43467,0.47916,-0.50289,-1.85482,1.47111,-1.35657,-0.44939,-1.56828,0.20197,1.74762,0.46827,-0.54853,0.36092,2.66108,-0.55626,-0.56838,0.50508,1.6691,-0.21032,-0.39612,-0.68702,-2.04971,-0.69322,-0.02878,0.62792,0.44548,0.16087,-0.83851,-0.28442,0
