trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.69236,0.04811,1.27812,1.42797,0
1,-0.02625,-0.95551,-0.9141,0.33817,0
2,-0.29366,1.13171,1.88248,0.1544,0
3,1.80644,1.07209,0.56028,-1.25566,1
4,0.59202,-0.4062,1.42465,0.63643,0
5,-0.89129,1.82453,2.09144,0.10255,0
6,1.59156,1.07494,-1.59263,-1.15833,1
7,1.38482,0.61947,0.03023,1.18555,1
8,-0.62018,2.15266,-0.01373,-0.25571,1
9,-0.88736,1.30266,0.84477,0.63114,0
10,0.63886,-0.49843,0.52434,0.13736,0
11,-0.49567,-0.38286,0.99028,-0.97142,0
12,-0.10485,0.08007,0.62784,-0.91378,0
13,-0.00951,-0.34007,-0.96312,-2.02831,0
14,-1.0115,-0.24949,-1.06802,-0.14751,0
15,-1.27681,-1.05527,0.10929,0.93427,0
16,-0.1875,-1.97462,-0.20552,0.43253,0
17,0.29877,1.77788,-0.11834,-0.0789,1
18,-0.50936,0.44552,-1.72114,-2.75213,0
19,-1.16395,1.90177,0.88294,0.4828,0
20,0.57927,-0.59181,-0.29774,-1.31408,0
21,1.16787,0.30533,1.13172,0.45787,1
22,-0.97775,-0.29248,0.87986,-1.13527,0
23,-1.3123,-0.37129,-1.23504,-0.52186,0
24,-1.89808,0.24813,-0.77612,-0.01249,0
25,0.57015,-0.08707,0.53743,0.83634,0
26,-0.80155,0.74749,-0.11476,0.32381,0
27,-0.07558,0.76788,0.83416,-1.19538,1
28,0.59965,-2.29146,-1.17339,0.10868,0
29,-1.44616,-1.19602,0.21694,-0.12531,0
30,0.34559,-0.71526,0.32609,-0.68691,0
31,-0.49468,1.36262,1.08848,-1.43881,0
32,-0.18427,-1.34003,-1.39444,1.06671,0
33,-1.51871,0.93091,0.4147,0.77377,0
34,-0.59477,0.48257,0.31019,-1.457,0
35,0.56158,-0.8088,-0.39131,1.99714,0
36,-1.31874,1.18277,-0.53829,-1.80185,0
37,-0.02014,-0.90882,0.30588,-1.13667,0
38,0.27124,0.65326,0.95275,-0.44687,1
39,-1.60892,-1.84938,1.5534,-1.69924,0
40,0.24415,0.73357,-0.20432,-0.37552,0
41,-0.95869,1.92134,-0.6101,-0.40286,1
42,0.57211,-0.24101,-0.0547,-0.78388,0
43,0.01396,0.82115,-0.66102,0.42718,0
44,-0.59077,-0.42846,-0.32513,0.24971,0
45,-1.68885,1.28712,1.93377,-1.1973,0
46,-0.58418,-0.94974,0.92496,-0.21065,0
47,0.80821,-0.42217,0.37402,0.23672,0
48,0.20817,-0.14644,-2.33496,-0.57161,0
49,0.06732,0.04211,0.54226,1.33908,0
50,-2.1621,0.17753,-0.5133,1.64157,0
51,1.02368,-1.21014,0.74509,-1.44374,0
52,-0.22158,0.62726,-1.42595,0.96873,0
53,-0.54882,0.00643,1.37364,1.52995,0
54,0.31823,-1.64589,0.27565,-0.16663,0
55,-0.27114,-0.50655,1.1993,0.62107,0
56,-0.11037,-1.42615,-1.48274,-1.61764,0
