id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E38,T14,-1.20045,-0.27609,-0.12195,-0.96359,0.70067,0
E38,T11,-1.18977,-1.09992,-0.27284,-0.46488,-0.53413,0
E04,T05,1.02945,0.09186,-0.03825,-0.42378,0.49854,0
E12,T03,1.96462,-0.39035,-0.27686,-0.90115,-0.6872,0
E40,T04,-3.40667,0.64367,-1.0132,-0.48874,1.91785,1
E18,T01,4.54388,1.33162,-3.34875,0.61106,0.28704,0
E27,T02,-0.87593,-1.04358,1.09145,1.40396,0.47235,0
E03,T14,-1.48592,1.6685,0.50429,0.07231,-0.23657,1
E27,T11,-0.89854,-0.68353,-0.56202,-0.27796,0.42012,0
E22,T12,0.61525,-0.6723,-0.68679,-1.24746,-0.76696,1
E10,T09,-1.00529,-0.1648,1.00278,-1.43505,0.51718,0
E26,T07,-2.42014,-0.82043,0.62039,0.67017,-0.87635,1
E29,T05,2.49438,1.36858,-0.1022,0.86477,0.42366,1
E34,T09,-2.2417,-0.80186,-0.74656,-1.26127,0.14636,0
E03,T11,-1.47809,1.15679,0.59738,-0.15092,0.30392,1
E15,T05,1.6216,-0.01739,-0.53566,-1.2313,-0.50943,0
E13,T16,-0.62821,-0.46149,-1.40293,1.14407,0.64188,0
E31,T11,3.06964,0.5718,0.8962,-0.91499,0.41542,1
E22,T08,0.64899,0.54211,-0.09725,-0.10317,-2.59628,1
E12,T06,1.94411,1.42457,-0.12838,0.28409,-0.78204,1
E05,T03,-0.66193,-0.14348,-1.38383,-1.65489,0.1089,1
E11,T11,2.18361,-1.07094,-1.16523,-0.35071,-2.63141,0
E36,T08,2.37133,-0.30696,-0.25567,0.82677,0.75449,0
E06,T07,-1.20213,0.40124,0.68215,-1.82323,-0.62125,1
E14,T04,-0.08288,1.03157,-0.10593,1.77043,-0.06769,0
E18,T12,4.53735,0.4041,-0.73214,-0.18268,0.34377,0
E07,T04,-2.13611,2.35603,-0.44093,1.1503,-0.23842,0
E22,T11,0.63615,-1.80563,0.54203,-1.20879,1.2223,1
E17,T14,-2.93146,-1.63909,0.99432,-0.7522,0.00566,1
E19,T02,-2.45556,-0.40296,-0.29114,-1.09119,-0.94963,1
E01,T07,-0.54953,-0.45824,-2.11643,-0.47356,-1.31064,1
E39,T02,-2.77694,-0.5496,0.16567,-0.08794,-0.61079,0
E10,T10,-1.02385,-0.53459,-0.61119,-1.02834,0.69548,0
E21,T08,2.13507,-0.55085,2.3214,1.70141,-0.31745,1
E05,T15,-0.70786,-0.6021,-1.71513,-0.63847,1.3206,1
E09,T14,-0.92684,1.17191,-0.45118,-0.01264,-1.09411,1
E36,T05,2.33359,0.00825,0.30544,0.336,2.18322,1
E01,T09,-0.54684,-0.2883,-0.01591,-2.22741,-0.53959,1
E27,T03,-0.92898,0.7103,-1.70065,-1.00605,-1.10126,0
E12,T02,1.95684,-0.65638,0.73599,0.32217,-1.52829,0
E20,T04,2.29706,1.19655,0.7205,-1.26483,-0.51642,1
E20,T06,2.2648,-0.68511,-1.56648,1.33812,-2.95156,0
E18,T08,4.57036,-0.10134,-2.18012,0.74052,-0.23062,0
E32,T01,2.2559,0.55096,0.75008,-1.36102,0.57724,1
E06,T06,-1.15902,0.65579,-1.06124,-1.16438,-1.48754,0
E26,T09,-2.43013,0.55705,-1.46157,-0.06581,0.50031,1
E14,T01,-0.11872,-0.29061,-0.2523,-0.83966,-1.55768,0
E07,T12,-2.15773,1.13485,0.68067,-0.89983,0.99768,0
E20,T02,2.26236,0.8633,-1.14399,0.06689,0.96381,0
E03,T08,-1.49224,-0.88698,-1.18132,-1.39593,-1.19087,0
E03,T16,-1.50484,-1.01151,0.28383,0.03596,0.45675,1
E39,T10,-2.77976,0.92428,0.77191,-1.25956,2.16083,1
E29,T07,2.48333,-0.80073,0.96995,0.12508,-0.84161,1
E11,T12,2.20849,1.48665,-1.36268,-0.06986,0.95543,0
E33,T04,0.50873,0.99877,-1.20293,0.78628,1.16609,1
E39,T06,-2.80007,1.41724,-0.94992,2.82819,0.37367,1
E24,T16,3.517,0.83445,0.98234,0.50196,0.78982,1
E23,T05,-2.56508,-0.18996,0.30639,-1.20301,-0.59476,0
E28,T13,-0.88331,1.50771,-1.58672,-0.962,1.31815,0
E06,T16,-1.21801,-0.41484,-1.00861,0.71207,-0.7523,1
E04,T01,1.0617,-0.09135,-1.26949,-0.53186,-1.00547,0
E11,T16,2.19877,-1.15181,0.9294,-0.4767,-1.79915,0
E35,T03,-0.70183,-0.29973,0.22043,0.32138,1.6756,0
E23,T03,-2.57917,0.12002,0.2874,-0.20486,0.63777,0
E30,T09,-0.35959,0.44981,-0.49956,-0.5361,-1.35977,0
E35,T11,-0.70476,0.31631,0.53419,1.1703,0.65292,0
E27,T07,-0.92644,-0.4093,0.28431,-1.01448,-1.5463,0
E14,T09,-0.095,-1.33131,-0.48008,-0.38892,0.31711,0
E19,T06,-2.44217,0.87747,0.38198,0.65117,1.10451,1
E32,T13,2.25371,-0.28948,1.76372,0.17646,-0.53854,1
E24,T01,3.48211,3.26094,-1.40641,-0.21925,1.78019,1
E19,T03,-2.4563,0.53083,0.68927,-1.22448,0.9388,1
E35,T05,-0.70345,-0.75096,0.09891,-0.28748,0.96935,0
E27,T08,-0.93621,0.29552,-0.19273,1.42146,0.28551,0
E38,T07,-1.12618,0.51652,1.68972,-0.57642,-0.33995,0
E09,T13,-0.8833,1.4883,1.05191,-1.25395,-0.75221,1
E14,T06,-0.1002,0.42143,0.54215,-0.62406,1.0388,0
E29,T09,2.45731,0.646,-1.31682,-1.09502,1.25866,1
E16,T09,0.61525,2.24053,-0.78634,0.30493,0.92782,1
E36,T12,2.32046,0.40641,0.9568,0.51276,1.80079,1
E05,T16,-0.72488,-0.1234,0.35755,0.5374,1.4384,1
E30,T13,-0.332,2.32403,-0.4455,-1.87805,-0.09465,0
E35,T09,-0.6971,0.3733,-0.10765,0.77286,-0.51361,0
E22,T05,0.61894,0.21393,0.26161,-0.34874,-0.75299,1
E27,T15,-0.90236,-0.69165,-0.15966,0.23685,-0.73901,0
E19,T11,-2.45,-0.37066,-0.96869,1.60296,-0.4004,1
E08,T14,3.01047,-0.7558,0.4468,0.48555,0.06112,0
E02,T03,-2.46357,-0.21278,1.20241,-1.02709,0.38662,0
E39,T01,-2.79354,-1.39982,-0.82987,-0.08139,0.86672,0
E34,T08,-2.28438,1.02741,1.08229,0.59613,0.09525,0
E37,T16,1.10376,0.02353,-0.16479,0.02692,-1.18303,0
E25,T05,-2.78597,0.34913,0.57712,-1.3841,0.54854,1
E28,T12,-0.86539,-0.43489,1.20133,-0.72607,-0.85879,0
E31,T16,3.09227,-0.7622,-0.72541,1.11525,0.50423,1
E26,T16,-2.42303,-0.77181,0.67319,1.00306,0.74454,1
E38,T01,-1.14558,1.27204,0.35133,0.72328,1.25796,0
E07,T13,-2.12828,-0.66891,-0.8875,-0.44387,-0.87018,0
E26,T06,-2.42708,-1.64098,-0.24511,1.58407,-0.62521,0
E06,T12,-1.20477,-0.97181,0.82977,-1.53341,-1.61591,1
E34,T15,-2.27692,0.06105,0.6333,1.38422,-1.86621,0
E04,T11,1.02571,0.15622,-0.7172,-0.96885,-0.3699,0
E37,T09,1.08861,0.70227,2.24289,0.1444,0.33703,1
E40,T07,-3.41225,0.01567,-1.51813,0.23189,1.80801,0
E40,T11,-3.46432,0.05029,0.02814,1.13228,-0.85109,1
E36,T02,2.34259,0.00077,0.5194,-1.5776,-0.29984,1
E35,T04,-0.7503,1.09511,-0.90604,-0.27225,0.5124,0
E20,T15,2.27973,2.35295,-0.08371,1.23403,-0.28443,1
E09,T04,-0.88203,0.35296,-1.62326,-2.89665,0.85639,0
E04,T14,1.03434,1.33491,-1.38475,0.61723,0.62995,0
E16,T16,0.61915,-0.67763,0.33592,1.51481,0.43166,1
E07,T15,-2.14924,-0.20136,0.36613,0.47682,-1.25554,0
E26,T12,-2.45359,-0.93833,0.9347,-0.84847,-1.74329,1
E07,T09,-2.14075,-0.06872,0.4684,0.21979,0.31841,0
E14,T11,-0.07171,-0.23235,0.97706,-0.94378,1.96545,0
E33,T11,0.48154,-0.3695,-1.66395,-0.12696,1.44533,0
E15,T08,1.5912,1.00495,1.40131,-0.52788,-0.88728,0
E40,T15,-3.37476,0.6423,-1.74265,2.04747,-1.05624,0
E35,T16,-0.72148,-0.49842,-0.64822,0.48841,1.27238,0
E29,T14,2.47258,0.17883,0.19758,-3.22471,0.09223,1
E04,T10,1.06545,0.16773,-0.55966,-0.41819,-0.05988,0
E05,T05,-0.68842,-0.08478,0.25423,0.5296,1.19441,1
E35,T14,-0.72741,-2.6259,0.8852,0.02797,-0.28774,0
E01,T14,-0.52068,-0.37692,-1.22664,-0.17932,1.4524,1
E01,T02,-0.56321,0.66348,1.79561,-1.35274,-1.35341,1
E34,T12,-2.2843,0.23983,-0.17426,-0.30015,-0.05228,0
E27,T16,-0.92051,1.23705,1.39103,-0.58489,-0.19112,1
E02,T01,-2.48212,-0.40878,1.32977,-0.27881,-1.38927,0
E40,T01,-3.3921,-0.45353,-0.54448,2.03522,2.27952,0
E12,T04,1.96729,0.4722,0.23779,0.32052,-0.8108,0
E22,T03,0.61876,1.36236,0.39561,-0.66733,0.34242,1
E29,T01,2.48955,-0.18229,0.76307,-0.50651,-0.3158,1
E25,T09,-2.81734,-1.14233,1.11508,-0.71297,0.84653,0
E39,T05,-2.7694,0.33139,-0.02143,0.33259,-0.7207,0
E10,T06,-0.98657,-0.62362,-1.54007,-2.2542,1.97468,0
E38,T04,-1.18865,-1.37371,1.59174,-0.44761,0.45734,0
E29,T11,2.50712,-0.09119,0.37365,-0.01337,0.25533,1
E17,T06,-2.88237,0.44149,-0.51292,-0.72284,0.00447,1
E02,T15,-2.47555,-1.64172,-0.46188,-0.04239,0.7731,0
