v001,v002,v003,v004,v005,v006,v007,v008,v009,v010,v011,v012,v013,v014,v015,v016,v017,v018,v019,v020,v021,v022,v023,v024,v025,v026,v027,v028,v029,v030,v031,v032,v033,v034,v035,v036,v037,v038,v039,v040,v041,v042,v043,v044,v045,v046,v047,v048,v049,v050,v051,v052,v053,v054,v055,v056,v057,v058,v059,v060,v061,v062,v063,v064,v065,v066,v067,v068,v069,v070,v071,v072,v073,v074,v075,v076,v077,v078,v079,v080,v081,v082,v083,v084,v085,v086,v087,v088,v089,v090,v091,v092,v093,v094,v095,v096,v097,v098,v099,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163,v164,v165,v166,v167,v168,v169,v170,v171,v172,v173,v174,v175,v176,v177,v178,v179,v180,alvo
-0.13771,-0.767,-1.98385,-0.26221,-0.56898,-0.60399,-0.55713,-0.71711,0.38108,0.26441,-1.24686,-0.33242,0.48367,0.30679,-0.94757,-0.09312,0.06106,0.29636,0.52998,1.02652,1.14815,-0.18018,-0.89122,0.63826,-0.97352,-0.06212,-0.91215,1.45136,0.72069,3.47652,0.9593,1.90986,-0.16728,-0.16038,-0.69947,-1.09809,0.86768,0.63791,0.44735,-0.31453,-1.12463,0.22479,-1.07824,-1.19627,1.76773,-0.16075,-0.12759,-0.6891,-2.78512,-0.62721,-1.21565,1.87,2.66715,-2.43012,0.79602,0.60711,-0.58642,-0.03262,-1.46252,0.09674,1.07104,1.41389,-0.02254,-0.8886,1.81597,0.53625,-0.70919,-0.40323,-1.27705,-0.08662,-0.89723,3.15239,-1.16158,3.1585,0.00815,0.20952,0.51519,-1.39864,1.14871,-1.81009,1.05068,0.28456,0.10207,1.04218,-0.27933,-0.29116,1.09537,2.11417,-0.66418,0.14733,1.73997,-0.13044,1.03872,-0.39924,-0.75619,-1.35928,-0.87358,-0.5362,-0.27503,1.38105,-2.65235,-0.15435,-1.03746,-0.79194,-0.99318,0.71714,1.13872,0.18834,0.84162,-0.05235,0.74203,0.48871,1.01397,-0.41894,-0.23269,-0.43268,-0.47186,1.84591,-1.30498,0.66625,1.67402,-0.30223,0.86727,0.97017,0.53394,0.13099,0.26275,0.61618,1.14644,-0.751,1.22154,1.3698,0.25393,-0.56296,-1.63702,0.27421,-0.027,-1.23547,-0.06786,2.21913,1.45286,1.78756,-0.31314,0.31136,-2.02051,-0.64154,-1.31551,1.39712,-1.12287,-0.25812,-0.84615,-1.67983,0.42475,0.44489,1.43548,0.49393,-0.33961,-1.21154,0.308,0.00449,0.58962,3.2027,0.24461,1.15314,-0.63535,-1.29938,-1.75164,0.89632,0.1267,1.44682,-0.0099,-0.02803,0.13687,0.63598,0.01502,0.02776,-0.32574,0.95268,0.54652,0.73799,0
-0.64444,1.70193,0.29416,-0.61269,-2.65839,0.09578,-1.06106,-0.54252,-0.24755,-1.94679,0.41984,-0.53849,1.6048,1.00973,0.24923,0.73113,0.89201,-1.07839,0.22247,-1.3681,0.7276,-0.51854,-0.59553,2.10255,0.63586,-0.04775,0.05337,-0.89985,1.36498,0.00642,0.37708,-0.61896,0.27653,0.4332,0.02292,-0.73017,-0.47821,-0.11766,0.36427,0.24116,-0.94655,0.34211,0.86446,-1.99056,-0.59519,0.42392,-0.58813,-0.29991,0.09862,-0.16391,0.57121,0.59029,1.41907,0.10583,0.2346,1.07667,-0.16398,-0.16273,2.17897,1.64368,0.53431,-0.11225,-0.16726,-0.25135,0.16933,0.72146,-2.13457,-0.56354,-0.91122,-0.24308,1.98927,-1.13913,-0.38241,1.25834,0.66682,1.2465,0.73422,0.04841,-0.2072,-1.68145,-0.04616,-1.25692,0.78827,-0.73667,-0.10295,-0.12974,0.26636,-0.13565,2.45548,-2.38904,-0.63464,-0.51411,-1.13338,-0.16584,-0.02582,-1.45725,1.11716,-1.62851,1.82188,1.0853,0.75349,0.5972,1.03871,-0.89765,0.10163,1.29353,0.09535,0.86683,-1.01737,-0.98389,0.88917,0.20423,-1.60897,1.49684,-1.02693,0.75502,-0.5465,0.21536,-0.18302,-1.03725,1.68185,-0.31374,1.63562,-1.95957,2.10149,0.49234,0.61898,1.41141,0.38436,-0.73389,-1.63927,-1.96728,-0.25937,-0.6155,0.48158,-0.33586,0.74086,1.43236,-0.17026,0.66352,0.61219,1.9111,0.56334,1.75853,-0.3334,0.78562,1.56829,-0.46932,-0.1644,-0.49823,-0.14076,1.53881,-0.51297,0.41097,-1.30468,0.44438,-0.4944,-1.19287,-0.28593,1.09764,-0.16649,-0.59241,-0.23305,-0.13931,0.81948,-0.24039,0.38966,-0.14828,0.73544,-0.02269,-1.09343,-0.96801,-0.65449,0.12683,-1.79819,-0.19764,0.34009,0.56825,-0.29556,-0.19042,1
-0.43992,-1.31215,1.42593,-1.71382,0.73472,0.23199,1.67907,-0.17936,-1.33663,-1.25874,-0.24368,0.26958,0.07147,1.57268,0.13663,0.48573,0.66166,-0.81824,0.39064,-0.6831,0.03078,1.66719,-1.97252,1.11351,2.70931,-0.581,0.16244,0.99718,0.02715,1.46052,0.77863,0.54421,-2.65339,0.24857,0.292,-1.03683,-1.45649,-1.06292,-0.75092,-0.1587,1.44728,-1.60952,-1.20707,0.70901,-1.07903,1.59323,-0.11192,-0.61112,0.42984,-0.32172,-0.79112,0.28481,0.73726,0.20655,-0.20646,0.61927,-0.147,0.35516,-0.26367,-1.05384,-0.38642,-1.03487,-0.84368,0.30001,-0.96133,0.19204,0.11325,-0.04007,-0.09321,0.3442,-0.09859,-0.6384,0.80119,-1.54372,-1.69024,-0.69094,-0.37545,0.16063,0.45768,-1.37061,-0.39221,1.13896,-0.66618,0.19458,0.0418,0.05108,-0.65331,0.52169,0.04699,-1.34259,-0.31838,-1.83137,-0.73204,0.422,1.02025,0.02965,0.24445,2.32253,-0.58513,-0.10982,0.65525,-1.13764,-0.59532,0.1339,-0.27163,-1.34655,-1.31155,-0.72701,1.07044,0.77651,-0.98766,-0.85336,-0.16829,1.66531,0.54878,0.25851,0.0609,-0.83585,0.73616,-0.05908,0.98334,0.14069,-0.01258,0.0333,-0.74101,-0.51764,-0.19358,0.19719,-0.84989,-0.26044,-0.73649,-1.2584,0.35661,-0.48764,0.22993,-0.30805,-0.10681,1.5637,-0.80821,1.78101,-0.97597,-0.21381,0.08352,-0.17464,-1.67163,1.537,-1.08292,2.18573,0.62896,-0.11619,0.45179,-1.51409,2.13558,0.33698,-1.27974,1.56447,0.09943,-0.10555,0.96631,0.73566,-0.90069,1.52336,-0.32896,-0.84654,0.39894,-0.4489,1.86931,1.68629,2.00338,0.94703,-0.18596,0.78393,1.53598,-0.2002,-1.7625,1.00246,-0.02867,0.03127,1.54758,-1.192,1
1.38628,0.89113,1.45815,-0.39857,-2.31245,-3.03939,0.65521,1.47218,0.36971,-0.10546,-0.43576,1.80224,0.48116,0.575,1.20023,0.63863,-0.67838,1.8411,-0.73908,1.06797,0.72715,0.679,0.07726,0.04258,-2.08542,-1.16556,0.57558,-1.1609,-0.77674,-1.13019,1.22712,-0.27405,0.2376,1.04625,-0.74131,2.13093,0.70118,-0.27517,-0.28547,-1.88039,-0.35813,1.76522,-0.46186,-0.09228,-0.3139,0.6775,0.18023,0.90735,0.29163,0.18956,0.15004,2.04206,-1.24998,0.09867,-0.45307,0.51413,1.26736,0.18766,1.24873,-0.84838,-0.26411,0.01826,-1.95664,1.42135,0.96064,1.01239,-0.01444,-1.89097,0.11909,-2.9535,0.89855,-0.77658,-0.9893,0.7829,-1.01225,1.91727,-0.22276,1.29273,1.28065,2.30175,-0.09194,-1.25023,0.691,-0.65867,0.4802,0.04592,1.73643,-0.15148,-0.17916,-0.50318,0.20473,-0.11829,-0.05731,-0.30542,0.18188,0.36546,-0.92438,-1.03496,-0.30419,0.20357,0.81034,-0.61726,-0.15296,1.00462,-0.02162,-0.19626,-1.51626,-2.27786,-0.22065,-0.89964,-0.21813,-0.41696,-0.93896,0.45214,-0.58295,-0.14633,2.04641,-1.07374,0.78604,0.5573,-0.56778,1.01998,-1.94866,-0.06667,-1.72208,0.47191,-0.66589,0.55072,1.41461,-0.11301,0.77855,1.55565,0.32137,1.28459,-0.40357,-0.95639,1.53734,-1.07713,1.929,0.47298,-1.06438,0.77256,0.43666,-0.6928,-0.10172,-0.31876,-0.39121,-0.27662,-1.94624,-0.8157,0.78927,-0.84458,0.00094,1.41355,-0.22643,-0.06203,0.28648,0.08604,0.33715,0.56149,0.87369,-1.43107,1.60362,-0.21909,-0.28394,-1.07928,0.28788,0.38376,-0.83053,0.1435,0.90904,-0.70441,0.40238,0.46799,-0.27859,0.21102,-0.57683,1.2257,0.92832,0.1489,1
-1.05621,0.77025,0.87947,0.55281,-1.12148,1.13847,-1.00034,0.14387,0.49352,-1.26123,-0.52699,0.03191,-0.22351,-0.22626,-0.13785,0.14076,-0.90193,1.72442,0.62391,-0.93025,0.89344,0.86843,-1.99295,-1.14568,-0.41603,-0.75383,1.76753,-1.38139,0.64984,0.20866,0.82437,1.55595,-1.44917,0.61898,-0.36374,-1.24959,2.27868,-1.34503,-0.24569,0.57696,-1.60685,-1.19384,-0.61894,-1.18709,-0.26435,0.51424,1.42944,-1.41366,-3.08309,0.68112,-0.19478,-0.72449,1.14102,-3.04894,0.3976,1.17059,-0.28428,0.34173,0.83414,1.32191,-0.29786,2.02,-0.83585,2.03537,0.25852,-0.65175,-0.09993,0.47826,-0.6579,-0.28076,0.56206,0.94538,-0.75523,-0.57556,0.72245,0.30408,-0.95078,0.45012,0.12336,-0.04391,-1.23573,-0.0788,0.54507,1.26604,0.28383,0.99879,0.42894,0.69013,0.67187,0.22412,-0.18116,1.59563,0.72624,-1.4136,1.44153,-1.08675,-0.87711,0.57525,-0.37437,2.06329,-1.40989,-1.63057,1.41596,0.38438,-0.79847,1.14139,-1.92214,0.41812,0.76742,1.04781,0.75365,-0.11828,-0.84706,1.86113,-1.16448,-0.48818,-1.13579,-0.82823,-1.38744,-1.18507,2.03821,-0.49745,-0.41576,0.77099,0.19874,0.32626,-0.60051,0.32064,-1.78916,0.97642,-0.347,0.06617,-1.23016,0.34961,-1.17222,-1.40677,-0.33237,-1.13297,0.35134,-0.0068,0.44907,0.82186,0.19089,-0.40248,0.14808,-0.36648,0.03255,0.40896,1.14282,0.90138,0.42491,0.27081,-0.71415,1.02408,0.50619,-1.17499,0.06591,1.47747,-0.46739,-0.67069,0.3765,0.59712,1.47084,-1.78228,-2.46521,-0.57489,-0.70347,-0.01602,1.33328,0.91408,-1.45783,-0.33815,-0.0179,-0.61113,-0.61168,1.92144,0.0812,-0.21216,-0.30122,0.43657,1
0.72598,-1.72934,0.4257,-0.36021,-0.32522,-0.80094,1.0612,-0.27418,-0.64632,0.76338,0.06822,-0.32398,1.41533,0.00697,-0.48722,0.42073,-0.32171,-1.14622,0.75765,-0.1885,0.22867,-1.13901,-0.80097,0.24287,-0.73269,-0.59534,-0.83529,0.04423,0.6287,-1.03306,-0.1719,-0.22478,0.39207,0.16222,-1.55652,-0.55331,-0.96784,-1.15162,-1.92311,-0.54038,-0.23726,0.3799,-0.36069,0.01206,2.5037,-1.64014,0.53051,0.09413,0.11369,0.81773,-0.33389,0.20078,-1.9628,-0.88086,-0.18823,-0.31295,-1.00557,0.13452,1.09254,0.64959,-1.87068,-0.07805,-2.03561,-0.90941,0.06509,-0.35778,0.75579,-0.21418,-0.88542,-0.45514,0.79452,0.95072,1.0487,-0.1751,0.63022,0.81964,-0.68478,1.45778,-1.18497,-1.9608,1.22413,-0.9873,-0.26742,-1.00884,0.5194,0.2064,-0.38657,0.699,0.48806,0.94622,0.02763,-1.16543,-0.73028,-0.35841,-1.05848,-1.7487,1.95049,-1.60991,0.15931,0.68035,1.4714,-1.01518,1.93248,-0.29764,-0.0629,0.21662,-0.48858,0.59079,0.8563,0.00501,-1.21496,0.28195,0.15446,1.4038,0.66279,0.0422,-0.58252,-1.68735,-1.91129,-1.17041,-2.73244,0.12509,-0.02247,0.27104,0.03644,-0.28637,0.81021,0.26878,-0.80333,-0.21638,0.60484,0.42302,1.34376,0.13449,0.45421,-0.28811,-0.26644,0.96559,0.41143,-0.89911,-0.6319,-0.50022,0.31358,-0.17731,0.1976,-0.00072,-0.21457,-1.59065,-1.14042,-1.22803,0.38495,-0.32722,0.2377,0.56547,0.12013,0.57992,1.37317,0.53994,-0.39069,1.40866,0.32648,1.78782,-0.24369,1.004,-0.01762,-0.42795,-1.08402,0.06803,-0.2817,2.11241,0.59837,0.82471,0.08372,0.54231,-0.64794,-1.38073,-0.75962,0.92078,-0.20361,0.07735,0
0.94142,-0.2127,0.66852,0.0677,0.10404,0.18954,0.6227,-0.55758,1.27286,-0.17,1.81115,-0.44063,-1.15018,0.36723,-0.15424,0.25542,1.63826,2.83958,-1.32155,1.92623,-1.91288,0.46759,-0.71372,-0.6588,1.78059,-0.4757,-0.14377,1.77832,0.85457,-2.04595,-0.35273,-1.59682,0.74212,-1.19202,1.44289,1.48333,-0.261,0.04358,-1.63623,-1.57843,-0.11157,2.49546,-0.17439,-0.17729,-0.15241,-0.95105,-0.74836,-1.20373,-2.00728,0.79551,1.93385,1.27973,-0.83003,-0.4005,-0.34446,-0.34877,0.67725,-1.57352,1.62615,2.01913,-1.08504,0.83091,0.74635,0.58119,-0.64796,-0.34635,0.55005,-1.01971,0.89371,-1.2686,0.71869,1.19127,-0.17776,1.01081,1.36965,0.90566,-0.19066,-1.28324,0.79891,-0.17029,0.88399,0.77246,-0.49029,0.68254,-0.42784,-3.68933,-0.3506,0.1994,1.10775,-1.62425,-0.39,0.44589,-1.24548,-0.17719,1.36144,-0.56635,0.32289,-0.0946,-0.66858,1.64453,-0.00941,-0.1735,-1.57735,-0.46719,0.7361,0.16686,1.80832,-2.29416,-0.2374,-1.87742,0.11011,0.34331,-0.34556,1.80349,0.83466,2.09438,-0.96003,0.57242,1.5139,1.31867,0.01736,-0.04084,-1.84978,1.33547,0.57223,0.15214,0.97757,-0.21636,0.43534,-0.4249,1.28107,-0.52311,0.73229,0.2341,1.07324,0.71212,0.01323,-1.70376,0.17806,-0.35527,-0.39104,1.51723,-1.1336,-0.32292,-0.09144,-0.80281,1.41187,1.09101,0.94996,0.42435,0.13277,-0.78254,-0.51113,-0.26777,1.9147,0.12273,0.30334,0.39256,-2.32514,-0.72583,-0.14286,3.03306,-0.30016,1.15906,0.07517,-0.6141,0.22986,0.39778,0.59596,-0.35268,1.36958,0.94323,-0.86104,0.99285,0.12832,0.37896,-3.5035,-2.72014,-0.21212,0.28478,1
1.70001,0.37851,0.0601,0.01028,0.29448,0.10368,0.7246,2.06815,1.68061,0.00768,-1.51292,0.14326,-0.87701,0.54055,0.20729,0.01604,-1.92703,0.62318,0.12197,1.57866,0.72113,-0.61681,-0.36671,-1.2921,-1.24701,0.05879,-1.20229,-0.81025,-0.16948,-1.01447,0.53454,1.8009,-0.48336,0.38358,0.25061,0.54191,0.5907,0.83932,-0.95159,0.71762,1.45781,-0.53065,-1.06424,-0.2279,-1.23473,1.77672,-0.98847,-1.06483,1.45219,0.94998,-1.07023,-2.22147,0.16833,0.45424,1.16005,0.38976,0.58785,1.18257,-0.21777,-1.54205,0.20108,0.14831,-2.26259,-0.00706,-0.66972,-0.26758,1.13423,-1.11766,1.16261,0.28109,0.1525,-0.76697,-0.55131,0.3585,-0.2791,0.95575,0.64247,0.90728,0.0567,1.43689,1.03504,-0.45181,-0.56738,1.76331,-1.2098,-0.69756,-0.79627,-1.87721,0.91005,0.18493,-1.42787,0.52853,0.42807,0.97489,0.87035,1.30607,-0.46549,-0.59541,0.81998,-0.28965,-2.65629,-1.66127,1.88893,1.55432,-0.29059,-0.74405,1.74123,-1.29454,0.81828,1.49369,0.54383,0.13056,-0.48902,1.84318,0.62796,0.89868,-0.40066,-0.35965,-0.79013,0.01853,-2.13165,-0.07713,-1.76994,0.62206,-1.67547,-0.83381,1.22152,1.19011,-1.11977,0.61155,0.57319,-0.22428,-1.87095,-0.02925,-1.51743,0.45113,1.68543,0.79665,1.12726,-0.39875,0.02995,-0.41706,1.49795,-0.98823,-1.20702,0.93316,-0.59999,0.67936,0.3168,0.97327,-1.37834,-0.71111,0.03626,0.98398,-0.5089,-1.27774,0.64941,-1.89842,0.19423,0.49866,0.30889,0.19382,-1.15541,-1.33892,1.27258,-0.81202,-1.5038,0.39219,-0.71218,-1.56737,-0.6436,0.83791,0.27845,-0.50138,-0.26288,0.04497,-0.04418,-0.94889,-0.99673,0.02623,0
1.40643,0.61532,2.43844,0.02177,0.37423,1.6632,0.16692,0.01445,2.05711,-0.24541,-2.40552,-0.44736,-0.54819,0.55932,-0.66939,0.3201,-0.28835,-0.46925,-0.16264,-0.87233,-1.16193,-0.09661,0.51031,-2.05866,0.53402,-1.05174,1.2857,-0.4904,-0.90921,-0.91543,-0.35184,0.6879,-0.30385,0.4898,-1.46097,-0.69908,0.86694,-2.68038,1.22937,0.74697,0.69637,-0.95529,0.6042,-0.51896,-1.33743,0.74703,-0.32888,-2.12967,-0.39123,0.84919,0.60345,-0.52073,-0.02825,0.41835,0.25327,-1.89535,0.61055,0.37631,0.42557,-1.8831,-2.79428,-0.17351,0.48185,1.10104,-0.78087,-0.61752,-0.14398,0.38548,0.19742,0.16299,-0.14126,0.15863,-1.40079,1.01559,-0.47602,-2.25891,2.14297,0.3209,0.38286,-1.04293,-0.64244,-0.05968,0.07339,-0.10842,-0.37849,-0.07191,0.62192,-0.23712,1.00865,-0.33089,-1.86187,-0.8907,0.61457,0.24606,-1.73833,0.2942,-1.62168,-0.94182,0.33053,0.07994,-1.83346,-0.9131,0.25472,-1.9186,0.36712,0.99638,-0.72196,0.04871,0.58747,1.40166,1.53404,-0.715,0.71221,0.62429,-0.32415,-1.39162,-0.11146,1.14565,-0.29734,-1.77088,0.89594,-0.49494,-1.18301,-0.86141,-1.15071,0.61906,0.44974,0.37843,-0.12802,2.72968,0.08819,-0.25067,-0.06169,-0.50952,1.97007,0.50367,-0.4899,0.24254,-0.84543,1.23376,-1.58932,-0.14576,-0.66602,0.2628,0.4901,-0.02932,-2.36322,0.25054,0.27926,0.87389,-1.07381,1.36897,0.57734,-0.06844,-0.3085,-0.45605,1.31849,0.6109,-0.04123,-0.02133,-0.73765,0.85256,0.20698,0.74964,-0.44614,0.55028,0.318,-0.87282,-0.115,-2.13256,1.04699,-0.89919,-1.17097,-1.44767,0.18236,-0.24991,-0.08566,0.34608,0.15765,-0.04321,0
-0.38364,-1.71675,0.69883,1.3642,0.31769,0.73309,-0.13651,-1.40816,-0.11805,0.18447,-2.08128,1.38937,0.35801,1.19491,-1.34671,0.88846,0.65385,0.44808,-0.77485,0.62036,-0.55823,0.80854,0.9596,-0.33465,-0.6939,-0.24975,-0.5498,-0.57307,0.23056,1.54623,-0.83613,0.55277,-0.88237,0.00034,0.38599,-0.81429,-0.46606,-1.73727,0.43653,-0.33815,0.33358,0.07421,0.77447,-0.27495,0.33723,1.04783,1.07204,0.98051,-0.17582,0.07574,0.46165,-0.04584,-2.30231,-0.75446,0.49062,0.01305,-0.30087,1.24321,0.39366,-0.82349,-0.41909,0.54156,-0.24074,-3.14329,0.76016,-1.46477,-1.85616,1.44963,0.55186,0.27217,1.36411,0.18294,0.5145,-0.80825,1.18011,0.80566,-0.7485,-1.42963,-0.01673,0.37554,-0.4886,-0.7791,0.34655,-0.31169,0.03289,0.8319,-0.13211,-1.7208,-0.11793,0.64324,-1.25638,0.6164,0.17858,0.02868,-0.53718,0.26654,-0.05779,-2.2315,-0.99284,-0.46037,-0.14093,0.36544,-0.89667,-0.09256,-0.48749,-0.30267,-0.38714,0.54232,-0.54831,1.8775,0.41932,-1.70106,-0.47419,-1.90541,0.72353,-0.51154,0.14663,-0.04292,-1.13255,0.61035,0.69976,1.40191,-0.26857,-1.26115,0.42755,-0.47276,-0.31973,1.58748,-0.23062,-0.76243,-1.96787,-1.07746,0.04202,0.32883,0.20461,0.19486,0.60304,-0.57899,-0.43974,0.9872,-0.49563,-0.22957,1.03462,0.09388,-1.55221,-0.72519,1.56372,0.36378,-1.84053,1.71812,0.87818,0.65927,1.24237,1.42117,-1.36002,-0.10849,-0.56002,-0.79274,-0.50855,-0.99493,-1.04223,0.21203,1.26946,0.08063,1.04817,0.76808,-1.52544,-0.4004,0.27134,1.18634,0.69639,1.68195,-0.96881,1.08131,0.29853,-0.55487,-0.70144,-1.67009,0.13593,-2.19996,0
