x1,x2,x3,x4,x5,x6,alvo
-0.29751,-0.38167,0.62493,-0.3119,0.17657,0.11839,0
-0.82382,0.26881,-0.74558,-1.65313,1.04204,0.8147,0
-0.22899,-0.24426,1.44316,-0.08576,0.60484,1.28338,0
0.50431,-0.14461,-0.48506,-0.86679,0.57753,2.15601,0
-1.2265,-0.22258,0.1174,-0.80943,-0.86056,-0.83308,0
-1.97843,0.10303,1.42192,0.39556,-0.33635,0.10915,0
-0.51912,0.29342,0.55166,-0.22074,-0.64678,-1.15197,0
-0.09775,0.97051,-0.48041,1.26574,2.26745,-1.61537,0
-0.00022,-0.18238,-2.22308,-0.5112,0.78267,-0.77351,0
0.77419,-0.71458,0.88524,-0.52156,1.96287,2.76238,0
0.16796,0.17801,-1.0315,-2.54374,0.22532,1.93234,0
-1.2171,-0.58445,1.80719,0.46776,0.76536,-0.37682,0
-2.51736,1.53438,-1.62172,0.83136,0.28515,0.11058,0
0.15859,-1.99348,1.98215,-0.85101,-0.85275,-1.47314,0
-0.38234,0.31589,-0.30938,-1.15494,0.80484,-0.91332,0
-0.81992,0.73024,0.36507,0.99573,1.14305,1.92971,0
-1.16863,1.16287,0.25416,-0.48249,1.04739,0.77949,0
-0.54705,0.82487,-0.12268,-0.86938,-1.37062,0.32597,0
0.30524,-0.40279,-0.30854,0.50911,-1.2351,-0.76475,0
-1.79883,0.46428,1.15775,1.84932,0.5201,-0.77008,0
0.86682,-0.66752,0.05954,0.81106,-0.07536,-0.01837,0
0.68947,-1.9557,-0.64496,0.53718,0.36986,-1.62198,0
-0.48662,-0.67956,-0.88816,-1.09433,-0.85008,-2.194,0
-0.48661,0.03694,-0.34594,0.02284,0.76391,0.77123,0
1.7297,0.53024,-0.43012,-0.12674,2.13189,-0.00933,0
-1.46785,-0.21519,-0.40785,0.41457,0.60503,-0.02979,0
0.632,-0.50033,0.30879,0.2601,0.16739,-0.15784,0
-1.71919,-2.45068,0.6889,-0.26974,0.63861,-1.0435,0
0.27632,-0.74317,-0.40692,-0.07195,-1.4867,-0.92628,0
1.05903,1.06535,-0.08738,-0.55519,1.45756,0.59067,0
0.20922,0.31603,0.62001,1.69021,0.82938,1.04722,1
-1.0613,-1.02745,0.70854,1.44525,0.73298,1.38473,0
-0.49031,0.99359,-0.28205,1.13653,-0.77527,-0.66119,0
0.70692,-1.17624,-2.32372,1.21701,1.0954,-0.89082,0
1.40398,-1.24533,-0.61333,0.06175,-1.58376,-0.80432,0
-0.42562,-0.57617,-0.15055,0.50784,-0.38928,0.94982,0
1.3386,1.22573,-0.29912,-0.92915,1.72831,-0.73374,0
0.20142,0.62713,-0.84083,1.29302,0.55476,-2.32976,0
-1.97105,0.51951,-0.08815,0.92344,2.08119,-0.02434,0
-1.22212,0.0943,1.16666,-0.91874,1.98162,-0.60657,0
0.17387,3.78574,-1.37159,-2.54759,-2.11363,-2.28851,0
-0.74047,-0.66233,0.587,0.83299,2.16542,-0.66882,0
0.99929,-1.26257,1.21222,-0.82517,-0.00583,-0.14648,0
-0.8105,-0.10366,-0.67472,-0.575,1.18438,-2.09345,0
1.97073,-0.63308,0.82517,-0.83285,0.27762,1.09876,0
-0.11153,-1.70328,1.45378,-0.66903,0.1729,0.01574,0
-0.689,0.13392,1.39636,0.9602,0.32571,-0.54246,0
1.60672,-0.53558,0.36829,-1.41537,-1.01716,-0.75629,0
0.57502,-1.37584,0.81412,1.36291,-0.20773,-0.25525,0
1.29018,-0.05691,1.4645,-1.26592,-0.43528,2.32841,0
-0.3103,-0.23341,0.41054,-1.11797,0.15956,1.46311,0
0.01042,-0.8697,-1.01296,-1.75984,0.95426,-1.89244,0
2.08829,1.07352,1.48405,0.84142,0.67743,-0.96816,1
1.09759,-0.94627,-0.67193,1.66782,0.4796,1.45844,0
0.4982,-0.30287,0.04928,-2.94612,0.40734,1.13598,0
-1.37205,1.4812,-0.746,0.0362,-0.20943,1.1596,0
-0.47706,0.19872,-1.58673,-1.74684,1.2952,-0.6602,0
-2.32283,-0.68138,0.0154,0.52202,-0.05345,-0.13868,0
0.09993,1.12979,-1.86509,0.27684,0.26352,1.97232,0
-0.45199,2.20216,1.7464,0.95381,0.8281,-0.21541,1
0.27323,-0.9119,-0.06549,0.17071,1.01096,-2.17392,0
0.47848,-0.35442,-1.63397,1.32044,-0.00378,0.34726,0
-1.42274,0.61714,0.58706,0.00543,-1.14287,1.93117,0
-0.406,-0.10068,1.28535,0.42988,-0.76594,0.7848,0
0.57843,0.40656,-0.84597,1.34547,2.76676,1.13642,1
1.39657,0.19165,-0.30008,0.33422,3.71099,0.94956,1
0.60137,0.25535,2.36764,0.15308,-0.04511,2.0404,0
1.35896,0.59687,0.79312,0.89845,-0.24326,0.39916,0
-0.75631,-1.92274,-0.38275,-0.58087,0.03384,-1.4515,0
0.04674,-0.86188,0.02166,-1.76626,0.29865,1.05805,0
-0.49534,-1.65281,0.1965,-1.39,-0.31219,-1.96161,0
-0.29719,0.15645,0.71796,-0.98939,-0.25841,-0.09443,0
-0.98814,0.10266,1.07681,0.17865,0.1856,0.47215,0
-0.48251,0.80812,-0.20729,-1.61916,0.28935,0.14087,0
-0.45273,-0.04533,-1.08692,1.88068,0.05714,1.56838,0
-1.05121,-0.31401,1.47644,-1.22405,-0.2005,-1.3285,0
3.73712,0.00454,2.07766,-0.08813,1.2887,1.43626,1
-0.61301,-0.60829,0.77041,-0.8133,-2.1794,2.07799,0
1.38531,-0.0821,-2.03523,0.05407,1.08141,0.29149,0
-0.0238,0.2302,-0.64092,-0.09524,-0.29385,1.14212,0
0.8461,1.32765,-1.95025,0.07364,-0.58682,-0.9357,0
-0.58715,1.48842,1.86392,0.54454,-1.04104,-1.43113,0
0.39247,-0.12166,0.86599,-0.82975,-1.33333,2.49194,0
0.69339,-1.51513,-1.26863,1.15179,0.28062,-0.11513,0
-0.20239,-1.33018,1.03798,0.01815,0.45081,-1.14338,0
2.46398,0.75411,0.31869,1.50667,0.43758,-0.59126,0
-0.23072,0.45494,-0.43944,1.27992,0.38126,0.85545,0
0.52781,-0.81086,-1.84194,0.39608,1.52216,0.75493,0
0.2479,-0.27805,-0.79166,-0.93263,0.51607,-1.45289,0
-0.29161,-0.15937,-1.40885,2.18098,2.11865,0.97886,0
-0.90833,-1.43676,-1.02897,0.47376,-0.50246,0.13383,0
-2.44031,0.58225,0.32524,-0.93723,1.2891,1.08317,0
-0.01574,0.24143,1.9647,1.97035,1.25167,-0.04007,0
-0.89999,-0.45774,0.4803,0.34318,0.3903,0.59134,0
0.00937,1.34421,0.85402,-0.23851,0.6059,0.19289,0
-0.73534,-0.38066,-0.83176,1.01103,-0.89624,1.30807,0
-0.5384,2.0439,-1.09342,1.32563,0.36783,-1.30554,0
2.05968,-0.64683,-0.35013,-0.45329,-2.17599,1.13295,0
0.38291,-0.57837,-0.19048,0.08843,0.61734,-1.05424,0
1.74037,0.7891,2.26166,1.80144,-1.06115,-0.67738,0
-0.96389,0.18863,-2.5563,0.00525,-0.87512,0.34153,0
-0.92355,-0.12148,1.07325,-0.1286,0.33382,-0.10024,0
-0.52852,-1.71342,0.32661,1.84003,0.51278,0.63763,0
-0.18566,-0.60427,-0.87416,-0.62405,-0.28852,-0.02859,0
0.35391,-0.79404,-0.2948,0.33347,0.61001,1.59391,0
1.26859,0.57624,2.87767,3.31039,2.22723,1.25008,1
1.57631,3.12878,-0.11992,-0.41697,0.98255,1.35874,0
0.93896,0.47933,-0.01729,-0.45896,0.04217,-0.10908,0
0.34311,0.51168,0.55038,0.79825,-0.7409,0.24472,0
0.3306,0.35547,-0.09977,0.32015,0.23932,0.44338,0
1.01931,0.2774,1.55413,0.31468,-1.68957,0.1,0
-0.50311,1.26329,0.82612,0.40058,0.40316,0.76308,0
-1.39193,1.34917,-0.89994,0.7926,1.2323,-0.79544,0
0.42598,1.6782,0.36307,1.53924,0.5414,3.09688,1
-5e-05,-1.84951,-0.76391,-0.30293,0.97665,0.53024,0
0.33084,0.37414,1.58812,-0.69527,2.00861,-0.60142,0
0.08407,-1.43225,-0.68283,-0.79733,-1.76616,-1.15952,0
0.83665,-1.73619,0.10722,-0.21915,-1.50141,-0.52735,0
1.07764,0.40674,1.40609,-1.9765,0.57277,1.53035,0
-0.08189,1.04992,-0.76552,0.23496,-1.18824,0.46779,0
-0.21336,-0.26191,-0.3462,-0.406,0.36837,-0.79555,0
1.12402,-2.73946,0.0128,2.49824,0.10184,-1.39937,0
-1.05729,0.85906,-2.24128,-0.40838,-1.06866,0.206,0
0.12066,-1.77859,-0.43848,0.16194,-0.43532,-0.4851,0
-0.6072,1.15694,-0.1966,-0.55774,-0.68569,0.34922,0
-0.72685,1.16312,-1.06461,-1.25401,0.16329,-0.42062,0
1.02964,-0.72978,-0.67161,-0.44927,-1.51165,-1.1068,0
1.76146,-0.6086,0.09221,0.92881,1.77876,-1.00895,0
-0.32446,-1.33709,0.66307,0.20773,-0.63539,0.91466,0
-1.48603,0.16786,1.22106,-0.7526,-0.65746,1.23048,0
-2.00092,0.92788,0.91209,0.57128,1.71602,0.70611,0
-1.10699,2.55216,-0.77624,0.83008,0.25381,-1.56716,0
-0.66629,1.32629,1.94659,-1.75022,-1.29582,-2.12647,0
0.06206,-2.40794,0.50915,0.78387,0.64998,1.20159,0
0.18283,-0.33045,-1.58508,0.53009,-2.71,0.80666,0
1.99738,-0.74766,1.1399,1.0366,0.33837,0.11257,0
-0.67117,-0.10318,-1.49859,1.42335,-0.48172,-0.32045,0
0.87526,0.34174,0.62819,-1.18835,2.07045,0.66501,0
2.08291,-0.76026,-0.48933,-1.67263,0.43829,-2.34016,0
-0.87304,-0.99025,-1.0634,0.3492,0.14451,-1.1926,0
0.79583,-0.74439,-0.2757,-1.33549,-1.81492,-1.08932,0
-0.70391,-1.09741,-1.16609,1.33044,-1.18658,0.74668,0
0.73079,1.20388,-0.37344,0.32634,1.46828,0.09297,0
-0.29967,1.21285,2.19791,-0.39452,0.03574,1.28912,0
0.07223,1.81674,0.60823,0.85593,-1.09363,-1.47146,0
-1.11662,-0.36452,0.9895,-0.4306,-1.2725,-0.06135,0
0.18272,-0.87763,-0.75401,-0.12173,-0.06659,1.38002,0
0.62602,-0.76366,-0.79922,-2.19327,1.58984,0.50205,0
-0.17652,-0.22098,-0.11285,-0.56876,0.83385,0.28583,0
-0.14442,0.29013,-0.37394,-0.02856,0.16261,0.73448,0
-0.22726,-0.92243,-0.99286,-0.28703,0.18258,0.12908,0
-1.38879,-0.73652,1.07917,0.31014,-0.56158,-1.3194,0
0.73367,0.62624,0.28327,-1.17724,1.81525,1.04941,0
1.62352,0.36806,0.52503,2.62514,0.63726,0.76928,1
-0.07145,-0.66611,-0.93572,0.03358,2.39089,-0.96574,0
1.888,1.18622,-1.49234,-0.21356,1.6302,-1.19946,0
-1.53325,0.00864,-0.83734,0.10028,0.1709,0.17226,0
-0.56278,0.21585,0.57273,0.27829,0.94854,-0.38748,0
-0.34393,0.47468,2.05783,0.62937,-0.12726,-0.62723,0
0.99625,0.85544,0.58115,0.16232,0.58093,0.20386,0
-1.13751,-0.58038,-1.8135,-0.67633,-1.82338,0.19731,0
1.14226,-0.82624,-1.15642,0.64377,-0.98168,2.66574,0
2.60029,2.06656,-1.20708,1.10019,-0.22701,1.09341,0
1.02706,0.96538,-1.6792,0.12504,0.11125,1.36006,0
1.34452,-0.64322,2.04047,-0.05907,-0.20242,-1.75399,0
0.48726,1.61922,2.6085,-0.70743,0.19968,1.34304,0
-0.42506,-1.88974,0.94789,-0.31565,-1.28488,1.96989,0
-2.25519,0.69449,-0.41484,0.86061,1.11016,-1.39948,0
-0.64073,-0.58765,0.25432,-1.23479,-0.38164,-0.24124,0
-0.47314,-0.04773,-1.5284,0.34574,-0.41708,1.08225,0
-1.13409,2.18135,0.36671,-0.05057,-1.38199,-0.16709,0
1.59309,-0.2409,3.16164,0.95399,3.73705,-0.17309,1
-0.7869,1.55459,-0.18571,2.92029,0.33692,2.05343,0
2.37013,0.1768,-0.35521,-0.25899,1.19128,0.37578,0
0.33179,-1.25606,-0.94683,-0.84387,0.20474,1.61443,0
1.11766,-0.86043,-0.27313,1.01991,0.6747,1.39994,0
2.28089,-0.51119,0.882,-0.2383,-0.01959,0.14905,0
0.71715,1.04989,-0.62873,0.60998,-0.82305,-1.43188,0
1.07762,-0.19659,-0.05269,1.18698,-0.13504,-1.09213,0
-0.25821,-0.77751,-1.78348,0.42697,-0.03353,0.36908,0
-0.68258,2.37338,-0.44948,1.54124,-1.553,0.04354,0
1.33211,-0.6814,-1.61921,-0.38856,1.48957,0.77629,0
1.14149,-0.47508,0.67349,0.04026,-0.04184,-1.18143,0
0.38508,-0.05766,-0.88,-0.76967,-0.11079,-0.03287,0
-2.72753,-0.96134,-1.47039,-0.62072,-0.19591,-0.43451,0
0.74326,-0.42534,0.17305,0.3323,0.1361,0.60418,0
-0.41679,0.28366,0.98621,0.19909,1.75508,0.96913,0
0.43921,-1.87156,0.02143,-0.59924,0.2777,0.95437,0
0.30042,1.63605,-0.55316,1.47961,-0.1146,-1.09493,0
-0.05351,-0.47689,0.57088,0.46734,1.97024,-1.02028,0
