trimestre,ind_a,ind_b,ind_c,ind_d,alvo
0,-0.99622,-0.76268,-0.88826,-0.95918,0
1,0.3199,-0.88893,1.27977,-0.05881,0
2,-1.22968,-0.30561,-0.2917,1.18951,0
3,-0.01874,0.73226,0.10682,0.78534,0
4,0.38469,-0.25211,-0.27225,1.68084,0
5,-0.93442,-0.74137,0.69756,-0.01644,0
6,1.31919,-1.55273,1.13223,0.31933,0
7,0.17463,-1.07911,-0.38004,0.8487,0
8,-2.58989,0.48953,0.97323,-0.52488,0
9,-0.23222,0.10917,-0.7787,0.72546,0
10,0.36266,1.35203,-1.54531,0.93924,1
11,-0.60852,-0.41633,-1.3369,-1.31712,0
12,-0.53247,1.41113,-0.88371,0.74144,1
13,1.41169,-0.44602,-0.63107,0.0113,1
14,-0.74463,0.51087,-2.17414,0.57762,0
15,-0.77051,0.51813,0.21803,2.05155,0
16,-0.16863,-1.00704,0.7946,1.0924,0
17,1.6106,-0.26467,2.07525,-0.78317,1
18,-2.00818,0.34747,-0.67206,1.12571,0
19,-0.54112,0.11454,-0.85511,1.17776,0
20,1.69923,1.34459,-0.59081,-0.44266,1
21,1.48845,-0.63905,0.3494,0.07392,1
22,-2.70581,-0.67761,0.32608,-0.85899,0
23,-1.19238,1.07776,0.33308,-0.03105,0
24,-0.30008,0.34074,-0.9464,-0.59521,0
25,-0.77885,-0.12589,0.33382,-1.04687,0
26,-1.14429,1.3466,1.5219,-0.56486,0
27,0.44755,0.44805,0.25231,-0.7265,1
28,-0.13758,1.42773,0.69068,-0.20632,1
29,-0.85712,-0.29217,0.63524,0.31791,0
30,-1.71665,-0.11306,2.54707,-1.42793,0
31,-0.29464,0.79006,1.2229,-1.99201,0
32,-0.06797,1.38492,-0.62431,-0.14004,0
33,-1.36122,0.2816,-0.91324,-0.22584,0
34,0.72546,-1.84232,-0.94528,1.57414,0
35,-1.30547,0.89641,-0.11795,0.80179,0
36,0.90205,0.21349,1.06153,0.22297,1
37,0.94997,-0.32289,1.46628,0.24844,0
38,-0.585,0.70836,-0.28607,0.48969,0
39,0.80522,0.8683,0.701,0.93051,1
40,2.12039,-0.75775,-0.06318,0.02355,1
41,0.08301,-0.09122,-2.8789,-0.92689,0
42,1.10705,2.01048,0.15345,-0.21859,1
43,0.85214,0.18605,-1.03921,0.82308,1
44,-1.02685,0.56766,0.6246,-1.40739,0
45,-0.93139,0.29442,0.17356,-0.54272,0
46,-0.64459,-1.33539,-0.57115,1.31756,0
47,1.55721,-1.30967,-0.27996,-0.13382,0
48,1.20202,0.96361,1.14064,1.01048,1
49,-0.86359,1.60947,-0.35857,-0.47003,0
50,-1.29907,1.87471,2.47349,0.60224,0
51,-2.30805,-0.39004,-0.08017,0.77113,0
52,-0.19188,-0.09386,0.54909,-0.52113,0
53,0.15057,1.26502,0.971,-2.35872,1
54,-2.3117,1.4782,1.00154,0.24839,0
55,0.446,0.36704,0.0904,0.1811,0
56,-0.84522,-0.31135,-1.17714,1.17364,0
57,1.4882,-0.35237,-1.03655,-1.05798,1
58,-2.10416,-0.51738,0.39749,-0.55754,0
59,-0.35891,1.98855,-0.56709,1.48176,1
60,0.54005,-1.4272,-0.50877,0.64136,0
61,1.24566,0.31474,1.70589,0.95093,1
62,-0.97134,-0.74538,0.90316,1.92169,0
63,1.434,1.20166,-0.3694,-1.14768,1
64,-0.17429,0.06247,0.65,-0.27167,0
65,-1.75655,-2.20941,0.00893,-0.02414,0
66,0.88166,1.48757,-0.13756,-0.26619,1
67,-0.57429,-1.48553,-0.20895,2.12254,0
68,1.10143,-0.22877,0.44986,0.11414,0
69,-2.059,-0.26013,1.38841,-0.55742,0
70,-0.31743,0.10822,0.49354,-0.79756,0
71,0.54131,-1.98034,0.36946,0.57044,0
72,-0.95854,-1.6077,0.8908,-0.7291,0
73,-1.19045,-1.62509,0.01591,-0.21611,0
74,1.01862,1.2432,0.20215,0.81756,1
75,-0.01912,0.40445,-0.31045,-0.65511,1
76,-1.02922,0.21732,-0.1007,-0.07083,0
77,-1.60582,0.83092,0.83648,-0.63079,0
78,1.86828,0.0343,0.39477,-1.51228,1
79,1.25001,-0.40308,-0.77801,-0.73206,0
80,-1.1919,0.24257,-0.76176,0.27389,0
81,-1.19745,0.47154,-1.26563,1.08212,0
82,-1.30027,0.42869,-1.19708,-0.13421,0
83,-0.79953,0.53248,0.39651,-1.65759,0
84,-0.47453,1.51604,0.21631,-1.84457,0
85,-0.81389,-0.84618,-0.85765,-0.58651,0
86,-0.20707,0.54358,-1.49985,-0.72391,0
87,-1.10085,0.22225,-0.62857,-1.01378,0
88,2.46497,-0.25254,0.9294,1.51727,1
89,0.12607,-0.4553,1.82184,0.40194,0
90,-0.84618,-0.30392,-0.41545,-0.26961,0
91,0.42535,1.68022,-0.74281,-0.98574,1
92,2.63389,0.13661,-1.30274,-1.62653,1
93,1.0711,-0.18606,0.54751,-1.85639,1
94,0.21027,-0.90074,2.2916,1.59042,0
95,0.08187,-1.10274,0.48814,0.49885,0
96,0.33447,0.87772,0.87772,-0.51678,1
97,0.80558,-0.01828,0.11803,-1.00538,1
98,-0.13731,-0.85953,0.39602,-0.02886,0
99,-0.77252,0.32034,-1.4025,-1.40591,0
100,-0.05476,-1.27555,-1.49624,0.32281,0
101,0.54014,0.09663,0.00018,-0.0093,1
102,-0.88573,-0.41742,0.15556,0.02473,0
103,2.57099,0.58494,1.77857,-0.65239,1
104,-0.61417,0.0405,-0.209,-0.42112,0
105,-0.92758,-0.24789,0.08869,1.25761,0
106,0.72946,-0.13295,-1.94909,-0.89065,1
107,0.86066,-0.84793,-0.49442,0.05341,0
108,-0.09324,0.18805,1.10956,-0.24439,0
109,-1.3498,-0.09295,-1.67922,-0.19266,0
110,-0.43233,-0.16332,-0.87552,-0.24671,0
111,1.06762,-1.24341,-0.19318,-0.03424,0
112,0.40022,0.67304,-1.02377,-0.49337,1
113,0.24502,-0.56632,1.0387,-1.66022,0
114,-1.51638,0.36101,-0.16024,-0.10306,0
115,0.40489,-0.68012,-0.43024,-1.05088,0
116,-2.53528,-1.21653,-0.9296,-1.95411,0
117,-0.31882,2.05365,-0.61526,-0.00861,1
118,1.16413,0.0956,0.20683,0.77256,1
119,-0.66313,1.13753,-0.65844,0.32671,0
120,0.74545,1.14963,1.58812,1.39992,1
121,-2.15646,0.11495,0.78293,0.81826,0
122,0.44318,1.08292,0.41014,0.27183,1
123,0.33648,-0.164,-2.01423,-1.0676,0
124,-1.06605,-1.894,-0.1512,0.93634,0
125,-0.29033,0.88321,-1.03155,-0.11616,0
126,0.90791,0.31844,0.5358,0.25315,1
127,0.85152,-1.58545,-0.94269,1.03722,0
128,-0.40067,-0.76564,-0.39215,1.20296,0
129,1.61441,-1.10467,0.75616,-1.76617,0
130,-1.63816,1.96946,-0.48733,-1.28676,0
131,0.74311,0.07076,0.61738,-0.25978,1
132,0.8381,0.79614,0.20697,1.37685,1
133,2.52944,1.0373,0.89768,0.34136,1
134,-0.95833,-0.79416,0.96479,0.10622,0
135,0.21415,0.34628,0.76475,-0.20921,0
136,0.02824,-0.06071,-0.5176,-1.09302,0
137,0.90091,-0.75359,-1.172,-0.87527,0
138,-0.83432,0.40168,-1.6494,-0.4957,0
139,-0.13483,1.01535,1.30206,-0.66148,1
140,-0.39503,-1.2035,-0.34264,-0.9839,0
141,-0.35425,-0.58362,1.02712,1.21846,0
142,-1.15251,-0.45982,-0.18161,0.23804,0
143,-0.90139,-0.46725,-1.75206,1.79164,0
144,-1.06496,-2.47003,-0.46623,-1.25414,0
145,-1.16884,-0.81703,0.68219,-1.99876,0
