id_empresa,periodo,porte,margem,crescimento,endividamento,liquidez,superou_setor
E25,T02,-1.78146,-1.79812,0.66047,-0.99641,0.56487,1
E30,T09,0.17339,1.79934,-1.64691,-1.46308,1.75856,1
E02,T03,-3.5869,0.53849,0.4592,-0.11814,0.60351,1
E19,T13,-2.23328,-0.6608,0.73441,0.56127,-0.16315,1
E39,T12,-0.81255,-0.28494,-1.50755,-0.01607,-2.17752,1
E03,T08,-1.27307,0.57746,-0.00225,-1.5177,0.33732,1
E25,T04,-1.78737,-1.70514,1.48036,0.08193,1.36734,0
E40,T15,-1.64306,0.50803,0.25808,0.19471,-0.51042,1
E13,T02,1.54247,0.11332,0.95561,1.66254,0.57557,1
E30,T04,0.20661,0.21256,-0.89381,0.0993,-0.72323,1
E01,T04,2.72463,1.31792,-0.10901,0.47893,0.24855,1
E15,T16,1.7984,-1.69628,0.07475,1.48867,0.7099,1
E13,T06,1.51236,-1.41003,-1.18357,-1.0987,-1.11603,0
E22,T03,-0.98676,-0.92998,0.64684,0.1813,-0.56711,1
E27,T07,1.37006,-0.3408,0.53967,-1.18419,0.85463,1
E13,T07,1.55861,2.3283,0.27843,0.67123,0.23813,1
E10,T08,2.20837,-0.78334,-0.23381,-1.57172,0.60427,0
E32,T07,1.09241,0.21543,-0.82508,0.40369,-0.08738,1
E25,T08,-1.76895,1.82454,0.3484,-1.61402,0.26609,1
E23,T09,-2.74596,0.57288,-1.0401,0.84158,-0.52464,1
E28,T03,-2.20943,0.48323,-0.19075,0.80065,0.54726,1
E23,T10,-2.72042,-0.82286,-0.11026,-0.27732,0.33345,1
E18,T03,-0.77125,-1.02854,0.22926,1.52868,-0.23599,0
E39,T01,-0.86513,-0.44437,1.56199,0.05873,-0.69091,1
E11,T05,1.03101,-0.33605,-1.32257,0.14102,1.96456,0
E38,T02,0.62217,1.80594,-0.94576,1.58231,-1.18407,1
E30,T16,0.21197,0.57098,1.01133,-2.13226,-0.06259,1
E06,T10,-1.7072,0.3682,0.60792,1.44476,1.41077,0
E29,T08,1.1151,-2.12735,0.30462,0.56353,-0.20391,0
E39,T07,-0.864,0.08838,0.82949,-0.34438,0.3854,1
E19,T04,-2.26513,1.33784,-0.77695,-0.21842,0.55425,1
E18,T16,-0.79836,-1.51501,1.79248,-0.36599,0.34455,0
