id,titulo,artista,ano,genero,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,loudness,tempo,duration_ms,popularidade,hit
1,Faixa 0001,Artista 112,2022,mpb,0.396,0.751,0.216,0.275,0.204,0.02,0.202,-6.34,107,230870,37,0
2,Faixa 0002,Artista 268,2022,sertanejo,0.592,0.31,0.671,0.565,0.1493,0.344,0.242,-5.6,100,276373,19,0
3,Faixa 0003,Artista 191,2014,eletronica,0.584,0.486,0.686,0.277,0.4153,0.25,0.32,-10.0,94,235748,22,0
4,Faixa 0004,Artista 199,2020,eletronica,0.584,0.376,0.509,0.406,0.0348,0.134,0.281,-6.68,132,171536,33,0
5,Faixa 0005,Artista 145,2021,pop,0.543,0.553,0.158,0.168,0.0349,0.088,0.389,-1.0,126,201129,69,0
6,Faixa 0006,Artista 111,2010,rock,0.497,0.536,0.322,0.365,0.2669,0.16,0.116,-8.58,95,170281,5,0
7,Faixa 0007,Artista 279,2014,mpb,0.707,0.592,0.748,0.292,0.1566,0.105,0.091,-2.83,79,177798,91,0
8,Faixa 0008,Artista 110,2024,funk,0.717,0.732,0.389,0.165,0.0558,0.033,0.496,-8.72,145,94715,100,1
9,Faixa 0009,Artista 103,2013,pop,0.714,0.585,0.446,0.288,0.2707,0.059,0.028,-3.35,86,164161,47,0
10,Faixa 0010,Artista 130,2021,sertanejo,0.644,0.841,0.695,0.271,0.1113,0.332,0.115,-10.56,120,139087,98,1
11,Faixa 0011,Artista 170,2016,rock,0.703,0.501,0.681,0.379,0.4091,0.039,0.32,-10.83,87,150050,45,0
12,Faixa 0012,Artista 015,2017,sertanejo,0.788,0.476,0.99,0.25,0.167,0.033,0.304,-8.1,62,220163,52,0
13,Faixa 0013,Artista 266,2020,eletronica,0.724,0.737,0.413,0.082,0.1671,0.095,0.165,-3.56,65,216949,100,1
14,Faixa 0014,Artista 062,2011,sertanejo,0.396,0.656,0.52,0.21,0.3888,0.195,0.276,-1.86,121,191028,45,0
15,Faixa 0015,Artista 141,2013,sertanejo,0.469,0.572,0.611,0.107,0.0428,0.14,0.537,-3.06,155,181158,90,0
